query_id	类别	search	open	turns
23	A-过程语言/open=0	s=26	o=0	t=27
56	A-过程语言/open=0	s=14	o=0	t=15
83	A-过程语言/open>0	s=9	o=2	t=22
95	B-纯实体错/open=0	s=10	o=0	t=11
102	对	s=5	o=4	t=19
120	A-过程语言/open>0	s=6	o=3	t=30
127	A-过程语言/open>0	s=17	o=2	t=27
170	B-纯实体错/open>0	s=6	o=3	t=12
176	A-过程语言/open=0	s=5	o=0	t=6
186	A-过程语言/open=0	s=10	o=0	t=11
200	A-过程语言/open>0	s=10	o=4	t=20
202	A-过程语言/open=0	s=6	o=0	t=7
223	A-过程语言/open=0	s=27	o=0	t=28
228	A-过程语言/open=0	s=28	o=0	t=29
233	A-过程语言/open=0	s=11	o=0	t=12
239	A-过程语言/open=0	s=11	o=0	t=12
241	A-过程语言/open>0	s=14	o=5	t=25
250	B-纯实体错/open=0	s=29	o=0	t=30
263	A-过程语言/open=0	s=4	o=0	t=5
266	A-过程语言/open=0	s=24	o=0	t=25
278	B-纯实体错/open>0	s=12	o=3	t=30
279	A-过程语言/open=0	s=27	o=0	t=28
284	对	s=4	o=1	t=6
285	A-过程语言/open=0	s=11	o=0	t=12
288	B-纯实体错/open>0	s=23	o=3	t=31
299	A-过程语言/open>0	s=4	o=1	t=28
311	B-纯实体错/open>0	s=4	o=2	t=8
322	A-过程语言/open=0	s=23	o=0	t=24
324	B-纯实体错/open>0	s=6	o=3	t=22
364	B-纯实体错/open=0	s=8	o=0	t=9
372	A-过程语言/open>0	s=15	o=11	t=31
383	对	s=8	o=1	t=11
384	B-纯实体错/open=0	s=28	o=0	t=29
391	A-过程语言/open>0	s=8	o=5	t=25
416	B-纯实体错/open>0	s=13	o=6	t=31
421	A-过程语言/open=0	s=28	o=0	t=29
427	A-过程语言/open>0	s=6	o=6	t=31
490	A-过程语言/open=0	s=12	o=0	t=13
506	对	s=4	o=2	t=16
512	A-过程语言/open>0	s=3	o=2	t=15
517	B-纯实体错/open>0	s=8	o=3	t=24
530	对	s=15	o=1	t=18
533	对	s=4	o=1	t=7
546	B-纯实体错/open>0	s=9	o=2	t=16
563	对	s=9	o=1	t=11
577	B-纯实体错/open>0	s=10	o=3	t=23
581	A-过程语言/open>0	s=4	o=4	t=22
607	B-纯实体错/open>0	s=2	o=2	t=5
625	B-纯实体错/open>0	s=14	o=4	t=30
633	B-纯实体错/open=0	s=26	o=0	t=27
636	对	s=2	o=1	t=4
637	A-过程语言/open>0	s=2	o=3	t=25
643	对	s=2	o=2	t=5
661	对	s=2	o=2	t=5
666	B-纯实体错/open>0	s=19	o=2	t=31
670	A-过程语言/open=0	s=26	o=0	t=27
675	B-纯实体错/open>0	s=10	o=10	t=49
682	对	s=10	o=3	t=18
695	A-过程语言/open>0	s=13	o=1	t=21
703	A-过程语言/open=0	s=28	o=0	t=29
710	B-纯实体错/open>0	s=21	o=1	t=27
718	B-纯实体错/open=0	s=13	o=0	t=14
738	A-过程语言/open=0	s=15	o=0	t=16
745	A-过程语言/open=0	s=30	o=0	t=31
756	对	s=3	o=2	t=6
768	A-过程语言/open=0	s=26	o=0	t=27
770	B-纯实体错/open>0	s=6	o=2	t=11
772	A-过程语言/open>0	s=14	o=8	t=31
776	B-纯实体错/open>0	s=11	o=5	t=31
796	B-纯实体错/open=0	s=26	o=0	t=27
804	B-纯实体错/open=0	s=30	o=0	t=31
806	A-过程语言/open=0	s=10	o=0	t=11
811	A-过程语言/open>0	s=25	o=1	t=27
815	对	s=7	o=4	t=27
883	A-过程语言/open=0	s=11	o=0	t=12
919	A-过程语言/open>0	s=13	o=5	t=31
941	A-过程语言/open=0	s=7	o=0	t=8
980	B-纯实体错/open=0	s=10	o=0	t=11
981	A-过程语言/open>0	s=8	o=5	t=16
984	A-过程语言/open=0	s=7	o=0	t=8
998	对	s=9	o=4	t=16
1002	A-过程语言/open>0	s=12	o=1	t=19
1004	A-过程语言/open=0	s=4	o=0	t=5
1038	A-过程语言/open>0	s=6	o=4	t=36
1041	对	s=2	o=1	t=9
1044	A-过程语言/open=0	s=30	o=0	t=31
1063	A-过程语言/open>0	s=10	o=4	t=31
1089	对	s=2	o=2	t=5
1094	B-纯实体错/open>0	s=2	o=1	t=4
1119	A-过程语言/open>0	s=12	o=3	t=39
1149	B-纯实体错/open>0	s=3	o=3	t=7
1193	A-过程语言/open=0	s=3	o=0	t=4
1196	A-过程语言/open>0	s=5	o=1	t=7
1198	对	s=3	o=1	t=5
1209	B-纯实体错/open=0	s=14	o=0	t=15
1217	B-纯实体错/open=0	s=4	o=0	t=5
1223	B-纯实体错/open>0	s=15	o=4	t=31
1235	A-过程语言/open=0	s=5	o=0	t=6
1243	A-过程语言/open=0	s=29	o=0	t=30
1252	A-过程语言/open>0	s=11	o=6	t=30
