query_id	gap状态	search	open	verify	states	turns	备注
23	部分1/2	s=19	o=3	v=4	st=5	t=29	
56	部分1/2	s=17	o=6	v=2	st=4	t=27	
83	部分2/3	s=10	o=4	v=4	st=8	t=24	
95	无gap	s=3	o=1	v=0	st=0	t=4	
120	部分1/2	s=11	o=4	v=2	st=4	t=24	
127	部分3/4	s=15	o=5	v=4	st=8	t=28	
170	未解1	s=13	o=3	v=2	st=4	t=30	触顶30
176	部分1/2	s=18	o=6	v=2	st=5	t=29	
186	部分1/2	s=8	o=4	v=2	st=5	t=20	
200	部分1/2	s=17	o=3	v=2	st=5	t=29	
202	无gap	s=11	o=1	v=0	st=1	t=15	
223	部分3/4	s=15	o=4	v=4	st=8	t=30	触顶30
228	未解1	s=9	o=1	v=1	st=3	t=13	
233	部分1/2	s=14	o=3	v=2	st=4	t=26	
239	未解1	s=9	o=4	v=1	st=4	t=17	
250	部分2/3	s=16	o=4	v=3	st=7	t=30	触顶30
266	部分1/2	s=7	o=2	v=2	st=4	t=13	
278	部分1/2	s=11	o=4	v=2	st=4	t=30	触顶30
279	部分1/2	s=8	o=3	v=15	st=5	t=29	
285	部分1/2	s=18	o=4	v=2	st=4	t=27	
288	部分1/2	s=12	o=3	v=2	st=4	t=27	
322	部分1/2	s=20	o=6	v=2	st=4	t=30	触顶30
324	部分1/2	s=5	o=2	v=2	st=4	t=11	
364	部分2/3	s=14	o=3	v=3	st=6	t=30	触顶30
372	部分1/2	s=15	o=3	v=2	st=4	t=31	触顶30
383	无gap	s=3	o=2	v=0	st=1	t=6	
384	未解1	s=6	o=1	v=1	st=3	t=10	
391	部分1/2	s=4	o=2	v=2	st=4	t=11	
416	部分1/2	s=16	o=4	v=2	st=4	t=24	
421	部分1/2	s=13	o=3	v=4	st=6	t=28	
427	部分1/2	s=11	o=4	v=9	st=5	t=27	
490	部分2/3	s=11	o=3	v=3	st=6	t=23	
517	部分2/3	s=11	o=3	v=3	st=6	t=23	
530	未解1	s=13	o=2	v=1	st=3	t=18	
533	未解1	s=9	o=3	v=2	st=3	t=17	
546	未解1	s=6	o=2	v=1	st=2	t=16	
625	未解1	s=5	o=2	v=1	st=2	t=18	
633	部分1/2	s=14	o=4	v=3	st=7	t=25	
636	未解1	s=6	o=2	v=5	st=11	t=26	
661	部分1/2	s=11	o=2	v=2	st=4	t=22	
666	未解1	s=14	o=3	v=1	st=3	t=21	
670	未解1	s=8	o=1	v=1	st=2	t=11	
675	未解1	s=8	o=1	v=1	st=2	t=11	
682	部分1/2	s=20	o=3	v=3	st=7	t=30	触顶30
695	未解1	s=17	o=3	v=2	st=4	t=26	
703	未解1	s=13	o=4	v=2	st=5	t=25	
710	未解1	s=21	o=5	v=2	st=4	t=30	触顶30
718	未解1	s=6	o=2	v=1	st=3	t=12	
738	未解1	s=6	o=4	v=1	st=2	t=20	
745	部分1/2	s=19	o=3	v=2	st=5	t=30	触顶30
768	未解1	s=22	o=2	v=1	st=3	t=29	
770	部分1/2	s=9	o=3	v=2	st=4	t=29	
772	部分1/2	s=11	o=2	v=4	st=8	t=26	
796	未解1	s=5	o=1	v=1	st=2	t=8	
804	部分1/2	s=14	o=4	v=4	st=7	t=29	
806	未解1	s=4	o=1	v=1	st=2	t=7	
811	部分1/2	s=17	o=4	v=2	st=4	t=26	
883	部分2/3	s=16	o=3	v=3	st=7	t=26	
941	未解1	s=13	o=2	v=8	st=3	t=26	
980	部分1/2	s=20	o=6	v=2	st=4	t=30	触顶30
981	部分1/2	s=15	o=3	v=8	st=5	t=29	
984	部分1/2	s=21	o=4	v=2	st=4	t=30	触顶30
998	未解1	s=5	o=3	v=1	st=2	t=18	
1002	部分1/2	s=19	o=5	v=2	st=5	t=30	触顶30
1004	未解1	s=5	o=1	v=1	st=2	t=8	
1041	未解1	s=1	o=1	v=3	st=6	t=12	
1044	未解1	s=15	o=4	v=5	st=4	t=30	触顶30
1063	部分1/2	s=16	o=4	v=4	st=7	t=30	触顶30
1089	未解1	s=6	o=2	v=3	st=7	t=17	
1094	部分2/3	s=15	o=4	v=5	st=7	t=30	触顶30
1119	未解1	s=17	o=3	v=2	st=4	t=25	
1149	未解1	s=8	o=4	v=1	st=2	t=21	
1193	未解1	s=12	o=2	v=1	st=2	t=29	
1196	未解1	s=12	o=2	v=1	st=3	t=20	
1198	未解1	s=12	o=2	v=1	st=3	t=27	
1209	未解1	s=10	o=1	v=1	st=2	t=13	
1217	部分1/2	s=18	o=4	v=2	st=4	t=29	
1223	部分1/2	s=13	o=4	v=2	st=4	t=30	触顶30
1235	部分1/2	s=11	o=2	v=2	st=4	t=30	触顶30
1243	部分1/2	s=16	o=3	v=2	st=5	t=26	
1252	部分6/7	s=13	o=5	v=4	st=9	t=30	触顶30
