round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-14T10:18:30.570379+00:00,graduation ceremony fourth Sunday 2003 educational institution,"[""graduation"",""ceremony"",""fourth"",""sunday"",""2003"",""educational"",""institution""]","""graduation"" OR ""ceremony"" OR ""fourth"" OR ""sunday"" OR ""2003"" OR ""educational"" OR ""institution""",5,730d26ca5098729957850a9f0f6e59cc6842717d748f151716ea49baac9f441f,fe97036c6b0e0c0128d381469045fdd506f83f0d1a70e46f04a177172e38b77a,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""82002"",""33241"",""43622"",""1650"",""16758""]","[{""docid"":""82002"",""score"":20.50333035413117,""snippet"":"" ... 2003-06-26\n---\nQueen Arwa University Celebrates another achievement:Graduation ceremony held [Archives:2003/645/Community]\n\nQueen Arwa University's graduation ceremony of the fourth batch, also named the \""unity and democracy batch\"", from colleges of engineering, science, arts, commerce, and rights was held on Sunday June 22 ... "",""title"":""https://yementimes.com/queen-arwa-university-celebrates-another-achievementgraduation-ceremony-held-archives2003-645-community/""},{""docid"":""33241"",""score"":19.054898549929074,""snippet"":"" ... 1972\n\n-\n\nThe college became a residential campus with the opening of dormitories in Serrano Village.\n\n-\n\nThe institution initiated its first graduate program, an M.A. in education.\n\n-\n\nThe Commons building opened, which served as general dining for the campus. Built at a cost of $1.3 million, the ... "",""title"":""https://www.csusb.edu/about-csusb/csusb-history-timeline""},{""docid"":""43622"",""score"":18.58795888059938,""snippet"":"" ... first group of four graduating nurses: Ronata Backus, Margaret Mead, Ruth Maddron Howader and Betty Rosenthal.\n\n1954\n\nOn May 4, the Junior College of Benton Harbor was renamed to Benton Harbor Community College and Technical Institute (CCTI) by the Benton Harbor Board of Education.\n\nThe title of Chief ... "",""title"":""https://www.lakemichigancollege.edu/community/75""},{""docid"":""1650"",""score"":18.263856143123295,""snippet"":"" ... Sijan, a 1965 Academy graduate, is the first and so far only graduate to be awarded the Medal of Honor. President Gerald Ford presented the award to Sijan's parents at a White House ceremony.\n\nMarch 4, 2004 — Second Lt. Christopher Ayoub, a 2003 Academy graduate, receives the ... "",""title"":""https://www.usafa.edu/breaking-barriers-air-forces-70th-birthday-july-achievements/""},{""docid"":""16758"",""score"":17.34391562900248,""snippet"":"" ... She also attended the State University of New York at Buffalo in the doctorate program in higher education. She is a graduate of Drury High School and a recent recipient of the Esther Quinn Award, presented to her in recognition of her volunteerism and community service.\n\nSince 2003 ... "",""title"":""https://www.iberkshires.com/story/56812/Pittsfield-Astronaut-Stephanie-Wilson-Speaking-at-MCLA-Commencement.html""}]"
1,14,2026-09-14T10:18:31.291994+00:00,2022 article students trip gather plant samples academic department,"[""2022"",""article"",""students"",""trip"",""gather"",""plant"",""samples"",""academic"",""department""]","""2022"" OR ""article"" OR ""students"" OR ""trip"" OR ""gather"" OR ""plant"" OR ""samples"" OR ""academic"" OR ""department""",5,15da9de8d4ff7b42b377863fb9568f65c706b9c83309d34865819366d07e8705,1713176c2fddf67c05ee8036e8ce038611a3c70c591b3a6307a1358f5fab7a41,False,"[""d6"",""d7"",""d8"",""d9"",""d10""]","[""80012"",""53979"",""86685"",""39036"",""63915""]","[{""docid"":""80012"",""score"":18.969788636878107,""snippet"":"" ... We also produced a journal article on North Korean refugees. Our graduate student, Ms. Hailey Maltempi, has joined the lab and has already earned an authorship for a peer-reviewed journal article. I look forward to continuing the international collaborations in South Korea, including an upcoming trip over ... "",""title"":""https://chss.wwu.edu/anthropology/anthropology-newsletter-2023-2024""},{""docid"":""53979"",""score"":18.69477012510289,""snippet"":"" ... email with all the new postings of the family, and this plant will now be appearing as a sample in a molecular phylogeny and as an observed species in a monograph.\n\nI hope this blog article will provide some background and insight into what I think must be ... "",""title"":""https://blog.pensoft.net/2023/03/30/tax-man-turned-taxonomist-a-citizen-scientists-journey-into-botany/""},{""docid"":""86685"",""score"":18.591287185274474,""snippet"":"" ... 2022 Undergraduate Student Experience Survey | Arizona Online and Distance Education | Arizona Online and Distance Education's biennial Undergraduate Student Experience Survey is an ongoing endeavor that helps the department assess the collective student experience. |\n\n| EAO Statewide Strategic Outreach Engagement Report 2020-2022 | Early Academic Outreach | Summary of Statewide ... "",""title"":""https://assessmentresearch.arizona.edu/reports-and-summaries""},{""docid"":""39036"",""score"":18.199804948363703,""snippet"":"" ... Stanford University, Department of Political Science,\n\nRecords\n\nRecords include personnel files of faculty, 1923-1988; grade files and letters of recommendation on a sampling of students, 1919-1955; correspondence files of the same students, 1924-1957; miscellaneous departmental minutes, statistics, and memoranda, 1946-73; and miscellaneous correspondence, articles ... "",""title"":""https://oac.cdlib.org/institutions/Stanford+University::University+Archives?descriptions=show""},{""docid"":""63915"",""score"":18.101597389865518,""snippet"":"" ... He designed Asheville's University Botanical Gardens, the Arboretum at Haywood County Community College, and he had a hand in designing plantings at Warren Wilson College and Western Carolina University. This collection consists of 14 articles written in the late 1950s with 18 illustrations to accompany certain articles ... "",""title"":""https://archives.ncdcr.gov/researchers/finding-aids/western-regional-archives-finding-aids""}]"
1,22,2026-09-14T10:18:32.228908+00:00,three-day event Thursday Saturday 2002 showing support group people institution,"[""three"",""day"",""event"",""thursday"",""saturday"",""2002"",""showing"",""support"",""group"",""people"",""institution""]","""three"" OR ""day"" OR ""event"" OR ""thursday"" OR ""saturday"" OR ""2002"" OR ""showing"" OR ""support"" OR ""group"" OR ""people"" OR ""institution""",5,de25b9b3eaf8212adcd22438d3a1df32ee7461e08f8c620f8dff246e8f7cfe3d,c068665e361008b591bd85c373e9e54b016db5280d6caa702f7fc5448c491b99,False,"[""d11"",""d12"",""d13"",""d14"",""d15""]","[""13508"",""70431"",""77059"",""69473"",""48257""]","[{""docid"":""13508"",""score"":17.904338202033742,""snippet"":"" ... To assess this possibility, we conducted analyses analogous to those reported for Thursday drinking but based instead on the sum of the number of drinks reported on Friday and Saturday, the 2 days of the week most associated with alcohol consumption. This analysis revealed no main effect associated ... "",""title"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2711536/""},{""docid"":""70431"",""score"":15.728047161692595,""snippet"":"" ... 14 at 7:30pm\n\nSaturday, Feb. 15 at 2:00 & 7:30pm (2 shows)\n\nThursday, Feb. 20 at 7:30pm\n\nFriday, Feb. 21 at 7:30pm (Post-show discussion with the Cast & Crew)\n\nSaturday, Feb. 22 at 2:00 & 7:30pm (2 shows)\n\nFirebringer\n\nBy Starkid\n\nDirected by ... "",""title"":""https://www.albion.edu/departments/theatre/productions/""},{""docid"":""77059"",""score"":15.608425868009288,""snippet"":"" ... Education & Global Strategy, and The Institute on Immigrant Integration Research and Policy.\n\n7:30 p.m. Saturday, May 3\n\nLITERATURE IN PERFORMANCE\n\nMain Theatre, UAlbany Performing Arts Center\n\nAdvance tickets: $15 general public • $10 students, seniors & UAlbany faculty-staff.\n\nDay of show tickets: $20 general public • $15 students ... "",""title"":""https://www.nyswritersinstitute.org/""},{""docid"":""69473"",""score"":15.446135200683774,""snippet"":"" ... Tenebrae was originally a celebration of matins and lauds of the last three days of Holy Week (Maundy Thursday, Good Friday, and Holy Saturday) in the evening of the previous day (Holy Wednesday, Maundy Thursday and Good Friday) to the accompaniment of special ceremonies that included the display ... "",""title"":""https://en.wikipedia.org/wiki/Tenebrae""},{""docid"":""48257"",""score"":15.326099558316656,""snippet"":"" ... column heading\n\nwill tell you the day of the week for that date during that year.\n\n.January..\n\nFebruary..\n\nMarch..\n\nApril..\n\nMay..\n\nJune..\n\nJuly..\n\nAugust..\n\nSeptember..\n\nOctober..\n\nNovember..\n\nDecember.\n\nJanuary\n\nJanuary 1, 8, 15, 22, 29\n\n| ..Sunday.. | ..Monday.. | ..Tuesday.. |\n\n..Wednesday.. | ..Thursday.. | ..Friday.. | ..Saturday.. |\n\n| 1950 | 1951 | 1952 | ... | 1953 | 1954 | 1955 ... "",""title"":""https://spu.edu/ddowning/percal.htm""}]"
1,31,2026-09-14T10:18:33.343754+00:00,bank management tribute ceremony university official academic division,"[""bank"",""management"",""tribute"",""ceremony"",""university"",""official"",""academic"",""division""]","""bank"" OR ""management"" OR ""tribute"" OR ""ceremony"" OR ""university"" OR ""official"" OR ""academic"" OR ""division""",5,862ca402cc205fb0c1ab83e6fc500696bccb652f8eab5c092c75436bc899ddfa,c6bd829bafe187ff899419fe4a3f2298fa4267819e039e27e21997639ce1c811,False,"[""d16"",""d17"",""d18"",""d19"",""d20""]","[""88195"",""67737"",""2760"",""22727"",""57291""]","[{""docid"":""88195"",""score"":19.204110454004066,""snippet"":"" ... Rhodes University honours academic and activist Professor Janet Cherry\n\nMar 28, '23\n\nAt its graduation ceremony on 30 March 2023, Rhodes University will confer a degree of Doctor of Laws (LLD) (honoris causa) on the Professor of Development Studies at Nelson Mandela University, Janet Cherry.\n\nRhodes University alumnus ... "",""title"":""https://www.ru.ac.za/communicationsandadvancement/alumnirelations/latestnews/""},{""docid"":""67737"",""score"":18.62979697347037,""snippet"":"" ... On November 20, 2013, a naming ceremony was held at the Jimmy Naifeh Center at Tipton County in Covington to rename the Academic Building to the Baptist Memorial Health Care Academic Building in honor of Baptist Memorial Health Care for their support of Dyersburg State Community College.\n\nOn ... "",""title"":""https://www.dscc.edu/about/our-history/""},{""docid"":""2760"",""score"":18.52448719941072,""snippet"":"" ... year, the university celebrates its 125th anniversary which culminates in a day-long ceremony in May that also includes the dedication of the new Walker W. Wyman Education Building.\n\n- Academically, the university launches two new academic programs: Environmental Science and a Master's of Management.\n\n- The Board of ... "",""title"":""https://www.uwrf.edu/about/our-history""},{""docid"":""22727"",""score"":17.930691690667157,""snippet"":"" ... Lensink transitioned into his role as President after serving as Vice President of Academic Services since 2002. Before his administrative duties as a vice president, Lensink taught in the Business Division (1992) where he served, in addition to his teaching duties, as the director of management and business ... "",""title"":""https://www.lakelandcollege.edu/history-of-lake-land-college/""},{""docid"":""57291"",""score"":17.42676111660184,""snippet"":"" ... Faculty members of each of the departments elect chairs to represent the department to each School's dean and the deans report to the Provost who serves as the chief officer for academic affairs.\n\nRice Management Company\n\nThe Rice Management Company manages the $8.1 billion Rice University ... "",""title"":""https://en.wikipedia.org/wiki/Rice_University""}]"
1,39,2026-09-14T10:18:34.205136+00:00,learning institution capital city 2023 graduation fourth Sunday,"[""learning"",""institution"",""capital"",""city"",""2023"",""graduation"",""fourth"",""sunday""]","""learning"" OR ""institution"" OR ""capital"" OR ""city"" OR ""2023"" OR ""graduation"" OR ""fourth"" OR ""sunday""",5,09c9a9d8f9cd3bf37bd8ee739202df0b94e2309a5160a6dcd5ca83fff7a031de,f6c70f095aba88f2841fe0e2ee9cac060459d5176ba5633216743face7054d6b,False,"[""d3"",""d21"",""d22"",""d23"",""d24""]","[""43622"",""35733"",""26382"",""62279"",""16088""]","[{""docid"":""43622"",""score"":17.18124830994699,""snippet"":"" ... The Whirlpool Foundation Institute completed construction of its modern technical building and language labs and renamed it the Louis Cassius Upton Memorial Technical Center.\n\n1964\n\nOn June 12, 1964, CCTI held its last and biggest graduation with 159 graduates.\n\nOn July 1, CCTI became an independent institution and ... "",""title"":""https://www.lakemichigancollege.edu/community/75""},{""docid"":""35733"",""score"":15.425695743004397,""snippet"":"" ... A graduate of Traverse City High School, John's wit and humor were exceeded only by his intellect. He received a degree in industrial engineering from General Motors Institute (now Kettering University) in Flint in 1969 and soon after married Jean (née Bjork), also of Traverse City. The ... "",""title"":""https://www.fma.org/in-memoriam""},{""docid"":""26382"",""score"":15.201683734142833,""snippet"":"" ... nation and 1st among public universities.\""Best B-Schools 2023-24 \"". Bloomberg.com. Accessed April 23, 2024.\n\nU.S. News & World Report's 2024 rankings placed its law school fourth-best overall and 1st among public universities, its graduate Darden School of Business 10th nationally, the medical school ... "",""title"":""https://en.wikipedia.org/wiki/University_of_Virginia""},{""docid"":""62279"",""score"":14.8865136996766,""snippet"":"" ... She received her PhD in cultural anthropology from Princeton University and is a graduate from the School of Foreign Service at Georgetown University and completed the Islamic Studies diploma program of the Institute at Abu Nour University (Damascus).\n\nJihad Abdulmumit\n\nJihad Abdulmumit (he/him) is the Chairperson of ... "",""title"":""https://nmaahc.si.edu/events/forward-conference-religions-envisioning-change""},{""docid"":""16088"",""score"":14.686728586884453,""snippet"":"" ... Fall 2023\n\n2016\n\nHaley Wallace graduated from the University of Minnesota Law School in May 2023. • Robert Miller, MTS'16, was ordained a priest of the Archdiocese of Oklahoma City by Archbishop Paul S. Coakley on August 6, 2022, the Feast of the Transfiguration. Fr. Miller was appointed ... "",""title"":""https://www.bc.edu/bc-web/sites/bc-magazine/class-notes/fall-2023.html""}]"
1,46,2026-09-14T10:18:34.985130+00:00,college university plant collection trip botany students 2022,"[""college"",""university"",""plant"",""collection"",""trip"",""botany"",""students"",""2022""]","""college"" OR ""university"" OR ""plant"" OR ""collection"" OR ""trip"" OR ""botany"" OR ""students"" OR ""2022""",5,e8e5ad3e0c9d2808705efd7c52c5921a4633c24143c8e27f5eb90fa0010fd300,93094bdd034f824f219bbb7be5d822bf391917ab831e0a74d2d9f5efe632c333,False,"[""d25"",""d26"",""d27"",""d28"",""d29""]","[""9700"",""92561"",""24482"",""22608"",""55360""]","[{""docid"":""9700"",""score"":23.987675169981127,""snippet"":"" ... Steve Young\n\n- Cumming Nature Center Plant List – by Suzanne Cordell Strakosh\n\n- New York People / New York Plants – Barbara Bedford, Cornell University\n\n- June Field Trip Valcour Island – announcement\n\n- Willow Workshop – announcement\n\n- Publication News – some of the recent publications that are pertinent to NYS botany\n\nVolume 14 - 2003\n\n- Rediscovery of ... "",""title"":""https://nyflora.org/mitchelliana/""},{""docid"":""92561"",""score"":23.692564439334287,""snippet"":"" ... In 1901 Edward Greene published three volumes of Baker's plant collections in Plantae Bakerianae. Baker's 100,000 specimen sheets were left to Pomona College. Oreoxis bakeri Phacelia bakeri Barbey, William, 1842-1914: Swiss philanthropist, botanist, and student of Epilobium. He studied engineering and then botany and ... "",""title"":""https://www.swcoloradowildflowers.com/biographies%20of%20naturalists.htm""},{""docid"":""24482"",""score"":22.713707878154842,""snippet"":"" ... chemistry at Brigham Young University. She had two children and when they were in school she obtained a master's degree in botany and was hired as the assistant curator of plants at the BYU Herbarium. She took numerous field trips collecting plant specimens for use in teaching ... "",""title"":""https://www.calflora.net/botanicalnames/pageT.html""},{""docid"":""22608"",""score"":22.17086937070825,""snippet"":"" ... in Botany being awarded in 1910 and the first Ph.D. in 1936. Since the 1940's, an undergraduate degree in Botany (now called Plant Biology) has been available.\n\nOver the past 135+ years, NC State has evolved from a small technical college into a major research university ... "",""title"":""https://cals.ncsu.edu/plant-and-microbial-biology/about/history/""},{""docid"":""55360"",""score"":22.133354210260407,""snippet"":"" ... to collect plants and animals for display. In 1621, Magdalen College granted Oxford University 5 acres to establish the Oxford Physic Garden, and although it did not reach prominence until after the Stuart Restoration of 1660, it became the one garden that received hundreds of Virginia plant species ... "",""title"":""http://www.plantsystematics.org/reveal/pbio/usda/fnach7.html""}]"
2,68,2026-09-14T10:18:39.413985+00:00,Queen Arwa University Yemen 2002 three day event support,"[""queen"",""arwa"",""university"",""yemen"",""2002"",""three"",""day"",""event"",""support""]","""queen"" OR ""arwa"" OR ""university"" OR ""yemen"" OR ""2002"" OR ""three"" OR ""day"" OR ""event"" OR ""support""",5,ea1941b92bf0faa5b7911a6d4816aee18a6e37229a1127ed69d053a79ac41534,0bbfb1d4086c3543fbc256031ef609d73afde729cb10075e02feff04500d20b1,False,"[""d30"",""d31"",""d1"",""d32"",""d33""]","[""5412"",""86190"",""82002"",""75826"",""46697""]","[{""docid"":""5412"",""score"":35.422789957205836,""snippet"":"" ... Jerusalem is Ours), the Queen Arwa University held its Fifth Cultural Week (FCW) on May 9-11 2002, which was coincided with the Palestine Intifadha against the Zionist atrocities in the occupied land.\n\nThe 3-day FCWs activities focused mainly on the Palestinian support. Symposiums, political and cultural ... "",""title"":""https://yementimes.com/arwa-university-holds-annual-cultural-activities-archives2002-20-local-news-3/""},{""docid"":""86190"",""score"":33.057337134745346,""snippet"":"" ... Ministry of Higher Education and Scientific Research of Yemen\nwebsite: Queen Arwa University\n\nQueen Arwa University is a Yemeni private university founded in 1996 in Yemen and named after Queen Arwa.Queen Arwa UniversityQueen Arwa University | Ranking & Review The university's different fields of study include humanities and ... "",""title"":""https://en.wikipedia.org/wiki/Queen_Arwa_University""},{""docid"":""82002"",""score"":30.092174475192703,""snippet"":"" ... Queen Arwa University Celebrates another achievement:Graduation ceremony held [Archives:2003/645/Community]\ndate: 2003-06-26\n---\nQueen Arwa University Celebrates another achievement:Graduation ceremony held [Archives:2003/645/Community]\n\nQueen Arwa University's graduation ceremony of the fourth batch, also named the \""unity and democracy batch\"", from ... "",""title"":""https://yementimes.com/queen-arwa-university-celebrates-another-achievementgraduation-ceremony-held-archives2003-645-community/""},{""docid"":""75826"",""score"":22.229501629883437,""snippet"":"" ... we would play soccer in the tight alleyways and as teens we would sip coffee under the bright stained glass,\"" said Arwa Mokdad, peace advocate for Yemen Relief and Reconstruction Foundation.\n\nAs I travelled around the country, marvelling at these skyscaper cities, I could not help but wonder ... "",""title"":""https://www.bbc.com/travel/article/20211004-yemens-ancient-soaring-skyscraper-cities""},{""docid"":""46697"",""score"":20.79665234206199,""snippet"":"" ... diesel in Yemen have risen dramatically since the start of the war; current prices are 150% of what they were in 2017. The most recent crisis in Sanaa came in September 2019, leading to days-long lines at gas stations. Black market prices can be three times higher ... "",""title"":""https://en.wikipedia.org/wiki/Sanaa""}]"
2,75,2026-09-14T10:18:40.124098+00:00,Queen Arwa University 2022 students trip plant samples,"[""queen"",""arwa"",""university"",""2022"",""students"",""trip"",""plant"",""samples""]","""queen"" OR ""arwa"" OR ""university"" OR ""2022"" OR ""students"" OR ""trip"" OR ""plant"" OR ""samples""",5,6acc0ced8116f94895e18a75e85aa0152397311cf35610b0febe8196716281d2,b988bd90a87240b750b22983acfb65d87764b53d98abd2fcbf3594d5b05820b5,False,"[""d31"",""d1"",""d30"",""d33"",""d7""]","[""86190"",""82002"",""5412"",""46697"",""53979""]","[{""docid"":""86190"",""score"":24.76329928086709,""snippet"":"" ... Ghassan Hashim\nstudents: 5000\nundergrad: 19, 000\nadministrative_staff: 200\nacademic_staff: 480\ncity: Sana'a\ncountry: Yemen\naffiliation: Ministry of Higher Education and Scientific Research of Yemen\nwebsite: Queen Arwa University\n\nQueen Arwa University is a Yemeni private university founded in 1996 in Yemen and named after ... "",""title"":""https://en.wikipedia.org/wiki/Queen_Arwa_University""},{""docid"":""82002"",""score"":24.098565569242083,""snippet"":"" ... Wahiba Fare'a, rector of the university delivered a speech in which she made clear that since it was established in 1995, Queen Arwa University has been active in adopting the best and most effective methods for building students physically, psychologically, and mentally.\n\nThe university's award of ... "",""title"":""https://yementimes.com/queen-arwa-university-celebrates-another-achievementgraduation-ceremony-held-archives2003-645-community/""},{""docid"":""5412"",""score"":22.312200188729054,""snippet"":"" ... Sector Chairman, Abdulghani al-Shameri said that the Queen Arwa University has done its spare no efforts to hold such activities for the benefit of the Palestinians.\n\nWe are hoping that other universities will follow the example of the Queen Arwa University, in highlighting the Palestinian issue to ... "",""title"":""https://yementimes.com/arwa-university-holds-annual-cultural-activities-archives2002-20-local-news-3/""},{""docid"":""46697"",""score"":15.648037005712379,""snippet"":"" ... During its early years, Sanaa University was largely financed by Kuwait, and most professors, administrators, and teaching materials came from Kuwait as well. As of the 1980s, most professors came from Ain Shams University in Cairo. At that time, 10% of students at the university were female. The ... "",""title"":""https://en.wikipedia.org/wiki/Sanaa""},{""docid"":""53979"",""score"":15.216892134247118,""snippet"":"" ... By that time, I was posting my Costus observations on Inaturalist.org and using that resource to look for interesting plants. I also used it to find plant people to contact for local information. For this Mexico trip I found a huge number of observations posted by Manuel ... "",""title"":""https://blog.pensoft.net/2023/03/30/tax-man-turned-taxonomist-a-citizen-scientists-journey-into-botany/""}]"
2,78,2026-09-14T10:18:40.607532+00:00,Queen Arwa University Sanaa bank management tribute ceremony,"[""queen"",""arwa"",""university"",""sanaa"",""bank"",""management"",""tribute"",""ceremony""]","""queen"" OR ""arwa"" OR ""university"" OR ""sanaa"" OR ""bank"" OR ""management"" OR ""tribute"" OR ""ceremony""",5,552e17319381e09cc59d8969ffa44699af7946f901e71037534ca1ae1e0b884f,00dd57da6641426ec51ef9d86c5517714d52ba92eaab80bd929d8baf91ea9850,False,"[""d1"",""d33"",""d31"",""d30"",""d34""]","[""82002"",""46697"",""86190"",""5412"",""84648""]","[{""docid"":""82002"",""score"":38.191323837879665,""snippet"":"" ... Graduation ceremony held [Archives:2003/645/Community]\n\nQueen Arwa University's graduation ceremony of the fourth batch, also named the \""unity and democracy batch\"", from colleges of engineering, science, arts, commerce, and rights was held on Sunday June 22 at the Queen Arwa University in Sanaa with the ... "",""title"":""https://yementimes.com/queen-arwa-university-celebrates-another-achievementgraduation-ceremony-held-archives2003-645-community/""},{""docid"":""46697"",""score"":25.368067948751392,""snippet"":"" ... After the internationally recognized government relocated the national bank from Sanaa to Aden in 2016, it stopped paying salaries to public-sector employees in Houthi-controlled areas. Many teachers quit teaching because of this, and they were replaced by inexperienced volunteers.\n\nSanaa University was established in 1970 to ... "",""title"":""https://en.wikipedia.org/wiki/Sanaa""},{""docid"":""86190"",""score"":22.992700114966446,""snippet"":"" ... Queen Arwa University\n\nQueen Arwa University is a Yemeni private university founded in 1996 in Yemen and named after Queen Arwa.Queen Arwa UniversityQueen Arwa University | Ranking & Review The university's different fields of study include humanities and social sciences, commercial sciences and administration, engineering, science, higher education ... "",""title"":""https://en.wikipedia.org/wiki/Queen_Arwa_University""},{""docid"":""5412"",""score"":22.312200188729054,""snippet"":"" ... Sector Chairman, Abdulghani al-Shameri said that the Queen Arwa University has done its spare no efforts to hold such activities for the benefit of the Palestinians.\n\nWe are hoping that other universities will follow the example of the Queen Arwa University, in highlighting the Palestinian issue to ... "",""title"":""https://yementimes.com/arwa-university-holds-annual-cultural-activities-archives2002-20-local-news-3/""},{""docid"":""84648"",""score"":19.841464574882984,""snippet"":"" ... The ceremony itself is set to begin at 19hoo Moroccan time (18h00 GMT/19h00 Lagos time/20h00 Johannesburg, CAT time/21h00 East African time).\n\nPlayers and officials are expected to begin arriving at the event 90 minutes before the ceremony begins.\n\nCAF Awards live stream/How to watch ... "",""title"":""https://www.espn.com/espn/story/_/id/42926230/caf-awards-2024-date-how-watch-lookman-banda-co-morocco""}]"
3,96,2026-09-14T10:18:44.539942+00:00,Queen Arwa University 2022 plant samples trip students,"[""queen"",""arwa"",""university"",""2022"",""plant"",""samples"",""trip"",""students""]","""queen"" OR ""arwa"" OR ""university"" OR ""2022"" OR ""plant"" OR ""samples"" OR ""trip"" OR ""students""",5,a62cc951be11a2d903cc18ae30a3f336a14c8dad7bc5ab518a0a45a5a9e88532,e30ec6aca8aaccb0a32c3e5e68822b92f6c52ca57290dff2660813520ad05848,False,"[""d31"",""d1"",""d30"",""d33"",""d7""]","[""86190"",""82002"",""5412"",""46697"",""53979""]","[{""docid"":""86190"",""score"":24.76329928086709,""snippet"":"" ... Ghassan Hashim\nstudents: 5000\nundergrad: 19, 000\nadministrative_staff: 200\nacademic_staff: 480\ncity: Sana'a\ncountry: Yemen\naffiliation: Ministry of Higher Education and Scientific Research of Yemen\nwebsite: Queen Arwa University\n\nQueen Arwa University is a Yemeni private university founded in 1996 in Yemen and named after ... "",""title"":""https://en.wikipedia.org/wiki/Queen_Arwa_University""},{""docid"":""82002"",""score"":24.098565569242083,""snippet"":"" ... Wahiba Fare'a, rector of the university delivered a speech in which she made clear that since it was established in 1995, Queen Arwa University has been active in adopting the best and most effective methods for building students physically, psychologically, and mentally.\n\nThe university's award of ... "",""title"":""https://yementimes.com/queen-arwa-university-celebrates-another-achievementgraduation-ceremony-held-archives2003-645-community/""},{""docid"":""5412"",""score"":22.312200188729054,""snippet"":"" ... Sector Chairman, Abdulghani al-Shameri said that the Queen Arwa University has done its spare no efforts to hold such activities for the benefit of the Palestinians.\n\nWe are hoping that other universities will follow the example of the Queen Arwa University, in highlighting the Palestinian issue to ... "",""title"":""https://yementimes.com/arwa-university-holds-annual-cultural-activities-archives2002-20-local-news-3/""},{""docid"":""46697"",""score"":15.648037005712379,""snippet"":"" ... During its early years, Sanaa University was largely financed by Kuwait, and most professors, administrators, and teaching materials came from Kuwait as well. As of the 1980s, most professors came from Ain Shams University in Cairo. At that time, 10% of students at the university were female. The ... "",""title"":""https://en.wikipedia.org/wiki/Sanaa""},{""docid"":""53979"",""score"":15.216892134247116,""snippet"":"" ... By that time, I was posting my Costus observations on Inaturalist.org and using that resource to look for interesting plants. I also used it to find plant people to contact for local information. For this Mexico trip I found a huge number of observations posted by Manuel ... "",""title"":""https://blog.pensoft.net/2023/03/30/tax-man-turned-taxonomist-a-citizen-scientists-journey-into-botany/""}]"
