round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
2,e1,False,False,False
3,e1,False,False,False
4,e1,True,False,False
5,e1,True,False,False
6,e1,True,False,False
7,e1,True,False,False
8,e1,True,False,False
9,e1,True,False,False
10,e1,True,False,False
11,e1,True,False,False
12,e1,True,False,False
13,e1,True,False,False
14,e1,True,False,False
15,e1,True,False,False
16,e1,True,False,False
17,e1,True,False,False
18,e1,True,False,False
19,e1,True,False,False
20,e1,True,False,False
21,e1,True,False,False
22,e1,True,False,False
23,e1,True,False,False
24,e1,True,False,False
25,e1,True,False,False
26,e1,True,False,False
27,e1,True,False,False
28,e1,True,False,False
29,e1,True,False,False
30,e1,True,False,False
31,e1,True,False,False
32,e1,True,False,False
33,e1,True,False,False
34,e1,True,False,False
35,e1,True,False,False
36,e1,True,False,False
37,e1,True,False,False
38,e1,True,False,False
39,e1,True,False,False
40,e1,True,False,False
41,e1,True,False,False
42,e1,True,False,False
43,e1,True,False,False
44,e1,True,False,False
45,e1,True,False,False
46,e1,True,False,False
47,e1,True,False,False
48,e1,True,False,False
49,e1,True,False,False
50,e1,True,False,False
51,e1,True,False,False
52,e1,True,False,False
53,e1,True,False,False
54,e1,True,False,False
55,e1,True,False,False
56,e1,True,False,False
57,e1,True,False,False
58,e1,True,False,False
59,e1,True,False,False
60,e1,True,False,False
61,e1,True,False,False
62,e1,True,False,False
63,e1,True,False,False
64,e1,True,False,False
