round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-14T10:25:21.990815+00:00,False,False,[],[],[],7241,"{""cache_read_tokens"":0,""input_tokens"":1830,""output_tokens"":47}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":1830,""latency_seconds"":2.0030912999936845,""ledger_id"":330,""output_tokens"":47,""request_body_sha256"":""28fae704fa59fce892df5a15e336bb68910806c7eec85acebbb36da112ba3e90"",""request_bytes"":7241,""requested_model"":""EB-GLM-5.2"",""response_bytes"":771,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""dc734710f603b0c868d254da283d3563226d5210ab057d5ae2e521498399b67e"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":47,""prompt_cost"":0.0,""prompt_tokens"":1830,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":1877},""utc_end"":""2026-09-14T10:25:24.024183+00:00"",""utc_start"":""2026-09-14T10:25:22.004444+00:00""}"
2,2026-09-14T10:25:26.752492+00:00,False,False,[],[],[],15424,"{""cache_read_tokens"":1408,""input_tokens"":3688,""output_tokens"":115}","{""cache_read_tokens"":1408,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3688,""latency_seconds"":4.431979399989359,""ledger_id"":331,""output_tokens"":115,""request_body_sha256"":""884a8672b151637b3995a6b60e76b543e42b849e4fb52329920cc2376ff4b634"",""request_bytes"":15424,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1065,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8aac90d9a8151fac749cc17fca79c2a409e6221d296c345381411303a85da6ce"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":1408,""completion_cost"":0.0,""completion_tokens"":115,""prompt_cost"":0.0,""prompt_tokens"":3688,""prompt_tokens_details"":{""cached_tokens"":1408},""reasoning_tokens"":0,""total_tokens"":3803},""utc_end"":""2026-09-14T10:25:31.210623+00:00"",""utc_start"":""2026-09-14T10:25:26.763322+00:00""}"
3,2026-09-14T10:25:33.318612+00:00,False,False,[],[],[],25766,"{""cache_read_tokens"":3328,""input_tokens"":6180,""output_tokens"":75}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":6180,""latency_seconds"":3.3191204000031576,""ledger_id"":332,""output_tokens"":75,""request_body_sha256"":""da7fd423ec6f7fd18aaad40c577a43944aaf229d88f5f88e88cde60bfd633129"",""request_bytes"":25766,""requested_model"":""EB-GLM-5.2"",""response_bytes"":919,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c196f878df86e65531107056907f8cdc4722051cfd09fb66a4d8cb9808bb8dd7"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":75,""prompt_cost"":0.0,""prompt_tokens"":6180,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":6255},""utc_end"":""2026-09-14T10:25:36.666658+00:00"",""utc_start"":""2026-09-14T10:25:33.331666+00:00""}"
4,2026-09-14T10:25:39.057534+00:00,False,False,[],[],[],34060,"{""cache_read_tokens"":5376,""input_tokens"":8019,""output_tokens"":68}","{""cache_read_tokens"":5376,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8019,""latency_seconds"":3.573757999984082,""ledger_id"":333,""output_tokens"":68,""request_body_sha256"":""b9954e942d5b72c4e81c2a18357b9eaeb95b6f37d8aec96c2e86ad6291ea0d7a"",""request_bytes"":34060,""requested_model"":""EB-GLM-5.2"",""response_bytes"":901,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""267238d312b657b3acdef2f690098106901ce74210b2ba8644d0bea97d2ac6ea"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":5376,""completion_cost"":0.0,""completion_tokens"":68,""prompt_cost"":0.0,""prompt_tokens"":8019,""prompt_tokens_details"":{""cached_tokens"":5376},""reasoning_tokens"":0,""total_tokens"":8087},""utc_end"":""2026-09-14T10:25:42.659010+00:00"",""utc_start"":""2026-09-14T10:25:39.070012+00:00""}"
5,2026-09-14T10:25:44.416202+00:00,False,False,[],[],[],42096,"{""cache_read_tokens"":7168,""input_tokens"":9771,""output_tokens"":117}","{""cache_read_tokens"":7168,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9771,""latency_seconds"":4.470711700007087,""ledger_id"":334,""output_tokens"":117,""request_body_sha256"":""faa08ac1983486c8c575eb24427caeb65513fe2971dc2416ec8c1f4961574368"",""request_bytes"":42096,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1047,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""948e9b1d6d5fe1e796f87730c11dd6c075f02bd40f796b76763dd1e3d0a3815e"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":7168,""completion_cost"":0.0,""completion_tokens"":117,""prompt_cost"":0.0,""prompt_tokens"":9771,""prompt_tokens_details"":{""cached_tokens"":7168},""reasoning_tokens"":0,""total_tokens"":9888},""utc_end"":""2026-09-14T10:25:48.916632+00:00"",""utc_start"":""2026-09-14T10:25:44.428135+00:00""}"
6,2026-09-14T10:25:50.984616+00:00,False,False,[],[],[],50947,"{""cache_read_tokens"":8960,""input_tokens"":11866,""output_tokens"":83}","{""cache_read_tokens"":8960,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11866,""latency_seconds"":3.125363999977708,""ledger_id"":335,""output_tokens"":83,""request_body_sha256"":""25517aba7e237499766f6e57fbb1b7c9cb5f9795fef24caa0ae83d42d412df55"",""request_bytes"":50947,""requested_model"":""EB-GLM-5.2"",""response_bytes"":941,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""42af46357cb115f61a8dc5b4b1cb5984b62a45bac5de0b2cd6df0f9bfcebec9e"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":8960,""completion_cost"":0.0,""completion_tokens"":83,""prompt_cost"":0.0,""prompt_tokens"":11866,""prompt_tokens_details"":{""cached_tokens"":8960},""reasoning_tokens"":0,""total_tokens"":11949},""utc_end"":""2026-09-14T10:25:54.141154+00:00"",""utc_start"":""2026-09-14T10:25:50.997712+00:00""}"
7,2026-09-14T10:25:55.749421+00:00,False,False,[],[],[],59347,"{""cache_read_tokens"":11008,""input_tokens"":13743,""output_tokens"":36}","{""cache_read_tokens"":11008,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13743,""latency_seconds"":1.6079336000257172,""ledger_id"":336,""output_tokens"":36,""request_body_sha256"":""56f7827c95801c2ad1695af4c8f3fde32ec4ff99954b262940e07bc06bb7f624"",""request_bytes"":59347,""requested_model"":""EB-GLM-5.2"",""response_bytes"":714,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""caa7cd2f6994d53a47be95bc00e9a6842fc0a98d0ed2c6080ecf284e5ea86ef1"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":11008,""completion_cost"":0.0,""completion_tokens"":36,""prompt_cost"":0.0,""prompt_tokens"":13743,""prompt_tokens_details"":{""cached_tokens"":11008},""reasoning_tokens"":0,""total_tokens"":13779},""utc_end"":""2026-09-14T10:25:57.383632+00:00"",""utc_start"":""2026-09-14T10:25:55.760056+00:00""}"
8,2026-09-14T10:25:57.432183+00:00,False,False,"[""e1""]",[],[],63155,"{""cache_read_tokens"":12800,""input_tokens"":14718,""output_tokens"":155}","{""cache_read_tokens"":12800,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14718,""latency_seconds"":3.6936152999987826,""ledger_id"":337,""output_tokens"":155,""request_body_sha256"":""53d72b6a0380e7ab4653acdf78b49d127117b2781d9b9c8703e5145dcc27d3ff"",""request_bytes"":63155,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1332,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""9b6ea01a735fcacaf29312d6964fed38f42b4b0ad57e8400591b4074bf96b008"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":12800,""completion_cost"":0.0,""completion_tokens"":155,""prompt_cost"":0.0,""prompt_tokens"":14718,""prompt_tokens_details"":{""cached_tokens"":12800},""reasoning_tokens"":0,""total_tokens"":14873},""utc_end"":""2026-09-14T10:26:01.154007+00:00"",""utc_start"":""2026-09-14T10:25:57.443025+00:00""}"
9,2026-09-14T10:26:04.020136+00:00,False,False,"[""e1""]",[],[],79518,"{""cache_read_tokens"":13824,""input_tokens"":18647,""output_tokens"":112}","{""cache_read_tokens"":13824,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18647,""latency_seconds"":13.555183300020872,""ledger_id"":338,""output_tokens"":112,""request_body_sha256"":""1cf9c56a4b44971b45c5eae8cfc2e8f61b6d4963cc4dc2fec26c5dd32be823c2"",""request_bytes"":79518,""requested_model"":""EB-GLM-5.2"",""response_bytes"":999,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""683e049e4cda7ac1e29a7fbd634d265f1547233a566dda3baceda83f7a576754"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":13824,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":18647,""prompt_tokens_details"":{""cached_tokens"":13824},""reasoning_tokens"":0,""total_tokens"":18759},""utc_end"":""2026-09-14T10:26:17.605264+00:00"",""utc_start"":""2026-09-14T10:26:04.030644+00:00""}"
10,2026-09-14T10:26:17.654607+00:00,False,False,"[""e1"",""e2""]",[],[],83653,"{""cache_read_tokens"":17792,""input_tokens"":19777,""output_tokens"":122}","{""cache_read_tokens"":17792,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19777,""latency_seconds"":2.995625999988988,""ledger_id"":339,""output_tokens"":122,""request_body_sha256"":""83f1cd44bc88ca39288b5ecafff9ca2860639151dd1227c46652cbf5f44593ac"",""request_bytes"":83653,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1058,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""61ea4faadc8300ad78d7731756b2f8e170f798a6fa015ac2b9ee8354a235be2f"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":17792,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":19777,""prompt_tokens_details"":{""cached_tokens"":17792},""reasoning_tokens"":0,""total_tokens"":19899},""utc_end"":""2026-09-14T10:26:20.678270+00:00"",""utc_start"":""2026-09-14T10:26:17.665867+00:00""}"
