round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-14T08:29:52.424195+00:00,Latin music club West Coast 1970s seven nights week,"[""latin"",""music"",""club"",""west"",""coast"",""1970s"",""seven"",""nights"",""week""]","""latin"" OR ""music"" OR ""club"" OR ""west"" OR ""coast"" OR ""1970s"" OR ""seven"" OR ""nights"" OR ""week""",5,1e78a4a6f6970ff355d74a7802e78e25bee72402ce6cfa62b0cf862bce4870e9,0ad95b121d577cf1920c7d151b9d779db98d6b2f79211a08b3a1604af4aeaad5,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""39780"",""4911"",""16190"",""94288"",""47850""]","[{""docid"":""39780"",""score"":21.19231612919655,""snippet"":"" ... Usually the comedian opened for a singer (only with a great comedian was it the other way around) and three sets a night, seven nights a week, four weeks an engagement (not to mention the travel) was grueling work. That kind of gig was, of course, not helped ... "",""title"":""https://www.pbs.org/wnet/makeemlaugh/comedys-evolution/history-clubs-camps-and-catskills/29/""},{""docid"":""4911"",""score"":21.188602003703036,""snippet"":"" ... South Philly rock 'n' roll pioneer Charlie Gracie, known for his 1957 million-selling chart-topper, \""Butterfly,\"" had a yearlong stint in the lounge from 1961 to '62, hired to do three 20-minute spots a night, seven nights a week, to fill the lull between sets by ... "",""title"":""https://www.southjerseymagazine.com/article/1258/The-Latin-Legend""},{""docid"":""16190"",""score"":21.00319499622104,""snippet"":"" ... Due to the success of Death Row Records, West Coast hip hop dominated hip hop during the early 1990s, alongside the Notorious B.I.G. on the East Coast. Hip hop became the best selling music genre by the mid-1990s.\n\nHigh-selling rap albums released in the ... "",""title"":""https://en.wikipedia.org/wiki/1990s_in_music""},{""docid"":""94288"",""score"":20.96978136636708,""snippet"":"" ... She grew to be insanely popular with the Latin community and quickly reached star status, with a devoted fan club. With her musical success, Selena gained the financial means to launch her own fashion line. At the peak of the singer's career, her family discovered that the ... "",""title"":""https://abcnews.go.com/Entertainment/story?id=4174733&page=1""},{""docid"":""47850"",""score"":20.837163887790023,""snippet"":"" ... the High School of Music and Art up on West 135th Street in the '50s, Larry was obsessed with Latin music. He would head back to Manhattan on Sunday afternoons to see incredible bands at the Palladium Ballroom, the second-floor dance club on Fifty-third and Broadway ... "",""title"":""https://www.amazon.com/Love-Goes-Buildings-Fire-Changed/dp/0374533547""}]"
1,14,2026-09-14T08:30:04.381691+00:00,Bajari Latin music club 1970s,"[""bajari"",""latin"",""music"",""club"",""1970s""]","""bajari"" OR ""latin"" OR ""music"" OR ""club"" OR ""1970s""",5,2064772f428358ee3d9280830cf820df80a052f91991ac170f80d398287bc030,1ea3aeb802bf13535eaac699b67d741a263f149956248beddc3e3eb54ba041b1,False,"[""d6"",""d7"",""d2"",""d8"",""d9""]","[""10515"",""47763"",""4911"",""31105"",""25162""]","[{""docid"":""10515"",""score"":18.52293486459598,""snippet"":"" ... Pat Bajari, Chief Economist and Vice President, Amazon\n\nPat Bajari is Chief Economist and Vice President at Amazon, whose team of PhD economists uses applied econometrics to help Amazon better serve its customers and operate more efficiently and has collaborated with other Amazonians to develop technically advanced but ... "",""title"":""https://www.nabe.com/NABE/NABE/Events/TEC18/TEC18_Main_Page.aspx?New_ContentCollectionOrganizerCommon=7""},{""docid"":""47763"",""score"":12.864186411923212,""snippet"":"" ... The 40 Best Latin Music Clubs in America\ndate: 2020-06-04\n---\nOne of the great things about Latin music clubs is they are interactive, combining the love of music with the love of dance. Much of Latin music isn't necessarily meant to be listening music. It ... "",""title"":""https://www.gwepa.com/the-40-best-latin-music-clubs-in-america/""},{""docid"":""4911"",""score"":12.659534691388735,""snippet"":"" ... It was such a large space that many stars were flown by helicopter to the club's back lot after landing at Philadelphia International Airport.\n\n\""The Latin Casino was something to behold,\"" remembers Jerry Gross of The Dovells, a Cherry Hill resident since the Latin's opening. \""It ... "",""title"":""https://www.southjerseymagazine.com/article/1258/The-Latin-Legend""},{""docid"":""31105"",""score"":12.558639706018042,""snippet"":"" ... Chuck was always bringing new music and new musicians to my attention and so it is no surprise that it was during one of his FM radio broadcasts that I had my first sampling of the Latin Jazz music of the Cuban group IRAKERE in the late 1970 ... "",""title"":""https://jazzprofiles.blogspot.com/2017/04/irakere.html""},{""docid"":""25162"",""score"":12.558577335903493,""snippet"":"" ... In the early 1980s, house music, a direct descendant of disco, was forged in the underground clubs of Chicago, Detroit, and New York.\n\nFreestyle also originated in New York during the 1980s. A sound characterized by a mixture of Latin music beats and melodies fused with elements of ... "",""title"":""https://en.wikipedia.org/wiki/Music_of_New_York_City""}]"
1,21,2026-09-14T08:30:04.829067+00:00,Latin music club 1970s California owner sound system,"[""latin"",""music"",""club"",""1970s"",""california"",""owner"",""sound"",""system""]","""latin"" OR ""music"" OR ""club"" OR ""1970s"" OR ""california"" OR ""owner"" OR ""sound"" OR ""system""",5,a26c91b655c144cdd9e9e7c11d5b82b312090ac3c3aa28c2aa53c6e00803cfc0,4bfc8910fe2db99df2df2b9ef6447e988dbc4eaa9ddee3dc562f9b946adecc77,False,"[""d10"",""d8"",""d11"",""d12"",""d13""]","[""38249"",""31105"",""47788"",""99024"",""22827""]","[{""docid"":""38249"",""score"":20.005680852882392,""snippet"":"" ... smaller clubs with less space, making it prohibitive for their owners to hire more than one band. It was the beginning of the end. The other factor was the ever changing face of \""latin\"" music itself. The marielitos had brought with them a new fresh sound from the ... "",""title"":""https://latinjazznet.com/featured/terry-pearce-remembers-the-golden-era-of-dance-music-in-nyc/""},{""docid"":""31105"",""score"":19.422687004010406,""snippet"":"" ... Chuck was always bringing new music and new musicians to my attention and so it is no surprise that it was during one of his FM radio broadcasts that I had my first sampling of the Latin Jazz music of the Cuban group IRAKERE in the late 1970 ... "",""title"":""https://jazzprofiles.blogspot.com/2017/04/irakere.html""},{""docid"":""47788"",""score"":19.3390375387435,""snippet"":"" ... There was never anything like that system. There will never be anything like that system. Records that would sound adequate in your club, they would sound tremendous in the Garage. So you have a whole new outlook on the record. You play it in your club and wonder ... "",""title"":""https://daily.redbullmusicacademy.com/2019/01/tony-smith-interview/""},{""docid"":""99024"",""score"":19.31766114200658,""snippet"":"" ... Located on the ground floor of The DoubleTree Suites, the club is renowned throughout the area for its unrivaled sound system, robust cocktail menu and tantalizing food and dessert selections.\n\nSOUTHEAST\n\nWashington, D.C.\n\nBlues Alley\n\n1073 Wisconsin Ave NW, Washington, DC 20007\n\nbluesalley.com\n\nDubbed \""the nation ... "",""title"":""https://jazziz.com/jazz-travel-guide-25-u-s-venues-you-must-visit/""},{""docid"":""22827"",""score"":19.05198993260126,""snippet"":"" ... Edward \""Eddie\"" Cano (June 6, 1927 – January 30, 1988) was an Afro-Cuban jazz and Latin jazz pianist born in Los Angeles, California. He began his musical career with Miguelito Valdés and his orchestra. Cano has worked with many other notable musicians including Bobby Ramos, Les Baxter, Jack ... "",""title"":""https://www.lincolnhs.org/apps/pages/index.jsp?uREC_ID=61159&type=d&pREC_ID=1676067""}]"
1,29,2026-09-14T08:30:07.057638+00:00,weekly magazine founded 1800s sold $100 million,"[""weekly"",""magazine"",""founded"",""1800s"",""sold"",""100"",""million""]","""weekly"" OR ""magazine"" OR ""founded"" OR ""1800s"" OR ""sold"" OR ""100"" OR ""million""",5,656ab1f99c2749618aff743f7c57bd440a7186c8b0450a909ac5ffbb3027d359,20b148d9470b01239d2fe7c2f9fd315d4e063fd424c99b40ddcbb759b82b3bbd,False,"[""d14"",""d15"",""d16"",""d17"",""d18""]","[""9165"",""78737"",""56171"",""1361"",""36940""]","[{""docid"":""9165"",""score"":19.49258109945629,""snippet"":"" ... The population was a million in 1800 and more than two million by the middle of the nineteenth century.17 The number of new publications for the 1800-60 period in London, for both newspapers and magazines, is large—some 1500 titles. This is very much higher than ... "",""title"":""https://www.gale.com/intl/essays/ed-king-british-newspapers-1800-1860""},{""docid"":""78737"",""score"":18.004860787813794,""snippet"":"" ... Includes contributions published in 6 regional daily & weekly newspapers and in 47 other political and cultural magazines, entertainment magazines and magazines of the German-speaking countries (Germany, Austria, Switzerland, South Tyrol, Liechtenstein and Luxembourg).\n\n- International Herald Tribune Historical Archive, 1888-2013 Sold in over 160 countries and read ... "",""title"":""https://libguides.bodleian.ox.ac.uk/newspapers/bytitle""},{""docid"":""56171"",""score"":17.977171615807425,""snippet"":"" ... Founded by Herbert Ingram in 1842, The Illustrated London News was the first illustrated weekly news magazine.\n\nBritain\n\nThe oldest consumer magazine still in print is The Scots Magazine, which was first published in 1739, though multiple changes in ownership and gaps in publication totalling over 90 years ... "",""title"":""https://en.wikipedia.org/wiki/Magazine""},{""docid"":""1361"",""score"":17.86784416058761,""snippet"":"" ... Monthly Journal/magazine. Publishers: LeCount and Strong. Noted as \""first California magazine.\"" The Old Pioneer Press |\n\n| Placer Times | Sacramento | 1849 - 1850. (Placer Times and Transcript), Sacramento. 1849. Weekly. Converted into a daily and moved to San Francisco for publication. First published on June 28, 1852 under the management ... "",""title"":""https://www.maritimeheritage.org/news/California-Newspapers-1800s.html""},{""docid"":""36940"",""score"":17.567449810984822,""snippet"":"" ... In 1937, for instance, they owned nearly one in every two national and local daily papers sold in Britain, as well as one in every three Sunday papers that were sold. The combined circulation of all their newspapers amounted to over thirteen million.[46]\n\nThe Times of London ... "",""title"":""https://brewminate.com/a-history-of-newspaper-publishing-since-the-17th-century/""}]"
1,37,2026-09-14T08:30:08.996619+00:00,New York magazine sold $100 million history,"[""new"",""york"",""magazine"",""sold"",""100"",""million"",""history""]","""new"" OR ""york"" OR ""magazine"" OR ""sold"" OR ""100"" OR ""million"" OR ""history""",5,973c1283c6ac520e8520f522e3f21c54dc2a2118ab98f694287ff9c8d281f977,bd6b66bc1876d77929806abefb900efecb0832abc861a10a32333503e2eb2db6,False,"[""d19"",""d20"",""d21"",""d22"",""d23""]","[""52137"",""97044"",""84189"",""60525"",""96601""]","[{""docid"":""52137"",""score"":12.31761713681103,""snippet"":"" ... However, there is a detailed history of Sega's first party North American sales through 1998 totaling 20.998 million, a number confirmed by the New York Times' statement \""some 20 million 16-bit Genesis consoles in the United States alone\"" in 1998;[44] total North American sales ... "",""title"":""https://vgsales.fandom.com/wiki/Fourth_generation_of_video_games""},{""docid"":""97044"",""score"":12.277019015748477,""snippet"":"" ... The sales history of this painting is certainly interesting. It was sold for $48.4 million in New York at the legendary 1997 Ganz auction1. Almost sold privately for $139 million in 2006, but its then owner (Steve Wynn) damaged it before the sale2. Finally sold in 2013 ... "",""title"":""https://theartwolf.com/art-market/most-valuable-paintings/""},{""docid"":""84189"",""score"":12.233814420877927,""snippet"":"" ... New York City. Printing two million books and pamphlets per year, Harpers had become the biggest publishing house in the world.\n\nAlso in 1850, the Harpers decided to launch a magazine, Harper's Monthly. Originally intended to promote the firm's authors and their books, the magazine contained ... "",""title"":""https://americanbusinesshistory.org/not-so-american-anymore-book-publishing-part-one-of-two/""},{""docid"":""60525"",""score"":12.192394304453789,""snippet"":"" ... 17, 000 magazines per week15.2 million unique visitors per month Media Kit Billboard June 15, 2016 August 6, 2019\ncompany: Eldridge Industries\ncountry: United States\nbased: New York City\nissn: 0006-2510\noclc: 732913734\n\nBillboard (stylized in lowercase since 2013) is an American music and entertainment magazine ... "",""title"":""https://en.wikipedia.org/wiki/Billboard_%28magazine%29""},{""docid"":""96601"",""score"":11.965767554514454,""snippet"":"" ... Manhattan, New York City, New York, U.S.\nissn: 0034-0375\n\nReader's Digest is an American general-interest family magazine, published ten times a year. Formerly based in Chappaqua, New York, it is now headquartered in midtown Manhattan. The magazine was founded in 1922 by DeWitt Wallace ... "",""title"":""https://en.wikipedia.org/wiki/Reader%27s_Digest""}]"
1,45,2026-09-14T08:30:10.674133+00:00,Village Voice sold $100 million,"[""village"",""voice"",""sold"",""100"",""million""]","""village"" OR ""voice"" OR ""sold"" OR ""100"" OR ""million""",5,d7e676a4c84c852a61d16c624e355a4412def0cefcee281ab1dba325ccf6d592,d597a2a9940583032ecfba75b483a018cf5d5797b43af7ec446fc5b68d0b1a49,False,"[""d24"",""d25"",""d26"",""d27"",""d28""]","[""8618"",""79853"",""16539"",""57190"",""51429""]","[{""docid"":""8618"",""score"":13.497535959341208,""snippet"":"" ... in his voice an unmistakable honesty about the hard facts of life, love and faith.\n\nJohnny Cash placed at least two hit singles a year on the country music charts for 33 years running, and over 53 million copies of his record albums have been sold since 1959 ... "",""title"":""https://achievement.org/achiever/johnny-cash/""},{""docid"":""79853"",""score"":13.129269630511644,""snippet"":"" ... New Times launched with a circulation of 100,000, compared with L.A. Weekly's circulation of 195,000. L.A. Weekly's owner also owned New York's Village Voice and Orange County's OC Weekly. With respect to competition between L.A. New Times and L ... "",""title"":""https://www.fundinguniverse.com/company-histories/new-times-inc-history""},{""docid"":""16539"",""score"":12.655035316921989,""snippet"":"" ... The Villages® Entertainment cannot guarantee the validity or control the prices of tickets sold by unauthorized re-sellers and such tickets may cost more than tickets sold by The Villages® Entertainment."",""title"":""https://www.thesharon.com/schedule.php""},{""docid"":""57190"",""score"":12.514765833663624,""snippet"":"" ... Billboard Hot 100 chart and sold 11 million copies worldwide. Trainor has released six studio albums with the label and has received various accolades, including a Grammy Award, four ASCAP Pop Music Awards, and two Billboard Music Awards.\n\nTrainor became interested in music at a young age; she ... "",""title"":""https://kids.kiddle.co/Meghan_Trainor""},{""docid"":""51429"",""score"":12.511207977090908,""snippet"":"" ... The expansion culminated in NTI's announcement in 2005 that it was merging with the Village Voice in New York City to create Village Voice Media, with 17 papers and 1.8 million readers.\n\nEditorially, Lacey proved his chops. Over time, his writers and editors won more than ... "",""title"":""https://en.wikipedia.org/wiki/Michael_Lacey_(editor)""}]"
2,62,2026-09-14T08:30:15.612628+00:00,New York magazine founded 1968 sold $100 million,"[""new"",""york"",""magazine"",""founded"",""1968"",""sold"",""100"",""million""]","""new"" OR ""york"" OR ""magazine"" OR ""founded"" OR ""1968"" OR ""sold"" OR ""100"" OR ""million""",5,66150b780cbb85205e21e69298ce97abcf883c4a1d3fef910d35e8be34959784,50fb7efce5c897c19822b515d4f3b6fa740f4d13f38c93061f1a8c344f8ec960,False,"[""d29"",""d30"",""d31"",""d32"",""d33""]","[""31677"",""11243"",""18662"",""52445"",""12927""]","[{""docid"":""31677"",""score"":15.152702137209872,""snippet"":"" ... In 2006, the album was rated No.1 on Classic Rock magazine's '100 Greatest British Albums' poll, and No.1 in a poll conducted by Guitar World. The album has now sold over 23 million copies in the US. The typeface for the lyrics to Stairway to ... "",""title"":""https://www.thisdayinmusic.com/classic-albums/led-zeppelin-led-zeppelin-1/""},{""docid"":""11243"",""score"":15.000826303048113,""snippet"":"" ... 1964 - ClassicBands.com\n\nJuly 10\n\nManfred Mann release their version of \""Do Wah Diddy Diddy\"", which will top the UK Official Chart next August and the Billboard Hot 100 the following October. The song was originally recorded by the Queens, New York quartet, The Exciters, but their effort ... "",""title"":""http://www.classicbands.com/day/july%2010.html""},{""docid"":""18662"",""score"":14.909142345336317,""snippet"":"" ... Pepper sold in an auction at Sotheby's London for $100,000 (£56,600). The lyrics were put up for sale again in March 2006 by Bonhams in New York. Sealed bids were opened on 7 March 2006 and offers started at about $2 million. The lyric sheet ... "",""title"":""https://www.thisdayinmusic.com/liner-notes/the-beatles-promo-films/""},{""docid"":""52445"",""score"":14.709549919751867,""snippet"":"" ... Zondervan, 1975.\n\n\""Dyess Gets Ready to Greet Singing Star Johnny Cash at His Homecoming Show.\"" Arkansas Gazette, February 2, 1968, p. 1.\n\nFairbanks, Brian. Willie, Waylon, and the Boys: How Nashville Outsiders Changed Country Music Forever. New York: Hachette Books, 2024.\n\nFoley, Michael Stewart. \""A Politics of Empathy ... "",""title"":""https://encyclopediaofarkansas.net/entries/johnny-cash-9/""},{""docid"":""12927"",""score"":14.676073277629943,""snippet"":"" ... Category:1923 establishments in New York City\nCategory:American news websites\nCategory:Biweekly magazines published in the United States\nCategory:English-language magazines\nCategory:Magazines established in 1923\nCategory:Magazines formerly owned by Meredith Corporation\nCategory:Magazines published in New York City\nCategory:News magazines published in the ... "",""title"":""https://en.wikipedia.org/wiki/Time_(magazine)""}]"
2,70,2026-09-14T08:30:16.352673+00:00,Village Voice founded 1955 sold $100 million,"[""village"",""voice"",""founded"",""1955"",""sold"",""100"",""million""]","""village"" OR ""voice"" OR ""founded"" OR ""1955"" OR ""sold"" OR ""100"" OR ""million""",5,76361e3317e768a56ac45bb3d26b1998625dbb392cab21438ec303599ca880cf,c06eb8e64a7a93624fbfb4c137fa42939a6d6c53a08a94694eb285aee4da36cc,False,"[""d24"",""d34"",""d35"",""d36"",""d37""]","[""8618"",""546"",""40580"",""69191"",""1787""]","[{""docid"":""8618"",""score"":16.735716906826053,""snippet"":"" ... in his voice an unmistakable honesty about the hard facts of life, love and faith.\n\nJohnny Cash placed at least two hit singles a year on the country music charts for 33 years running, and over 53 million copies of his record albums have been sold since 1959 ... "",""title"":""https://achievement.org/achiever/johnny-cash/""},{""docid"":""546"",""score"":15.181929626851087,""snippet"":"" ... She had her first hit with 'Born a Woman', which reached No.12 on the Hot 100 in August 1966. It sold over one million copies and was awarded a gold disc. Working as a receptionist at a studio in Memphis, she took part in recording sessions across ... "",""title"":""https://www.thisdayinmusic.com/liner-notes/heartbreak-hotel/""},{""docid"":""40580"",""score"":14.453027623110748,""snippet"":"" ... To be sure, voices of peasants and workers are rare in the book or are chosen very selectively. How did millions of peasants feel when they received land, houses and farming equipment and when the documentation of their debts were burned? How did poor peasants who became village ... "",""title"":""https://www.cambridge.org/core/journals/china-quarterly/article/chinese-revolution-and-liberation-whose-tragedy/6CED64ED2643C942F9080F7A5554623A""},{""docid"":""69191"",""score"":14.404217819468048,""snippet"":"" ... In 1955, he and three others founded The Village Voice, an arts and politics-oriented weekly newspaper distributed in Greenwich Village.\n\nIn 1960, Mailer was convicted of assault and served a three-year probation after he stabbed his wife Adele Morales with a penknife, nearly killing her. In ... "",""title"":""https://en.wikipedia.org/wiki/Norman_Mailer""},{""docid"":""1787"",""score"":14.362260521164451,""snippet"":"" ... Native Son (1955) and Nobody Knows My Name: More Notes of a Native Son (1961).\n\nNobody Knows My Name hit the bestsellers list, selling more than a million copies. While not a marching or sit-in style activist, Baldwin emerged as one of the leading voices in the ... "",""title"":""https://www.biography.com/authors-writers/james-baldwin""}]"
2,77,2026-09-14T08:30:16.950548+00:00,weekly magazine founded 1800s sold 100 million dollars,"[""weekly"",""magazine"",""founded"",""1800s"",""sold"",""100"",""million"",""dollars""]","""weekly"" OR ""magazine"" OR ""founded"" OR ""1800s"" OR ""sold"" OR ""100"" OR ""million"" OR ""dollars""",5,37a91809f070e9f6273fe34b94c2cab25a8ccf79d7a614cf4ad1e297045f66e4,184d4cedfc99f6db7316f530de40e9d2b643c0f788b1a75d644cb01d86268d53,False,"[""d38"",""d39"",""d14"",""d40"",""d41""]","[""23522"",""99602"",""9165"",""12368"",""32515""]","[{""docid"":""23522"",""score"":20.45077215015025,""snippet"":"" ... In 1800 the American newspaper industry consisted of only 200 barely solvent one-man operations. A century later the American press was made up of 21,000 papers, many with large and complex reportorial, editorial, and business staffs, and generating 96 million dollars in annual advertising revenue. By ... "",""title"":""https://www.gale.com/intl/essays/david-l-jamison-newspapers-press""},{""docid"":""99602"",""score"":20.169874206906368,""snippet"":"" ... By now, Curtis's bookkeepers warned him, he had invested $800,000 into the magazine. Curtis reportedly said, \""That gives us a margin of $200,000 more to make it a round million dollars.\"" He proposed putting that money into more advertising. \""That'll bring it up to ... "",""title"":""https://www.saturdayeveningpost.com/history-saturday-evening-post/""},{""docid"":""9165"",""score"":19.49258109945629,""snippet"":"" ... The population was a million in 1800 and more than two million by the middle of the nineteenth century.17 The number of new publications for the 1800-60 period in London, for both newspapers and magazines, is large—some 1500 titles. This is very much higher than ... "",""title"":""https://www.gale.com/intl/essays/ed-king-british-newspapers-1800-1860""},{""docid"":""12368"",""score"":19.250224289080936,""snippet"":"" ... of nearly $1 million dollars in 2020. Based on the fact that his estate also included a large number of cotton bails, these slaves were engaged in cotton production.\n\nAlthough often excluded from formal science, women made major marks on science in the 1800s by authoring textbooks and ... "",""title"":""https://libguides.colorado.edu/wrtg3030-HoS/1800s""},{""docid"":""32515"",""score"":18.843627242894023,""snippet"":"" ... These large daily newspapers cost 8 to 10 dollars for a yearly subscription, and were not sold as individual issues. Keep in mind that one dollar in 1840 would be approximately twenty dollars today, and that the daily wage for a laborer at that time ranged from 40 ... "",""title"":""https://www.library.illinois.edu/hpnl/tutorials/antebellum-newspapers-introduction/""}]"
2,85,2026-09-14T08:30:17.610381+00:00,Bajari Latin club San Francisco 1970s,"[""bajari"",""latin"",""club"",""san"",""francisco"",""1970s""]","""bajari"" OR ""latin"" OR ""club"" OR ""san"" OR ""francisco"" OR ""1970s""",5,4c2a5e5a640ce3e8a7e267a5f0cb524582e1f97c442dd2425db521980173a2bf,3c817bf8db57e05629ea2bb2878535175b616020a72ef7e33ae80c36d706b1e7,False,"[""d6"",""d42"",""d43"",""d44"",""d1""]","[""10515"",""78160"",""77756"",""91289"",""39780""]","[{""docid"":""10515"",""score"":23.806295110638562,""snippet"":"" ... Michael is based in McKinsey's San Francisco Office.\n\nElizabeth Conzo-Kershner, Analytics Leader, John DeereLiz Conzo leads John Deere's Precision Ag Analytics Team - a diverse team of data scientists, engineers, and agronomists developing solutions and insights in precision agriculture. Conzo has been working in or leading ... "",""title"":""https://www.nabe.com/NABE/NABE/Events/TEC18/TEC18_Main_Page.aspx?New_ContentCollectionOrganizerCommon=7""},{""docid"":""78160"",""score"":18.227854997992818,""snippet"":"" ... With their highly original blend of Latin-infused rock, jazz, blues, salsa, and African rhythms, the band gained an immediate following on the San Francisco strip club. The band's early success, capped off by a memorable performance at Woodstock in 1969, led to a recording contract with ... "",""title"":""https://walkoffame.com/carlos-santana/""},{""docid"":""77756"",""score"":17.67014045227041,""snippet"":"" ... There were 30 Latin American players in the NASL in the early 1970s, but that number declined by half in the late 1970s. The Los Angeles Aztecs (1974-1981) used their Pre-Columbian name to appeal to the Mexican population in the Los Angeles area. This strategy failed ... "",""title"":""https://www.nps.gov/articles/latinothemesports.htm""},{""docid"":""91289"",""score"":17.649213180733735,""snippet"":"" ... 2023-11-17\n---\nThe previous article about West Coast bands in 1970 focused on Los Angeles. We now take a trip up the California coast to San Francisco and two of my favorite 1970 albums. We come to the Bay Area and meet two very successful bands who ... "",""title"":""https://musicaficionado.blog/2023/11/17/1970-west-coast-bands-part-2/""},{""docid"":""39780"",""score"":16.945923924518873,""snippet"":"" ... Again, the tone of these clubs followed the tune of the musicians who played there, usually jazz musicians and folk singers. The pioneer was the hungry i in San Francisco, which opened its basement doors in 1951. Its legendary owner, Enrico Banducci, created a venue in complete opposition ... "",""title"":""https://www.pbs.org/wnet/makeemlaugh/comedys-evolution/history-clubs-camps-and-catskills/29/""}]"
