round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-14T08:29:49.613036+00:00,False,False,[],[],[],7425,"{""cache_read_tokens"":0,""input_tokens"":1881,""output_tokens"":111}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":1881,""latency_seconds"":2.740590700006578,""ledger_id"":30,""output_tokens"":111,""request_body_sha256"":""cc45c36bef4e6902a5a37d050e66180578268bdab22bf72382b409decce4fde3"",""request_bytes"":7425,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1100,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""f77573371d48662b655d246787ea1c6340cfcd789f5967ca6901b6350e7c7f04"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":111,""prompt_cost"":0.0,""prompt_tokens"":1881,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":1992},""utc_end"":""2026-09-14T08:29:52.398842+00:00"",""utc_start"":""2026-09-14T08:29:49.639439+00:00""}"
2,2026-09-14T08:30:11.309256+00:00,False,False,[],[],[],23104,"{""cache_read_tokens"":1536,""input_tokens"":5415,""output_tokens"":130}","{""cache_read_tokens"":1536,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":5415,""latency_seconds"":4.237407000007806,""ledger_id"":31,""output_tokens"":130,""request_body_sha256"":""42ccc11029b894fd212db307b2adfb06ca61178e2037760aeef1dd13431725b0"",""request_bytes"":23104,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1158,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""de6d44a7eb8f18a2d3a99d4e61836f4bb6398740ab5121e652871c89126018be"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":1536,""completion_cost"":0.0,""completion_tokens"":130,""prompt_cost"":0.0,""prompt_tokens"":5415,""prompt_tokens_details"":{""cached_tokens"":1536},""reasoning_tokens"":0,""total_tokens"":5545},""utc_end"":""2026-09-14T08:30:15.581216+00:00"",""utc_start"":""2026-09-14T08:30:11.322424+00:00""}"
3,2026-09-14T08:30:19.418998+00:00,False,False,[],[],[],40906,"{""cache_read_tokens"":4992,""input_tokens"":9582,""output_tokens"":183}","{""cache_read_tokens"":4992,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9582,""latency_seconds"":3.883602099987911,""ledger_id"":32,""output_tokens"":183,""request_body_sha256"":""c42e8fecc45e5f74f27f0ef23e3f3f9531fe2f17a612b1f37c26e5cdf3504f9d"",""request_bytes"":40906,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1347,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8c2991381902986914666d2ed2ed1d531de6468018c0a282df06cf203babb8fe"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":4992,""completion_cost"":0.0,""completion_tokens"":183,""prompt_cost"":0.0,""prompt_tokens"":9582,""prompt_tokens_details"":{""cached_tokens"":4992},""reasoning_tokens"":0,""total_tokens"":9765},""utc_end"":""2026-09-14T08:30:23.337121+00:00"",""utc_start"":""2026-09-14T08:30:19.433027+00:00""}"
4,2026-09-14T08:30:30.650957+00:00,False,False,[],[],[],57433,"{""cache_read_tokens"":8704,""input_tokens"":13580,""output_tokens"":192}","{""cache_read_tokens"":8704,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13580,""latency_seconds"":9.167656799982069,""ledger_id"":33,""output_tokens"":192,""request_body_sha256"":""03875ce937d6dc2ca8b1471b13ebd56a1f9367b970205aaed91e9320b453742c"",""request_bytes"":57433,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1365,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""ccfc11a91cd36e791e8747fe0e128bd24f9234ee10ec19a1db6ac546b35e0e79"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":8704,""completion_cost"":0.0,""completion_tokens"":192,""prompt_cost"":0.0,""prompt_tokens"":13580,""prompt_tokens_details"":{""cached_tokens"":8704},""reasoning_tokens"":0,""total_tokens"":13772},""utc_end"":""2026-09-14T08:30:39.849541+00:00"",""utc_start"":""2026-09-14T08:30:30.663144+00:00""}"
5,2026-09-14T08:30:43.641991+00:00,False,False,[],[],[],74141,"{""cache_read_tokens"":12672,""input_tokens"":17479,""output_tokens"":184}","{""cache_read_tokens"":12672,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17479,""latency_seconds"":4.319642999995267,""ledger_id"":34,""output_tokens"":184,""request_body_sha256"":""7036f886a26273dbdb2d3cd58db33a2f5b348372458d17a413147df704b380f9"",""request_bytes"":74141,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1393,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""630f70a3d5d890593bd1ff0ba781a42c5722bbf9dd2121aabc2fc64415ed76cf"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":12672,""completion_cost"":0.0,""completion_tokens"":184,""prompt_cost"":0.0,""prompt_tokens"":17479,""prompt_tokens_details"":{""cached_tokens"":12672},""reasoning_tokens"":0,""total_tokens"":17663},""utc_end"":""2026-09-14T08:30:48.028397+00:00"",""utc_start"":""2026-09-14T08:30:43.694163+00:00""}"
6,2026-09-14T08:30:51.606097+00:00,False,False,[],[],[],90405,"{""cache_read_tokens"":16640,""input_tokens"":21115,""output_tokens"":119}","{""cache_read_tokens"":16640,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21115,""latency_seconds"":4.17257470000186,""ledger_id"":35,""output_tokens"":119,""request_body_sha256"":""405f81b6e06befb9c22cadf14b3bce712dad71d86e89af93f4468e8027881319"",""request_bytes"":90405,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1121,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""ab06dd1900294191fb9c7d02dac7728ff82ad08148169e9772b92ffc550f66ec"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":16640,""completion_cost"":0.0,""completion_tokens"":119,""prompt_cost"":0.0,""prompt_tokens"":21115,""prompt_tokens_details"":{""cached_tokens"":16640},""reasoning_tokens"":0,""total_tokens"":21234},""utc_end"":""2026-09-14T08:30:55.808967+00:00"",""utc_start"":""2026-09-14T08:30:51.620038+00:00""}"
7,2026-09-14T08:30:57.840812+00:00,False,True,"[""e1""]",[],[],70618,"{""cache_read_tokens"":1536,""input_tokens"":16610,""output_tokens"":156}","{""cache_read_tokens"":1536,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16610,""latency_seconds"":4.653614600014407,""ledger_id"":36,""output_tokens"":156,""request_body_sha256"":""600bb5414ee5a955fffe0cecc83d22bb49e4b1e42bab0b7d085b5ab42f1c84f1"",""request_bytes"":70618,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1236,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8b4f2e86c221e929cb5171a1a1c6cafc413810533bd9dae1b610518cf8cf5525"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":1536,""completion_cost"":0.0,""completion_tokens"":156,""prompt_cost"":0.0,""prompt_tokens"":16610,""prompt_tokens_details"":{""cached_tokens"":1536},""reasoning_tokens"":0,""total_tokens"":16766},""utc_end"":""2026-09-14T08:31:02.523043+00:00"",""utc_start"":""2026-09-14T08:30:57.853827+00:00""}"
8,2026-09-14T08:31:05.773337+00:00,False,False,"[""e1""]",[],[],86907,"{""cache_read_tokens"":15744,""input_tokens"":20500,""output_tokens"":87}","{""cache_read_tokens"":15744,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20500,""latency_seconds"":3.8287997000152245,""ledger_id"":37,""output_tokens"":87,""request_body_sha256"":""5e0c12f59961f605a044b214e8ce596d0bfea5e646c5f3a4d67ca0f7dee17bf5"",""request_bytes"":86907,""requested_model"":""EB-GLM-5.2"",""response_bytes"":894,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2c7ee205c48e1e7385a2a00b19203ca7d959969eeb005eb5f7ea1b17e4f2290f"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":15744,""completion_cost"":0.0,""completion_tokens"":87,""prompt_cost"":0.0,""prompt_tokens"":20500,""prompt_tokens_details"":{""cached_tokens"":15744},""reasoning_tokens"":0,""total_tokens"":20587},""utc_end"":""2026-09-14T08:31:09.632416+00:00"",""utc_start"":""2026-09-14T08:31:05.787533+00:00""}"
9,2026-09-14T08:31:09.705965+00:00,False,False,"[""e1"",""e2""]",[],[],91166,"{""cache_read_tokens"":19712,""input_tokens"":21626,""output_tokens"":60}","{""cache_read_tokens"":19712,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21626,""latency_seconds"":3.4259754000231624,""ledger_id"":38,""output_tokens"":60,""request_body_sha256"":""55e9f2f6b79b89e7c333a015353f34a94e088d94c7908ca20f1198846367d4d1"",""request_bytes"":91166,""requested_model"":""EB-GLM-5.2"",""response_bytes"":908,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""3a4c938370277e95154d38293c049eb3ac4f8d9377295d56d79d64ca5adf9263"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":19712,""completion_cost"":0.0,""completion_tokens"":60,""prompt_cost"":0.0,""prompt_tokens"":21626,""prompt_tokens_details"":{""cached_tokens"":19712},""reasoning_tokens"":0,""total_tokens"":21686},""utc_end"":""2026-09-14T08:31:13.195113+00:00"",""utc_start"":""2026-09-14T08:31:09.721786+00:00""}"
10,2026-09-14T08:31:13.407471+00:00,False,True,"[""e1"",""e2""]",[],[],44039,"{""cache_read_tokens"":1536,""input_tokens"":10625,""output_tokens"":57}","{""cache_read_tokens"":1536,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10625,""latency_seconds"":3.3494453000021167,""ledger_id"":39,""output_tokens"":57,""request_body_sha256"":""0bfbb0bb0e1c84cd2296ad835ed42877f33ec077b7d3eba59774e056c342c9c7"",""request_bytes"":44039,""requested_model"":""EB-GLM-5.2"",""response_bytes"":764,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0f0913b6481dfd9362bd4dc8b3eccdd16276e04b195595b2d7dcd6b78102bdd1"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":1536,""completion_cost"":0.0,""completion_tokens"":57,""prompt_cost"":0.0,""prompt_tokens"":10625,""prompt_tokens_details"":{""cached_tokens"":1536},""reasoning_tokens"":0,""total_tokens"":10682},""utc_end"":""2026-09-14T08:31:16.782479+00:00"",""utc_start"":""2026-09-14T08:31:13.417411+00:00""}"
