round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
1,e2,False,False,False
1,e3,False,False,False
1,e4,False,False,False
2,e1,False,False,False
2,e2,False,False,False
2,e3,False,False,False
2,e4,False,False,False
3,e1,True,False,False
3,e2,False,False,False
3,e3,False,False,False
3,e4,False,False,False
4,e1,True,False,False
4,e2,True,False,False
4,e3,False,False,False
4,e4,False,False,False
5,e1,True,True,False
5,e2,True,False,False
5,e3,False,False,False
5,e4,False,False,False
6,e1,True,True,False
6,e2,True,True,False
6,e3,False,False,False
6,e4,False,False,False
7,e1,True,True,False
7,e2,True,True,False
7,e3,False,False,False
7,e4,False,False,False
8,e1,True,True,False
8,e2,True,True,False
8,e3,True,False,False
8,e4,True,False,False
