round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T14:25:24.652471+00:00,False,False,[],[],[],16302,"{""cache_read_tokens"":3840,""input_tokens"":3894,""output_tokens"":82}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3894,""latency_seconds"":3.489814699976705,""ledger_id"":1318,""output_tokens"":82,""request_body_sha256"":""eaf53f5dfb5c65edc3cfab751a8d7ddbbf95d240c497508f09ed67de8ea4fb1d"",""request_bytes"":16302,""requested_model"":""EB-GLM-5.2"",""response_bytes"":859,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d348002d8e6d991b5ccb8ffadbc8f100e2f46a4bd34caea36123be9f849dc18d"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":82,""prompt_cost"":0.0,""prompt_tokens"":3894,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":3976},""utc_end"":""2026-09-15T14:25:28.264940+00:00"",""utc_start"":""2026-09-15T14:25:24.756899+00:00""}"
2,2026-09-15T14:25:30.248826+00:00,False,False,[],[],[],29872,"{""cache_read_tokens"":3328,""input_tokens"":7195,""output_tokens"":72}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":7195,""latency_seconds"":3.3235304999980144,""ledger_id"":1319,""output_tokens"":72,""request_body_sha256"":""a6512854c365fea9a7c0b54a07584858d00341adf51f286f3bbd3771f75463be"",""request_bytes"":29872,""requested_model"":""EB-GLM-5.2"",""response_bytes"":845,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d54bb0017c8c43b7173fbe74d07632dfedd722a2e2e1fa75efc135ab5990695c"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":72,""prompt_cost"":0.0,""prompt_tokens"":7195,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":7267},""utc_end"":""2026-09-15T14:25:33.684887+00:00"",""utc_start"":""2026-09-15T14:25:30.343597+00:00""}"
3,2026-09-15T14:25:33.835414+00:00,False,False,"[""e1""]",[],[],33937,"{""cache_read_tokens"":6016,""input_tokens"":8182,""output_tokens"":163}","{""cache_read_tokens"":6016,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8182,""latency_seconds"":3.060840799997095,""ledger_id"":1320,""output_tokens"":163,""request_body_sha256"":""744ae7e8332f3bbc00806c384368b28c325e3ba521e13e4ee098faf2298a7796"",""request_bytes"":33937,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1303,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""5de0b19736b10a3e7a7b9c0f67716f16ba8a44e4b329c03fd14321779ade25e1"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":6016,""completion_cost"":0.0,""completion_tokens"":163,""prompt_cost"":0.0,""prompt_tokens"":8182,""prompt_tokens_details"":{""cached_tokens"":6016},""reasoning_tokens"":0,""total_tokens"":8345},""utc_end"":""2026-09-15T14:25:37.027968+00:00"",""utc_start"":""2026-09-15T14:25:33.949432+00:00""}"
4,2026-09-15T14:25:39.750347+00:00,False,False,"[""e1""]",[],[],56758,"{""cache_read_tokens"":7040,""input_tokens"":13824,""output_tokens"":86}","{""cache_read_tokens"":7040,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13824,""latency_seconds"":3.5680848000047263,""ledger_id"":1321,""output_tokens"":86,""request_body_sha256"":""a224985b12daa4601e41f2b9e76af73847984e113d0c2e8dbda8700ca4feba1a"",""request_bytes"":56758,""requested_model"":""EB-GLM-5.2"",""response_bytes"":863,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""7827dde615553f313374151ec06be9397618aec7e26e8ebfd90c9f10a6540418"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":7040,""completion_cost"":0.0,""completion_tokens"":86,""prompt_cost"":0.0,""prompt_tokens"":13824,""prompt_tokens_details"":{""cached_tokens"":7040},""reasoning_tokens"":0,""total_tokens"":13910},""utc_end"":""2026-09-15T14:25:43.457385+00:00"",""utc_start"":""2026-09-15T14:25:39.871529+00:00""}"
5,2026-09-15T14:25:43.603584+00:00,False,False,"[""e1"",""e2""]",[],[],63823,"{""cache_read_tokens"":12544,""input_tokens"":15499,""output_tokens"":122}","{""cache_read_tokens"":12544,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15499,""latency_seconds"":2.2872749000089243,""ledger_id"":1322,""output_tokens"":122,""request_body_sha256"":""28369ec173f448f55a5ce7692734ddcf3c7d099a68c064395ae570945e26c50f"",""request_bytes"":63823,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1129,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1533c4ecae204c9432c913dd995b13391bed3419dfc974441d032479003f17af"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":12544,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":15499,""prompt_tokens_details"":{""cached_tokens"":12544},""reasoning_tokens"":0,""total_tokens"":15621},""utc_end"":""2026-09-15T14:25:46.019046+00:00"",""utc_start"":""2026-09-15T14:25:43.712780+00:00""}"
6,2026-09-15T14:25:47.431677+00:00,False,False,"[""e1"",""e2"",""e3""]",[],[],81924,"{""cache_read_tokens"":14208,""input_tokens"":19926,""output_tokens"":122}","{""cache_read_tokens"":14208,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19926,""latency_seconds"":3.823123999987729,""ledger_id"":1323,""output_tokens"":122,""request_body_sha256"":""0e81d386bf8d52fb3f261dd08d76b7685322abb9734ccf740acffda26424415d"",""request_bytes"":81924,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1115,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""03030571390266445d0dd1e1bf6de21fe2b9cc276c318a9a06bc7e649b386e9c"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":14208,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":19926,""prompt_tokens_details"":{""cached_tokens"":14208},""reasoning_tokens"":0,""total_tokens"":20048},""utc_end"":""2026-09-15T14:25:51.396131+00:00"",""utc_start"":""2026-09-15T14:25:47.555262+00:00""}"
7,2026-09-15T14:25:52.680792+00:00,False,True,"[""e1"",""e2"",""e3"",""e4""]","[""e1""]",[],89058,"{""cache_read_tokens"":3328,""input_tokens"":21754,""output_tokens"":122}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21754,""latency_seconds"":4.522724700014805,""ledger_id"":1324,""output_tokens"":122,""request_body_sha256"":""b3d9c78c6a94cece78fa0af2f42637b72adf610f723c9352e8a8dbff0384f6f0"",""request_bytes"":89058,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1113,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""83fd8affdbc2d5a29b17906570aec9b7f28d1c4a94a6cecc27c158c9386da3dc"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":21754,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21876},""utc_end"":""2026-09-15T14:25:57.344751+00:00"",""utc_start"":""2026-09-15T14:25:52.804199+00:00""}"
8,2026-09-15T14:25:58.060786+00:00,False,True,"[""e2"",""e3"",""e4"",""e5""]",[],[],78073,"{""cache_read_tokens"":3328,""input_tokens"":18988,""output_tokens"":122}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18988,""latency_seconds"":4.837223599985009,""ledger_id"":1325,""output_tokens"":122,""request_body_sha256"":""24eb6931f0c04c9654d291aaa43f2283b6b4ef735137f9d4bc147f1d2e5b1922"",""request_bytes"":78073,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1113,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""7beadd6db7221b86113bd93d541ded642941178cfa131781c1a47a5f9b9d4745"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":18988,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19110},""utc_end"":""2026-09-15T14:26:03.107848+00:00"",""utc_start"":""2026-09-15T14:25:58.232346+00:00""}"
9,2026-09-15T14:26:03.644270+00:00,False,False,"[""e2"",""e3"",""e4"",""e5"",""e6""]",[],[],91623,"{""cache_read_tokens"":17664,""input_tokens"":22324,""output_tokens"":122}","{""cache_read_tokens"":17664,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":22324,""latency_seconds"":4.586753300012788,""ledger_id"":1326,""output_tokens"":122,""request_body_sha256"":""9ce8807614d1b151304ce838b6489c246f0aed606bc8dd17af3b4d900eb56f9e"",""request_bytes"":91623,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1115,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""824011c8984ccc281d6ec191c6891c1f47adc9c7d3aac24ea204d42017f8f292"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":17664,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":22324,""prompt_tokens_details"":{""cached_tokens"":17664},""reasoning_tokens"":0,""total_tokens"":22446},""utc_end"":""2026-09-15T14:26:08.368774+00:00"",""utc_start"":""2026-09-15T14:26:03.764040+00:00""}"
10,2026-09-15T14:26:08.750038+00:00,False,True,"[""e4"",""e5"",""e6"",""e7""]",[],[],76855,"{""cache_read_tokens"":3456,""input_tokens"":18758,""output_tokens"":142}","{""cache_read_tokens"":3456,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18758,""latency_seconds"":4.84933669999009,""ledger_id"":1327,""output_tokens"":142,""request_body_sha256"":""f06b0604cdaa1758a0bc12a38c80d6eb195782fc9ef0f75cfc52914ebc3884fe"",""request_bytes"":76855,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1231,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""4f320d26b648585bc7628229b0482631084942b75bec759139b30f7d7dbd85a6"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3456,""completion_cost"":0.0,""completion_tokens"":142,""prompt_cost"":0.0,""prompt_tokens"":18758,""prompt_tokens_details"":{""cached_tokens"":3456},""reasoning_tokens"":0,""total_tokens"":18900},""utc_end"":""2026-09-15T14:26:13.735828+00:00"",""utc_start"":""2026-09-15T14:26:08.867495+00:00""}"
