round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
1,e2,False,False,False
1,e3,False,False,False
1,e4,False,False,False
1,e5,False,False,False
1,e6,False,False,False
1,e7,False,False,False
1,e8,False,False,False
1,e9,False,False,False
1,e10,False,False,False
2,e1,False,False,False
2,e2,False,False,False
2,e3,False,False,False
2,e4,False,False,False
2,e5,False,False,False
2,e6,False,False,False
2,e7,False,False,False
2,e8,False,False,False
2,e9,False,False,False
2,e10,False,False,False
3,e1,True,False,False
3,e2,False,False,False
3,e3,False,False,False
3,e4,False,False,False
3,e5,False,False,False
3,e6,False,False,False
3,e7,False,False,False
3,e8,False,False,False
3,e9,False,False,False
3,e10,False,False,False
4,e1,True,False,False
4,e2,False,False,False
4,e3,False,False,False
4,e4,False,False,False
4,e5,False,False,False
4,e6,False,False,False
4,e7,False,False,False
4,e8,False,False,False
4,e9,False,False,False
4,e10,False,False,False
5,e1,True,False,False
5,e2,True,False,False
5,e3,False,False,False
5,e4,False,False,False
5,e5,False,False,False
5,e6,False,False,False
5,e7,False,False,False
5,e8,False,False,False
5,e9,False,False,False
5,e10,False,False,False
6,e1,True,False,False
6,e2,True,False,False
6,e3,True,False,False
6,e4,False,False,False
6,e5,False,False,False
6,e6,False,False,False
6,e7,False,False,False
6,e8,False,False,False
6,e9,False,False,False
6,e10,False,False,False
7,e1,True,True,False
7,e2,True,False,False
7,e3,True,False,False
7,e4,True,False,False
7,e5,False,False,False
7,e6,False,False,False
7,e7,False,False,False
7,e8,False,False,False
7,e9,False,False,False
7,e10,False,False,False
8,e1,False,False,False
8,e2,True,False,False
8,e3,True,False,False
8,e4,True,False,False
8,e5,True,False,False
8,e6,False,False,False
8,e7,False,False,False
8,e8,False,False,False
8,e9,False,False,False
8,e10,False,False,False
9,e1,False,False,False
9,e2,True,False,False
9,e3,True,False,False
9,e4,True,False,False
9,e5,True,False,False
9,e6,True,False,False
9,e7,False,False,False
9,e8,False,False,False
9,e9,False,False,False
9,e10,False,False,False
10,e1,False,False,False
10,e2,False,False,False
10,e3,False,False,False
10,e4,True,False,False
10,e5,True,False,False
10,e6,True,False,False
10,e7,True,False,False
10,e8,False,False,False
10,e9,False,False,False
10,e10,False,False,False
11,e1,False,False,False
11,e2,False,False,False
11,e3,False,False,False
11,e4,False,False,False
11,e5,True,False,False
11,e6,True,False,False
11,e7,True,False,False
11,e8,False,False,False
11,e9,False,False,False
11,e10,False,False,False
12,e1,False,False,False
12,e2,False,False,False
12,e3,False,False,False
12,e4,False,False,False
12,e5,True,False,False
12,e6,True,False,False
12,e7,True,False,False
12,e8,True,False,False
12,e9,False,False,False
12,e10,False,False,False
13,e1,False,False,False
13,e2,False,False,False
13,e3,False,False,False
13,e4,False,False,False
13,e5,False,False,False
13,e6,True,True,False
13,e7,True,False,False
13,e8,True,False,False
13,e9,True,False,False
13,e10,False,False,False
14,e1,False,False,False
14,e2,False,False,False
14,e3,False,False,False
14,e4,False,False,False
14,e5,False,False,False
14,e6,False,False,False
14,e7,True,False,False
14,e8,True,False,False
14,e9,True,False,False
14,e10,True,False,False
