round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T14:22:22.505314+00:00,False,False,[],[],[],16302,"{""cache_read_tokens"":3200,""input_tokens"":3894,""output_tokens"":177}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3894,""latency_seconds"":3.788855400023749,""ledger_id"":1302,""output_tokens"":177,""request_body_sha256"":""eaf53f5dfb5c65edc3cfab751a8d7ddbbf95d240c497508f09ed67de8ea4fb1d"",""request_bytes"":16302,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1255,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d51290e381372e760a698b06d0d9208f2f5d58996fa22b6fbb1d76e1c3b4cf80"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":177,""prompt_cost"":0.0,""prompt_tokens"":3894,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":4071},""utc_end"":""2026-09-15T14:22:26.421925+00:00"",""utc_start"":""2026-09-15T14:22:22.615656+00:00""}"
2,2026-09-15T14:22:29.735701+00:00,False,False,[],[],[],40052,"{""cache_read_tokens"":3328,""input_tokens"":9680,""output_tokens"":120}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9680,""latency_seconds"":2.8356824000074994,""ledger_id"":1303,""output_tokens"":120,""request_body_sha256"":""fee9ab65e58d83896dc59f590e7b8ea13a76e3aaa0948f4e80c6de41300e1a68"",""request_bytes"":40052,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1154,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c80df2cf17f48e333c94756f59a6e6a30c063a95bfef067bca10fa2dc03bd309"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":120,""prompt_cost"":0.0,""prompt_tokens"":9680,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9800},""utc_end"":""2026-09-15T14:22:32.701142+00:00"",""utc_start"":""2026-09-15T14:22:29.846802+00:00""}"
3,2026-09-15T14:22:32.949460+00:00,False,False,"[""e1"",""e2""]",[],[],47896,"{""cache_read_tokens"":8448,""input_tokens"":11576,""output_tokens"":165}","{""cache_read_tokens"":8448,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11576,""latency_seconds"":3.8701174999878276,""ledger_id"":1304,""output_tokens"":165,""request_body_sha256"":""8074f0e06cc9c2777540d67c607147e816da1a26af257f655900ae09b674587c"",""request_bytes"":47896,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1299,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b75a2af313b40f4ade4363114eef7760c299d7eff944005d83a88405f69e3b9a"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8448,""completion_cost"":0.0,""completion_tokens"":165,""prompt_cost"":0.0,""prompt_tokens"":11576,""prompt_tokens_details"":{""cached_tokens"":8448},""reasoning_tokens"":0,""total_tokens"":11741},""utc_end"":""2026-09-15T14:22:36.951546+00:00"",""utc_start"":""2026-09-15T14:22:33.063874+00:00""}"
4,2026-09-15T14:22:38.848311+00:00,False,False,"[""e1"",""e2"",""e3""]",[],[],75619,"{""cache_read_tokens"":10368,""input_tokens"":18095,""output_tokens"":122}","{""cache_read_tokens"":10368,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18095,""latency_seconds"":3.422065399994608,""ledger_id"":1305,""output_tokens"":122,""request_body_sha256"":""24950b6e923c87f581bf007ec99b276744fc7dc81b917f39184045c8670a83dc"",""request_bytes"":75619,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1237,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""ec3ef40fd776a2996ba71be96df259a0725ef90aa1a1e824aeba7c9ab3ed0cdc"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":10368,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":18095,""prompt_tokens_details"":{""cached_tokens"":10368},""reasoning_tokens"":0,""total_tokens"":18217},""utc_end"":""2026-09-15T14:22:42.393066+00:00"",""utc_start"":""2026-09-15T14:22:38.953494+00:00""}"
5,2026-09-15T14:22:42.685739+00:00,False,False,"[""e1"",""e2"",""e3"",""e4"",""e5""]",[],[],83487,"{""cache_read_tokens"":16896,""input_tokens"":19886,""output_tokens"":325}","{""cache_read_tokens"":16896,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19886,""latency_seconds"":61.94989999997779,""ledger_id"":1306,""output_tokens"":325,""request_body_sha256"":""b1cdcad295f73fba6baa4b2033e8d92a3051c428f8b5e923a300d65deea2e0c5"",""request_bytes"":83487,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1895,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""33225716d6ce4e8f99138f3f286f4b40fd1e4c10aaa4a629bc0a5160ecfffbad"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":16896,""completion_cost"":0.0,""completion_tokens"":325,""prompt_cost"":0.0,""prompt_tokens"":19886,""prompt_tokens_details"":{""cached_tokens"":16896},""reasoning_tokens"":0,""total_tokens"":20211},""utc_end"":""2026-09-15T14:23:44.765596+00:00"",""utc_start"":""2026-09-15T14:22:42.796107+00:00""}"
6,2026-09-15T14:24:02.724138+00:00,False,True,"[""e3"",""e4"",""e5""]",[],[],89658,"{""cache_read_tokens"":3328,""input_tokens"":21481,""output_tokens"":162}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21481,""latency_seconds"":4.371982199983904,""ledger_id"":1307,""output_tokens"":162,""request_body_sha256"":""e4d48e6605972d784e769fbe7872dcec09efbfe48c064e8531d9216ee1d7b681"",""request_bytes"":89658,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1334,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""dbfbc43f99fd6d5f724d695b8ede179fe6618c53d57ad58cf491cf8c34160dfd"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":162,""prompt_cost"":0.0,""prompt_tokens"":21481,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21643},""utc_end"":""2026-09-15T14:24:07.251233+00:00"",""utc_start"":""2026-09-15T14:24:02.861552+00:00""}"
7,2026-09-15T14:24:07.667501+00:00,False,True,"[""e3"",""e4"",""e5"",""e6"",""e7""]","[""e3""]",[],75664,"{""cache_read_tokens"":3328,""input_tokens"":18323,""output_tokens"":278}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18323,""latency_seconds"":6.999878499977058,""ledger_id"":1308,""output_tokens"":278,""request_body_sha256"":""1163ffdfadf8f518a311ccfccaa0b2e234284b0894c1b79873d23e6e7a892090"",""request_bytes"":75664,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1579,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b6634ce2089c276ebfecef5fb4af6b53e9e84f90488414c981d45cdf05226ed6"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":278,""prompt_cost"":0.0,""prompt_tokens"":18323,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18601},""utc_end"":""2026-09-15T14:24:14.800977+00:00"",""utc_start"":""2026-09-15T14:24:07.783067+00:00""}"
8,2026-09-15T14:24:17.451629+00:00,False,False,"[""e4"",""e5"",""e6"",""e7""]",[],[],89963,"{""cache_read_tokens"":15488,""input_tokens"":21726,""output_tokens"":131}","{""cache_read_tokens"":15488,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21726,""latency_seconds"":4.425576699984958,""ledger_id"":1309,""output_tokens"":131,""request_body_sha256"":""a7edf8184c2cf278e184f66dbddddb497927098196160f491f87c266df4003fb"",""request_bytes"":89963,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1135,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2ed6572d3e5dd2497d6bdf87572c83b677142f744a2f957cef553dfc5cbae6f3"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":15488,""completion_cost"":0.0,""completion_tokens"":131,""prompt_cost"":0.0,""prompt_tokens"":21726,""prompt_tokens_details"":{""cached_tokens"":15488},""reasoning_tokens"":0,""total_tokens"":21857},""utc_end"":""2026-09-15T14:24:22.025393+00:00"",""utc_start"":""2026-09-15T14:24:17.580241+00:00""}"
9,2026-09-15T14:24:25.025685+00:00,False,True,"[""e5"",""e6"",""e7""]","[""e5""]",[],70907,"{""cache_read_tokens"":3328,""input_tokens"":16844,""output_tokens"":288}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16844,""latency_seconds"":5.31390450001345,""ledger_id"":1310,""output_tokens"":288,""request_body_sha256"":""3ef4f14a36161ddb7125fa9a83279d2bd2094be7c0b8e37d64dd1418fc77710d"",""request_bytes"":70907,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1613,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a045563d98cb678b25c1bbaaeac99f8b7188d946ea12539dc33ff34f335de0da"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":288,""prompt_cost"":0.0,""prompt_tokens"":16844,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":17132},""utc_end"":""2026-09-15T14:24:30.476823+00:00"",""utc_start"":""2026-09-15T14:24:25.146157+00:00""}"
10,2026-09-15T14:24:33.367125+00:00,False,False,"[""e5"",""e6"",""e7""]","[""e5""]",[],83109,"{""cache_read_tokens"":896,""input_tokens"":19644,""output_tokens"":289}","{""cache_read_tokens"":896,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19644,""latency_seconds"":6.921472299989546,""ledger_id"":1311,""output_tokens"":289,""request_body_sha256"":""90b61b37e4d5f8aee82e9d0645f76ea917bf6e79f536e25c5be4b48799536321"",""request_bytes"":83109,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1616,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c8e98c162bfe53dc622c204ba06b8d9c9203f1f542b6f0f306156c9019790826"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":896,""completion_cost"":0.0,""completion_tokens"":289,""prompt_cost"":0.0,""prompt_tokens"":19644,""prompt_tokens_details"":{""cached_tokens"":896},""reasoning_tokens"":0,""total_tokens"":19933},""utc_end"":""2026-09-15T14:24:40.458908+00:00"",""utc_start"":""2026-09-15T14:24:33.520629+00:00""}"
