round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T10:28:19.035105+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3840,""input_tokens"":3869,""output_tokens"":238}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":4.782900399994105,""ledger_id"":724,""output_tokens"":238,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1636,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2dd68f1fb7eee49ff13c73bfbefa640790f0a3c1cab6177891975e96f48c6dcd"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":238,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4107},""utc_end"":""2026-09-15T10:28:23.907975+00:00"",""utc_start"":""2026-09-15T10:28:19.107766+00:00""}"
2,2026-09-15T10:28:31.140565+00:00,False,False,[],[],[],51646,"{""cache_read_tokens"":3328,""input_tokens"":12450,""output_tokens"":110}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":12450,""latency_seconds"":2.673174299998209,""ledger_id"":725,""output_tokens"":110,""request_body_sha256"":""b8c71c7cd1df3a3e7cba643bf2a079e31a5495d5b201f2fa31038608e3f1051c"",""request_bytes"":51646,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1166,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""55bf2e975cb95a661241d08e0ce1c15babc4c45ed024704f6cf7c31eb3f85410"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":110,""prompt_cost"":0.0,""prompt_tokens"":12450,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":12560},""utc_end"":""2026-09-15T10:28:33.900997+00:00"",""utc_start"":""2026-09-15T10:28:31.211714+00:00""}"
3,2026-09-15T10:28:57.660123+00:00,False,False,"[""e1""]",[],[],70953,"{""cache_read_tokens"":11264,""input_tokens"":17041,""output_tokens"":123}","{""cache_read_tokens"":11264,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17041,""latency_seconds"":4.69746219998342,""ledger_id"":726,""output_tokens"":123,""request_body_sha256"":""a4d15a8a8c43cf7df86a7f195468c6cfc30216089fa32e03ab002d066e171ccd"",""request_bytes"":70953,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1165,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8866cee38b48cd3349f8bcca5e8aee5b8d471d7fca29e3fc368c81e754d39d15"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":11264,""completion_cost"":0.0,""completion_tokens"":123,""prompt_cost"":0.0,""prompt_tokens"":17041,""prompt_tokens_details"":{""cached_tokens"":11264},""reasoning_tokens"":0,""total_tokens"":17164},""utc_end"":""2026-09-15T10:29:02.450774+00:00"",""utc_start"":""2026-09-15T10:28:57.736503+00:00""}"
4,2026-09-15T10:29:09.708826+00:00,False,False,"[""e1"",""e2""]",[],[],90583,"{""cache_read_tokens"":15744,""input_tokens"":21672,""output_tokens"":145}","{""cache_read_tokens"":15744,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21672,""latency_seconds"":5.5433421000197995,""ledger_id"":727,""output_tokens"":145,""request_body_sha256"":""fb0f12d4f37e7ac40c8f972906b0fc76df1339d9e48a660dbaa9be8b49581dd6"",""request_bytes"":90583,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1280,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2ddc836c5080347de825a60f1974250495d51a68aec030ead2b4a34dd5fbc32f"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":15744,""completion_cost"":0.0,""completion_tokens"":145,""prompt_cost"":0.0,""prompt_tokens"":21672,""prompt_tokens_details"":{""cached_tokens"":15744},""reasoning_tokens"":0,""total_tokens"":21817},""utc_end"":""2026-09-15T10:29:15.356933+00:00"",""utc_start"":""2026-09-15T10:29:09.795121+00:00""}"
5,2026-09-15T10:29:26.020339+00:00,False,True,"[""e1"",""e2""]",[],[],84765,"{""cache_read_tokens"":3328,""input_tokens"":20207,""output_tokens"":119}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20207,""latency_seconds"":3.863630000007106,""ledger_id"":728,""output_tokens"":119,""request_body_sha256"":""116f708479e64cc0be12df67223a85c8ae66d9b11c24e1b9d7469812402fb890"",""request_bytes"":84765,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1107,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""4828bee15db10c06e91ddfc8556e968cd563b1226416b3e18ad2850646c0e61b"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":119,""prompt_cost"":0.0,""prompt_tokens"":20207,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20326},""utc_end"":""2026-09-15T10:29:29.994077+00:00"",""utc_start"":""2026-09-15T10:29:26.112420+00:00""}"
6,2026-09-15T10:29:33.988923+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],86038,"{""cache_read_tokens"":3328,""input_tokens"":20601,""output_tokens"":142}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20601,""latency_seconds"":5.00778509999509,""ledger_id"":729,""output_tokens"":142,""request_body_sha256"":""e768dd4ec0a622f58f982c09975731b8a7325ca3bd78880755cad17c17d22b3e"",""request_bytes"":86038,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1198,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""9f3e00513151ba4d06bf0d4774aaba10917ef4f603baa9843e1976241596d34b"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":142,""prompt_cost"":0.0,""prompt_tokens"":20601,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20743},""utc_end"":""2026-09-15T10:29:39.157623+00:00"",""utc_start"":""2026-09-15T10:29:34.120716+00:00""}"
7,2026-09-15T10:30:13.301349+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],85122,"{""cache_read_tokens"":3328,""input_tokens"":20512,""output_tokens"":135}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20512,""latency_seconds"":4.95262160000857,""ledger_id"":730,""output_tokens"":135,""request_body_sha256"":""eff5a58266bb36f4d47c62ab6c306db132d971a5544d8515088ba353ae9d0a93"",""request_bytes"":85122,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1167,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""69dee6c734f61ad39684cd600e90f0e6739ebd0395db5d6dae16bff641f373e2"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":135,""prompt_cost"":0.0,""prompt_tokens"":20512,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20647},""utc_end"":""2026-09-15T10:30:18.354328+00:00"",""utc_start"":""2026-09-15T10:30:13.384366+00:00""}"
8,2026-09-15T10:30:22.334282+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],75952,"{""cache_read_tokens"":3328,""input_tokens"":18222,""output_tokens"":137}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18222,""latency_seconds"":3.9793132999911904,""ledger_id"":731,""output_tokens"":137,""request_body_sha256"":""ab79ee88684cb601fe3fd801c0eb2de0003e870c0b19df27fcd164c81884e3a2"",""request_bytes"":75952,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1175,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""7c6613e1960f0140c1fb85729556235e5c1d6b01781062568ae3aeb9b9662190"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":137,""prompt_cost"":0.0,""prompt_tokens"":18222,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18359},""utc_end"":""2026-09-15T10:30:26.461371+00:00"",""utc_start"":""2026-09-15T10:30:22.461904+00:00""}"
9,2026-09-15T10:30:31.775640+00:00,False,False,"[""e1"",""e2""]","[""e1"",""e2""]",[],91358,"{""cache_read_tokens"":15232,""input_tokens"":21956,""output_tokens"":157}","{""cache_read_tokens"":15232,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21956,""latency_seconds"":10.068699900002684,""ledger_id"":732,""output_tokens"":157,""request_body_sha256"":""e2ad78a9437616e243688d9859cb924857a8cdd467f263ec2ac53160d1efec27"",""request_bytes"":91358,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1331,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c6ff35f73b5b6b4667686cdbb25b8c1f4e38c3c67f6e0229f42ff77c99bd2c14"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":15232,""completion_cost"":0.0,""completion_tokens"":157,""prompt_cost"":0.0,""prompt_tokens"":21956,""prompt_tokens_details"":{""cached_tokens"":15232},""reasoning_tokens"":0,""total_tokens"":22113},""utc_end"":""2026-09-15T10:30:41.955297+00:00"",""utc_start"":""2026-09-15T10:30:31.863981+00:00""}"
10,2026-09-15T10:30:47.269832+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],77212,"{""cache_read_tokens"":3456,""input_tokens"":18798,""output_tokens"":142}","{""cache_read_tokens"":3456,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18798,""latency_seconds"":5.722412500006612,""ledger_id"":733,""output_tokens"":142,""request_body_sha256"":""2f31ce6a088000c09ca686b058ecae523985ae4201ed6a36bdf946d6c239ff05"",""request_bytes"":77212,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1224,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""55c2f4d24d168b11fb749dbdf894874490f19f3ff529aa76531c2c17ec4c9b56"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3456,""completion_cost"":0.0,""completion_tokens"":142,""prompt_cost"":0.0,""prompt_tokens"":18798,""prompt_tokens_details"":{""cached_tokens"":3456},""reasoning_tokens"":0,""total_tokens"":18940},""utc_end"":""2026-09-15T10:30:53.111804+00:00"",""utc_start"":""2026-09-15T10:30:47.372339+00:00""}"
