round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T11:23:21.145512+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3200,""input_tokens"":3869,""output_tokens"":191}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":5.172481299989158,""ledger_id"":766,""output_tokens"":191,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1335,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""433ab086487359718f0417226ae162f1fb44594c40a1f04e2774f43d990ff6d5"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":191,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":4060},""utc_end"":""2026-09-15T11:23:26.468918+00:00"",""utc_start"":""2026-09-15T11:23:21.266226+00:00""}"
2,2026-09-15T11:23:56.121340+00:00,False,False,[],[],[],39048,"{""cache_read_tokens"":3328,""input_tokens"":9441,""output_tokens"":62}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9441,""latency_seconds"":2.655713799991645,""ledger_id"":767,""output_tokens"":62,""request_body_sha256"":""f5fa16408c7b60441920b58f54526080a82a472b5f4cce0ea22805c70a0523b2"",""request_bytes"":39048,""requested_model"":""EB-GLM-5.2"",""response_bytes"":860,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2a8445bedf2dd234d0d7694fe70eee34516f22d43e5205ef119d807a7a4cdbfa"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":62,""prompt_cost"":0.0,""prompt_tokens"":9441,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9503},""utc_end"":""2026-09-15T11:23:58.889906+00:00"",""utc_start"":""2026-09-15T11:23:56.216586+00:00""}"
3,2026-09-15T11:23:59.053095+00:00,False,False,"[""e1""]",[],[],43040,"{""cache_read_tokens"":8192,""input_tokens"":10347,""output_tokens"":52}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10347,""latency_seconds"":2.250451499974588,""ledger_id"":768,""output_tokens"":52,""request_body_sha256"":""f5419128e3bdb36bcb1ead6c84e6ff4f7a0f4fb303cb4c26d1547cd50a8d1490"",""request_bytes"":43040,""requested_model"":""EB-GLM-5.2"",""response_bytes"":790,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""760b7ec4f594332ddc882d55b23d1c0beb822b79e4dbc0dd38d4dcea77cccf8c"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":52,""prompt_cost"":0.0,""prompt_tokens"":10347,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":10399},""utc_end"":""2026-09-15T11:24:01.398587+00:00"",""utc_start"":""2026-09-15T11:23:59.132028+00:00""}"
4,2026-09-15T11:24:01.515772+00:00,False,False,"[""e1"",""e2""]",[],[],49759,"{""cache_read_tokens"":8192,""input_tokens"":11862,""output_tokens"":124}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11862,""latency_seconds"":4.546780799981207,""ledger_id"":769,""output_tokens"":124,""request_body_sha256"":""92ae149ac5f39e280721abcaf996230792fbb65808bdd21b7d275f64ea38584a"",""request_bytes"":49759,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1080,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""5595f68942442e0246c6b1651c802413b137cfd2c644beece38e6156323fc0c4"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":124,""prompt_cost"":0.0,""prompt_tokens"":11862,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":11986},""utc_end"":""2026-09-15T11:24:06.166922+00:00"",""utc_start"":""2026-09-15T11:24:01.601114+00:00""}"
5,2026-09-15T11:24:12.383101+00:00,False,False,"[""e1"",""e2""]",[],[],69371,"{""cache_read_tokens"":8960,""input_tokens"":16669,""output_tokens"":152}","{""cache_read_tokens"":8960,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16669,""latency_seconds"":4.448238800017862,""ledger_id"":770,""output_tokens"":152,""request_body_sha256"":""eca4efc8c2bb7162d6d523f4db0c4cf4e8e374098e5ae716bc3e9a8eb7fbb4f8"",""request_bytes"":69371,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1300,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""15e04ac83152ff2bfa2cbda895b92c947b2dfcf0c5887d78b4731f1035575298"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":8960,""completion_cost"":0.0,""completion_tokens"":152,""prompt_cost"":0.0,""prompt_tokens"":16669,""prompt_tokens_details"":{""cached_tokens"":8960},""reasoning_tokens"":0,""total_tokens"":16821},""utc_end"":""2026-09-15T11:24:16.936077+00:00"",""utc_start"":""2026-09-15T11:24:12.469824+00:00""}"
6,2026-09-15T11:24:21.101382+00:00,False,False,"[""e1"",""e2""]",[],[],88750,"{""cache_read_tokens"":10496,""input_tokens"":21293,""output_tokens"":113}","{""cache_read_tokens"":10496,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21293,""latency_seconds"":5.035807600012049,""ledger_id"":771,""output_tokens"":113,""request_body_sha256"":""bff7e58eda4452a99b1b61763b370e844af0858a2579b5556e9e867546f704fa"",""request_bytes"":88750,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1132,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2e5ed0eb5bc5303e33d7ff445cb213b27028584d5c286c2529f4c28c8dfbc4fa"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":10496,""completion_cost"":0.0,""completion_tokens"":113,""prompt_cost"":0.0,""prompt_tokens"":21293,""prompt_tokens_details"":{""cached_tokens"":10496},""reasoning_tokens"":0,""total_tokens"":21406},""utc_end"":""2026-09-15T11:24:26.261568+00:00"",""utc_start"":""2026-09-15T11:24:21.207991+00:00""}"
7,2026-09-15T11:24:30.355346+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],87724,"{""cache_read_tokens"":3328,""input_tokens"":21129,""output_tokens"":140}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21129,""latency_seconds"":5.798586799995974,""ledger_id"":772,""output_tokens"":140,""request_body_sha256"":""863f3a743c8703e39563d8f99b5125655fde1b4380b5602fd8717a9ad7fef07a"",""request_bytes"":87724,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1245,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1e304f4c5d05853bd4d23f64ca258144a0c57a43f7598dc2b70d8357e9bb7b79"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":140,""prompt_cost"":0.0,""prompt_tokens"":21129,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21269},""utc_end"":""2026-09-15T11:24:36.282482+00:00"",""utc_start"":""2026-09-15T11:24:30.465471+00:00""}"
8,2026-09-15T11:24:44.975743+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],87494,"{""cache_read_tokens"":3328,""input_tokens"":21087,""output_tokens"":142}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21087,""latency_seconds"":4.938683900021715,""ledger_id"":773,""output_tokens"":142,""request_body_sha256"":""56322718d0f72076969e30ec728e8d809e44d7bb6fbd9666dae29209285edc11"",""request_bytes"":87494,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1251,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""961a3093d31503a689f4455d91fb7d4c06221035aabbb82e8aa78d01b4b07c8e"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":142,""prompt_cost"":0.0,""prompt_tokens"":21087,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21229},""utc_end"":""2026-09-15T11:24:50.034507+00:00"",""utc_start"":""2026-09-15T11:24:45.078703+00:00""}"
9,2026-09-15T11:24:51.545127+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],81480,"{""cache_read_tokens"":3328,""input_tokens"":19749,""output_tokens"":91}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19749,""latency_seconds"":3.7175494999974035,""ledger_id"":774,""output_tokens"":91,""request_body_sha256"":""24726be53a223f69e8b52422b591589e4960b12cd8dafd309e29b44a2b2932ec"",""request_bytes"":81480,""requested_model"":""EB-GLM-5.2"",""response_bytes"":958,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""388b20eba647dba4caea0529ae2e4cf09f522b86f1a072fe4d96104cda0bcd44"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":91,""prompt_cost"":0.0,""prompt_tokens"":19749,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19840},""utc_end"":""2026-09-15T11:24:55.383186+00:00"",""utc_start"":""2026-09-15T11:24:51.648256+00:00""}"
10,2026-09-15T11:25:00.103910+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],78650,"{""cache_read_tokens"":3328,""input_tokens"":19112,""output_tokens"":97}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19112,""latency_seconds"":4.33785209999769,""ledger_id"":775,""output_tokens"":97,""request_body_sha256"":""237f1dea3408803d1e45e6a98bf6c83b2f87a4867a2ae505adc4c1360ab3fb7f"",""request_bytes"":78650,""requested_model"":""EB-GLM-5.2"",""response_bytes"":982,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1a548c115f2c48f4e6b60f83923bc267e32b870f7be918ade88f04d308db96ae"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":97,""prompt_cost"":0.0,""prompt_tokens"":19112,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19209},""utc_end"":""2026-09-15T11:25:04.619307+00:00"",""utc_start"":""2026-09-15T11:25:00.254961+00:00""}"
11,2026-09-15T11:25:12.381449+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],78995,"{""cache_read_tokens"":3328,""input_tokens"":19112,""output_tokens"":105}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19112,""latency_seconds"":3.8693173000065144,""ledger_id"":776,""output_tokens"":105,""request_body_sha256"":""a02597a39b3c8cf5a2cd52d6a5392c886b7d6bbca5ee0ca1c826f272233a97f6"",""request_bytes"":78995,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1008,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""ca517301f76107437eb419e4cfed0410ca9719a6d764c08aabff04e6f7b390b8"",""sequence"":11,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":105,""prompt_cost"":0.0,""prompt_tokens"":19112,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19217},""utc_end"":""2026-09-15T11:25:16.379714+00:00"",""utc_start"":""2026-09-15T11:25:12.491541+00:00""}"
