round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-15T11:48:16.093042+00:00,literary award created 2000s translated over twenty five languages,"[""literary"",""award"",""created"",""2000s"",""translated"",""over"",""twenty"",""five"",""languages""]","""literary"" OR ""award"" OR ""created"" OR ""2000s"" OR ""translated"" OR ""over"" OR ""twenty"" OR ""five"" OR ""languages""",5,c8e34b464761abbadfed91a1bf4a59d81daf577c0a1b8fa47890bdd109c00a7f,0d233bda84d0f091c0f701815fd29a79a7a0239c266f332e4706fd71c9660b26,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""26607"",""57021"",""56350"",""56736"",""84033""]","[{""docid"":""26607"",""score"":19.040129484489164,""snippet"":"" ... Additionally, they have also created the Worth Sharing and Lifelong Favorites publications, which I mentioned previously, with the hopes of reaching as many international publishers as possible to further their mission.\n\nRegarding foreign language translation and publishing in Japan's current literary ecosystem, we feel that the challenge ... "",""title"":""https://www.asymptotejournal.com/interview/an-interview-with-shun-inoue-from-the-japan-foundation/""},{""docid"":""57021"",""score"":18.766971015825096,""snippet"":"" ... She has translated three novels by the Italian writer Domenico Starnone, and is the editor of The Penguin Book of Italian Short Stories. A contributor for over twenty-five years toThe New Yorker magazine, she has published critical essays on authors including Ovid, Dante, Primo Levi, Alessandro Manzoni ... "",""title"":""https://barnard.edu/profiles/jhumpa-lahiri""},{""docid"":""56350"",""score"":18.4755346984686,""snippet"":"" ... She is the author of over 60 volumes of poetry, poetics, and anthologies including The Iovis Trilogy: Colors in The Mechanism of Concealment which won the PEN Center Literary Award. Waldman has read in the streets as … Read More\n\n2023 Judges\n\nNikola Madzirov\n\nNikola Madzirov (poet, essayist, translator ... "",""title"":""https://griffinpoetryprize.com/judges/""},{""docid"":""56736"",""score"":18.07729848261383,""snippet"":"" ... She is the author of Call Me Zebra, named a Best Book of the Year by over twenty publications and the winner of the 2019 PEN/Faulkner Award, the John Gardner Award, and long listed for the PEN/Open Book Award. Her other novels include Savage Tongues and ... "",""title"":""https://english.nd.edu/people/faculty/""},{""docid"":""84033"",""score"":18.064099875886374,""snippet"":"" ... Now living in Montreal, she works as a language professional in cinema, education, and literary translation. Arielle translated 21 Days in October a YA novel by Magali Favre.\n\nPeter McCambridge is a full-time, award-winning literary translator. Originally from Ireland, Peter holds a BA in modern languages ... "",""title"":""https://www.barakabooks.com/authors/""}]"
1,14,2026-09-15T11:48:16.834609+00:00,book award founded 2000s international translated many languages,"[""book"",""award"",""founded"",""2000s"",""international"",""translated"",""many"",""languages""]","""book"" OR ""award"" OR ""founded"" OR ""2000s"" OR ""international"" OR ""translated"" OR ""many"" OR ""languages""",5,f0cfe1837b1b3f4acf48e20574e2ee6e02bc116b604904063297dab790fa44df,874ed3ada4b93a66279495c2c4c00f3246587a67af865da3c6b0dab7930e2d30,False,"[""d2"",""d6"",""d7"",""d5"",""d8""]","[""57021"",""10270"",""49894"",""84033"",""31267""]","[{""docid"":""57021"",""score"":12.491960882156182,""snippet"":"" ... O'Connor International Short Story Prize, 2007\n\n- Columbia University Medal of Excellence, 2005\n\n- New Atlantic Independent Booksellers Award, 2004\n\n- Finalist, Los Angeles Times Book Prize, 2004\n\n- New York Magazine Best Book Award, 2003\n\n- Pulitzer Prize for fiction, 2000\n\n- PEN/Hemingway Award, 2000\n\n- Addison M. Metcalf Award, American Academy ... "",""title"":""https://barnard.edu/profiles/jhumpa-lahiri""},{""docid"":""10270"",""score"":12.025418698070968,""snippet"":"" ... She translated the work into English, and during this time she also began translating Italian-language books by other authors. Her translation of Domenico Starnone's Trick (2018) was a finalist for a National Book Award for translated literature. These experiences inspired the essay collection Translating Myself and ... "",""title"":""https://www.britannica.com/biography/Jhumpa-Lahiri""},{""docid"":""49894"",""score"":11.999561020252198,""snippet"":"" ... Later in September 2021, architect Kengo Kuma announced the opening of the Waseda International House of Literature, a library dedicated entirely to Murakami's works at Waseda University, which would include more than 3,000 works by Murakami, including translations into more than 50 other languages.\n\nThe library ... "",""title"":""https://en.wikipedia.org/wiki/Haruki_Murakami""},{""docid"":""84033"",""score"":11.789178981770721,""snippet"":"" ... Specializing in economic, social, and urban history, he has written many books on the history of Quebec and Canada, with an emphasis on Montreal. His many awards include the Prix Léon-Gérin, Quebec's highest distinction in humanities, and the International Canadian Studies Award of Excellence. Paul-André ... "",""title"":""https://www.barakabooks.com/authors/""},{""docid"":""31267"",""score"":11.787599100022478,""snippet"":"" ... Many of his books have won various awards in South Africa, UK and US, and several have been included in international selections. Three of his books have been included in the IBBY Honour Lists: The Boy on the Beach (1998) in 2000, Yebo, Jamela! (What's cooking, Jamela ... "",""title"":""https://www.ibby.org/subnavigation/archives/hans-christian-andersen-awards/2020""}]"
1,20,2026-09-15T11:48:17.997167+00:00,novel translated 25 languages award contender 2010s,"[""novel"",""translated"",""25"",""languages"",""award"",""contender"",""2010s""]","""novel"" OR ""translated"" OR ""25"" OR ""languages"" OR ""award"" OR ""contender"" OR ""2010s""",5,e09a93c1e7216ea9c011bcaf62f44b0afb38ad15cded826ff90913d773584865,feef2a3ef7f0787fd67d813d276012718f6557d1c1bdaad8ede678a08a8b396a,False,"[""d9"",""d10"",""d11"",""d12"",""d13""]","[""11229"",""30757"",""38155"",""94942"",""913""]","[{""docid"":""11229"",""score"":16.859502574783754,""snippet"":"" ... The 2019 National Book Awards Longlist: Translated Literature\nauthor: The New Yorker\ndate: 2019-09-17\n---\nThis week, The New Yorker will be announcing the longlists for the 2019 National Book Awards. This morning, we present the ten contenders in the category of Translated Literature. Check back tomorrow ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2019-national-book-awards-longlist-translated-literature""},{""docid"":""30757"",""score"":16.533537225351804,""snippet"":"" ... Novels about transgender topics\nCategory:English-language novels\nCategory:American LGBTQ novels\nCategory:American children's novels\nCategory:2015 children's books\nCategory:Children's books with transgender themes\nCategory:LGBTQ-related children's novels\nCategory:2010s LGBTQ novels\nCategory:Scholastic Corporation books\nCategory:Stonewall Book Award–winning ... "",""title"":""https://en.wikipedia.org/wiki/Melissa_(novel)""},{""docid"":""38155"",""score"":16.49895790285491,""snippet"":"" ... The Future is the translation of Leroux's French-language novel L'Avenir.\n\nLeroux is a writer, translator and journalist from Montreal. She was shortlisted for the 2016 Scotiabank Giller Prize for The Party Wall, which is an English translation of her French-language short story collection Le ... "",""title"":""https://www.cbc.ca/books/the-top-20-canadian-books-of-2024-so-far-1.7252475""},{""docid"":""94942"",""score"":16.326963368827684,""snippet"":"" ... The essays in this book explore the many facets of language rights and language protection from a variety of theoretical, legal, and academic perspectives.\n\nThe Song of Everlasting Sorrow: A Novel of Shanghai by Wang Anyi, translated by Michael Berry and Susan Chan Egan\n\nSet in post-World ... "",""title"":""https://translationstudies.complit.ucsb.edu/publications""},{""docid"":""913"",""score"":16.05751876969623,""snippet"":"" ... The novel, the first in a planned trilogy, explores the porousness of borders, climate change, language, and forced migration.\n\n\""Scattered All Over the Earth\"" is one of two dystopian novels on the longlist for this year's National Book Award for Translated Literature, along with Olga Ravn's ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2022-national-book-awards-longlist-translated-literature""}]"
2,36,2026-09-15T11:48:23.100460+00:00,International Booker Prize created 2005 winner 2010s,"[""international"",""booker"",""prize"",""created"",""2005"",""winner"",""2010s""]","""international"" OR ""booker"" OR ""prize"" OR ""created"" OR ""2005"" OR ""winner"" OR ""2010s""",5,6d08ca06ecb6789b0ec7c56612108217f7a9780e9211d0904bc408ce4b58139f,f6326ac1537d855a50e8a05621720fbfaf8d391e9ddf10f6f4d4b2ce79eeede2,False,"[""d14"",""d15"",""d16"",""d17"",""d18""]","[""3002"",""38708"",""20177"",""54683"",""62176""]","[{""docid"":""3002"",""score"":23.138926386472633,""snippet"":"" ... The winner of the Booker Prize receives , as well as international publicity that usually leads to a significant sales boost. When the prize was created, only novels written by Commonwealth, Irish and South African (and later Zimbabwean) citizens were eligible to receive the prize; in 2014, eligibility was ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""38708"",""score"":22.702024701162856,""snippet"":"" ... Rocco |\n| 2005 The Booker Prizes |url= |access-date=2022-10-19 |website=thebookerprizes.com |language=en |archive-date=10 December 2022 |archive-url= |url-status=live }} | Winner | John Banville | The Sea | Picador | *John Sutherland (chair) *Lindsay Duguid *Rick Gekoski *Josephine Hart *David Sexton |\n| 2005 The Booker Prizes |url ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""20177"",""score"":22.535020849868165,""snippet"":"" ... Short-listed for the Booker International Prize, 2005\n\n- Banff Centre's National Arts Award, 2005\n\n- Edinburgh's International Book Festival Enlightenment Award, 2005\n\n- Chicago Tribune Literary Prize, 2005\n\n- Markets Initiative Order of the Forest, 2006\n\n- Short-listed for Booker International Prize, 2007\n\n- Winner Blue Metropolis Literary Grand Prix ... "",""title"":""https://margaretatwood.ca/awards-recognitions/""},{""docid"":""54683"",""score"":22.251994047673424,""snippet"":"" ... 2014. \""Nominees, Winners, and Losers.\"" Journal of Cultural Economics 38(4):291–313. [Google Scholar]\n\n- Goff Martyn. 1989. Prize Writing: An Original Collection of Writings by Past Winners to Celebrate 21 Years of the Booker Prize. London, UK: Sceptre. [Google Scholar]\n\n- Grazian David. 2005. Blue Chicago: The Search ... "",""title"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10837049/""},{""docid"":""62176"",""score"":21.74370394636615,""snippet"":"" ... Prize for Fiction.)\n* Oryx and Crake (2003, finalist for the 2003 Booker Prize and the 2003 Governor General's Award and shortlisted for the 2004 Orange Prize for Fiction.)\n* The Penelopiad (2005, nominated for the 2006 Mythopoeic Fantasy Award for Adult Literature and longlisted for the 2007 International ... "",""title"":""https://en.wikipedia.org/wiki/Margaret_Atwood""}]"
2,44,2026-09-15T11:48:23.675707+00:00,book translated over 25 languages shortlisted International Booker Prize,"[""book"",""translated"",""over"",""25"",""languages"",""shortlisted"",""international"",""booker"",""prize""]","""book"" OR ""translated"" OR ""over"" OR ""25"" OR ""languages"" OR ""shortlisted"" OR ""international"" OR ""booker"" OR ""prize""",5,30b2a8f0695e2e172d5c79419ff50a1334fc90e26550cb9e76064b986300bd4b,a9dbb7ab79c7a715ec766f4fd831394a24490c94928975fb640dd9ffb344de0e,False,"[""d19"",""d20"",""d14"",""d21"",""d22""]","[""58655"",""24586"",""3002"",""8674"",""10935""]","[{""docid"":""58655"",""score"":31.650851689394408,""snippet"":"" ... In a news conference earlier today, International Booker Prize jury chair Frank Wynne credited independent publishers with the lion's share of translated work. \""Nobody is surprised that the majority of books on the long- and shortlist,\"" he said, \""are independent publishers. Small independent presses have done enormous ... "",""title"":""https://publishingperspectives.com/2022/05/geetanjali-shree-and-daisy-rockwell-win-the-international-booker-prize/""},{""docid"":""24586"",""score"":31.207064063265374,""snippet"":"" ... The International Booker Prize 2023 Shortlist\n\nAt London Book Fair: Insights Into Translation Buyers\n\nAs the news of the International Booker Prize shortlist was announced to the public amid the raucous noise and crush of simultaneously programmed events at London Book Fair's opening today (April 17), the ... "",""title"":""https://publishingperspectives.com/2023/04/london-book-fair-the-bookers-new-data-on-translation-buyers/""},{""docid"":""3002"",""score"":31.133066852028488,""snippet"":"" ... In 2016, the award was significantly reconfigured, and is now given annually to a single book in English translation, with a £50,000 prize for the winning title, shared equally between author and translator. The award has been known as the International Booker Prize since the Man Group ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""8674"",""score"":30.68331021038804,""snippet"":"" ... His two novels, The Fishermen (2015) and An Orchestra of Minorities (2019) were shortlisted for The Booker Prize and have been translated into 30 languages. He has an LA Times book prize, the prestigious Internationalerpris, FT/Oppenheimer prize for fiction, an NAACP Image award and has been nominated ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""10935"",""score"":29.52165161893759,""snippet"":"" ... Prophet Song by Paul Lynch + Book Club Discussion Guide\n\nBooker International Prize\n\nA counterpart to the Booker Prize, the International Booker Prize is awarded annually for the finest single work of fiction from around the world that has been translated into English and published in the UK and ... "",""title"":""https://bookclubs.com/blog/2023-2024-book-awards-and-book-prize-winners""}]"
2,51,2026-09-15T11:48:24.332605+00:00,novel translated 30 languages contender literary award 2010s,"[""novel"",""translated"",""30"",""languages"",""contender"",""literary"",""award"",""2010s""]","""novel"" OR ""translated"" OR ""30"" OR ""languages"" OR ""contender"" OR ""literary"" OR ""award"" OR ""2010s""",5,cb9f89ce101fd5787647c7a76deffd7791bef7e2c5a4139852262483bd546336,23c462b5ee031c39545d73a72e74f14ae76d78f6edc3906783cf2533faef4abb,False,"[""d11"",""d23"",""d24"",""d9"",""d12""]","[""38155"",""13228"",""46767"",""11229"",""94942""]","[{""docid"":""38155"",""score"":20.935421141445374,""snippet"":"" ... She was shortlisted for the 2016 Scotiabank Giller Prize for The Party Wall, which is an English translation of her French-language short story collection Le mur mitoyen. Leroux won the 2019 Governor General's Literary Award for English to French translation for her translation of Do Not ... "",""title"":""https://www.cbc.ca/books/the-top-20-canadian-books-of-2024-so-far-1.7252475""},{""docid"":""13228"",""score"":20.783960523565337,""snippet"":"" ... We also find\n\nthis claim in Rebecca Walkowitz's seminal study of the born-translated novel, which maps\n\npatterns of global circulation across multiple languages and with a specific attention to the\n\ncreative shifts within and between popular genres. Not coincidentally, this recuperation and\n\nrevival of genre as ... "",""title"":""https://www.researchgate.net/publication/327409406_Planetary_Figurations_Intensive_Genre_in_World_Literature""},{""docid"":""46767"",""score"":20.729940503688205,""snippet"":"" ... It has been translated into 50 languages. The most for any author, dead or alive.\n\nIn 2005, Time magazine named the \""milestone in African literature\"", Achebe's magnum opus, one of the 'best 100 English language novels written since 1923' — the year Time was founded.\n\nThings Fall Apart ... "",""title"":""https://paanluelwel.com/2011/10/21/prof-taban-lo-liyong-south-sudanese-literary-icon-and-an-african-philosopher/""},{""docid"":""11229"",""score"":20.554853104381017,""snippet"":"" ... the author, most recently, of \""A Terrible Country\""; Elisabeth Jaquette, a translator and the executive director of the American Literary Translators Association; Katie Kitamura, whose most recent novel, \""A Separation,\"" has been translated into sixteen languages; Idra Novey, the author of \""Those Who Knew,\"" who teaches fiction at ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2019-national-book-awards-longlist-translated-literature""},{""docid"":""94942"",""score"":20.503027927702018,""snippet"":"" ... s translation of Donoso's final work, which was published in Spanish posthumously in 2007 under the editorship of Julio Ortega, received the prestigious PEN Center USA 2012 Literary Award for Translation.\n\nPenguin Classics Series of Borges' Poetry and Essays, Suzanne Jill Levine, General Editor\n\nIn 2010, under ... "",""title"":""https://translationstudies.complit.ucsb.edu/publications""}]"
2,57,2026-09-15T11:48:24.916826+00:00,The Girl on the Train translated languages award,"[""the"",""girl"",""on"",""train"",""translated"",""languages"",""award""]","""the"" OR ""girl"" OR ""on"" OR ""train"" OR ""translated"" OR ""languages"" OR ""award""",5,5de59d665c81387727fa7723ab143e50c56a1b6f6e4b3fb7ebf83b6e270fd245,ed65f8e95a2b7238dfc1206e5502b4fd30d25ed66c92df5b08385a0d3577a6a5,False,"[""d25"",""d26"",""d27"",""d28"",""d8""]","[""31318"",""10905"",""77728"",""6139"",""31267""]","[{""docid"":""31318"",""score"":12.056056686201407,""snippet"":"" ... the Washington Post, Esquire, Entertainment Weekly, Publishers Weekly, Barnes & Noble, Amazon, Apple, and others; and named one of Janet Maslin's 10 favorite books of the year in the New York Times. We Are Not Ourselves is being translated into 18 languages.\n\nDave White is the Shamus Award ... "",""title"":""https://succeed2gether.org/2019-mlf-authors-fiction-nonfiction/""},{""docid"":""10905"",""score"":11.901184822697145,""snippet"":"" ... The first book in the series was published in Sweden as (literally \""Men who hate women\"") in 2005. It was titled for the English-language market as The Girl with the Dragon Tattoo and published in the United Kingdom in February 2008. It was awarded the Glass Key ... "",""title"":""https://en.wikipedia.org/wiki/Stieg_Larsson""},{""docid"":""77728"",""score"":11.807610256753117,""snippet"":"" ... The Children's Poetry in the English and Filipino languages has been established since 2009. The Pilar Perez Medallion for Young Adult Literature was awarded in 2001 and 2002. The Philippine Board on Books for Young People gives major awards, which include the PBBY-Salanga Writers' Prize for ... "",""title"":""https://en.wikipedia.org/wiki/Children%27s_literature""},{""docid"":""6139"",""score"":11.670623231046479,""snippet"":"" ... Like the previous novels, the English language translation was published by Quercus. The book was released with the English language title The Girl in the Spider's Web in the UK on 27 August and in the US on 1 September 2015.\n\nThe fifth book in the Millennium ... "",""title"":""https://en.wikipedia.org/wiki/Millennium_(novel_series)""},{""docid"":""31267"",""score"":11.66436976302316,""snippet"":"" ... His work has been translated into more than thirty languages, and has been presented with numerous awards, including the Chevalier de l'Ordre des Artes et des Lettres, Prix Medicis, the Peace Prize of the German Booksellers Association and most recently the 2017 Man Booker International Prize. He ... "",""title"":""https://www.ibby.org/subnavigation/archives/hans-christian-andersen-awards/2020""}]"
2,64,2026-09-15T11:48:27.681102+00:00,Gone Girl translated languages award shortlisted,"[""gone"",""girl"",""translated"",""languages"",""award"",""shortlisted""]","""gone"" OR ""girl"" OR ""translated"" OR ""languages"" OR ""award"" OR ""shortlisted""",5,179a8434c5a63c2c2db7b432c8bfde6e2b30b109eaa6168570bab1e2c6da5da5,2af2fa2536ee88565104d81bcb1a362121bf87a711d37cff72f6d2849b5b2fed,False,"[""d29"",""d30"",""d31"",""d32"",""d14""]","[""56178"",""44145"",""95960"",""18890"",""3002""]","[{""docid"":""56178"",""score"":21.178057801440737,""snippet"":"" ... Each year, the International Booker Prize is awarded to the best work of fiction newly translated into English. The 2022 shortlist offers a great entry point for readers interested in world literature. Could you talk us through what you, as judges, have been looking for—do you judge ... "",""title"":""https://fivebooks.com/best-books/the-best-of-world-literature-the-2022-international-booker-prize-shortlist-frank-wynne/""},{""docid"":""44145"",""score"":19.437404917499123,""snippet"":"" ... Emezi's second book, Pet, was a finalist for the National Book Award for Young People's Literature. Freshwater has been translated into ten languages and is currently in development as a TV series at FX, with Emezi writing and executive producing with Tamara P. Carter.\n\nIn The ... "",""title"":""https://www.aspeninstitute.org/blog-posts/15-books-that-turn-fiction-into-action/""},{""docid"":""95960"",""score"":19.086750945964095,""snippet"":"" ... Since then his work has been translated into several languages, shortlisted for many awards and optioned for film and television. His enthusiastic presentations have helped thousands of kids get hooked on reading.\n\n» Read more about Jack Heath- General Public\n\n- Online - Virtual Visits\n\n- Primary\n\n- Secondary\n\n- Senior Secondary\n\n- Australian Capital ... "",""title"":""https://bookedout.com.au/find-a-speaker/audience/secondary/""},{""docid"":""18890"",""score"":19.079544334791443,""snippet"":"" ... Brown Girl in a Ring (1998) was nominated for the Philip K. Dick Award 1998, and received the Locus Award for Best New Writer. In 2008 it was a finalist in CBC's Canada Reads competition. Midnight Robber (2000) was shortlisted for the James Rl Tiptree Jr. Memorial ... "",""title"":""https://www.yorku.ca/laps/huma/canadian-writers/""},{""docid"":""3002"",""score"":18.98232478835395,""snippet"":"" ... Literary critics have noted that it is a mark of distinction for authors to be selected for inclusion in the shortlist or to be nominated for the \""longlist\"".\n\nA sister prize, the International Booker Prize, is awarded for a work of fiction translated into English and published in ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""}]"
2,71,2026-09-15T11:48:28.240164+00:00,bestselling novel translated 25 languages award contender 2010s,"[""bestselling"",""novel"",""translated"",""25"",""languages"",""award"",""contender"",""2010s""]","""bestselling"" OR ""novel"" OR ""translated"" OR ""25"" OR ""languages"" OR ""award"" OR ""contender"" OR ""2010s""",5,f3edc534c7db5287475fcb2f5dbd1904fda1f820381d1971fdc4c575efecc48b,b587b81d7daf7f10fbf6220dfc8ae86963782b84a55681f285f6d0fb215b1a31,False,"[""d11"",""d33"",""d34"",""d35"",""d25""]","[""38155"",""12188"",""34147"",""35789"",""31318""]","[{""docid"":""38155"",""score"":22.98566689881265,""snippet"":"" ... The Future is the translation of Leroux's French-language novel L'Avenir.\n\nLeroux is a writer, translator and journalist from Montreal. She was shortlisted for the 2016 Scotiabank Giller Prize for The Party Wall, which is an English translation of her French-language short story collection Le ... "",""title"":""https://www.cbc.ca/books/the-top-20-canadian-books-of-2024-so-far-1.7252475""},{""docid"":""12188"",""score"":20.633354892880465,""snippet"":"" ... The Maltese Falcon was an instant bestseller when it was published in hardcover, and saw seven printings in 1930. Unlike some of the other novels on this decade's list, in this case the critics loved it as well as the readers. In the New Republic, Donald Douglas ... "",""title"":""https://lithub.com/a-century-of-reading-the-10-books-that-defined-the-1930s/""},{""docid"":""34147"",""score"":20.42319849484468,""snippet"":"" ... up-to-date translations by award-winning translators.\n\n- Journey to Jo'burg byISBN: 9780064402378Publication Date: 2002-12-24The bestselling classic set in South Africa during the apartheid era, in which two siblings must face the dangers of their divided country. This middle grade novel is an excellent choice ... "",""title"":""https://newberry.libguides.com/c.php?g=1300550&p=9555205""},{""docid"":""35789"",""score"":20.37832380877968,""snippet"":"" ... Strange Affair (January, 2005) was nominated for Arthur Ellis and a Macavity awards..The books have been translated into twenty languages. Piece of My Heart appeared in 2006, and in 2007, Friend of the Devil reached Number One in the Sunday Times hardcover bestseller list. There have been ... "",""title"":""https://inspectorbanks.com/about/""},{""docid"":""31318"",""score"":20.221933506585223,""snippet"":"" ... International bestselling author Brad Parks is the only writer to have won the Shamus, Nero, and Lefty Awards, three of American crime fiction's most prestigious prizes. His novels have been translated into a dozen languages and have won critical acclaim across the globe, including stars from every ... "",""title"":""https://succeed2gether.org/2019-mlf-authors-fiction-nonfiction/""}]"
3,91,2026-09-15T11:48:34.314684+00:00,Chigozie Obioma born city grew up,"[""chigozie"",""obioma"",""born"",""city"",""grew"",""up""]","""chigozie"" OR ""obioma"" OR ""born"" OR ""city"" OR ""grew"" OR ""up""",5,2a7719ee57fcf7912147db01650e1b3e4628ca0500f1779b69b2ff4d6a3613fd,d783eff4f872f5dd5ddc6ab111ccbc6d5428a038c7a035a8d9298ae030810d8c,False,"[""d21"",""d15"",""d36"",""d37"",""d38""]","[""8674"",""38708"",""3438"",""37690"",""23177""]","[{""docid"":""8674"",""score"":37.773033105472415,""snippet"":"" ... 2022-01-01\n---\nADVISORS\n\nAdvisors\n\nProgram Director\n\nChigozie Obioma was born in Akure, Nigeria. His two novels, The Fishermen (2015) and An Orchestra of Minorities (2019) were shortlisted for The Booker Prize and have been translated into 30 languages. He has an LA Times book prize, the prestigious ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""38708"",""score"":31.87321621452883,""snippet"":"" ... Farrell\n*Karen Joy Fowler\n*Linda Grant\n*Abdulrazak Gurnah\n*Sarah Hall\n*Mohsin Hamid\n*Shirley Hazzard\n*Philip Hensher\n*Mary Lawson\n*David Lodge\n*Patrick McCabe\n*Colum McCann\n*Tom McCarthy\n*Shena Mackay\n*Chigozie Obioma\n*Michael Ondaatje\n*Joseph O'Neill\n*Tim Parks\n*Caryl Phillips\n*Julian Rathbone\n*Mordecai Richler\n*Arundhati Roy\n*Bernice Rubens\n*Donal ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""3438"",""score"":28.859576575212124,""snippet"":"" ... Chigozie Obioma\ndate: 2000-01-01\n---\n-\n\n- MajorsMinorsCertificates\n\n>>\n\n- Policies & ProceduresFYW Guidebook\n\n>>\n\n- Digital Learning LabsPortfoliosEvaluationsMoran ePortfolio AwardsBarnett Essay AwardsDouble Dawgs\n\n>>\n\n- Transfer FAQProspective Student Information\n\n>>\n\n- Study AbroadInternships and Research Opportunities\n\n>>\n\n-\n\n>>\n\n- Double DawgsTransfer Student InformationDual Degree Program: LLED/BAExperiential Learning in EnglishStudy AbroadAwards and Prizes\n\n-\n\n>>\n\n- Double Dawgs\n\n>>\n\n- African American/Multicultural StudiesAmerican Literary ... "",""title"":""https://www.english.uga.edu/directory/people/chigozie-obioma""},{""docid"":""37690"",""score"":26.8956960175981,""snippet"":"" ... This book brilliantly explores the effects of slavery and colonialism on African families as the story unfolds between West Africa and the United States.\n\n- The Fishermen (2015) by Chigozie Obioma (Nigeria): In this heartbreaking tale, four brothers in a small Nigerian town have their lives turned upside down ... "",""title"":""https://enkoeducation.com/the-must-read-in-african-literature/""},{""docid"":""23177"",""score"":26.07169309595544,""snippet"":"" ... Appiah argues that, unlike their counterparts who grew up facing the crudest forms of racial and colonial discrimination in the West and the Francophone subcontinent, the likes of S̩óyinká were \""children who were extracted from the traditional culture of their parents and grandparents and thrust into the ... "",""title"":""https://africasacountry.com/2019/04/why-im-no-longer-talking-to-nigerians-about-race""}]"
