round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T11:46:19.307532+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":0,""input_tokens"":3870,""output_tokens"":186}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":4.84001569999964,""ledger_id"":817,""output_tokens"":186,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1334,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""40953c49328055638cef3120f8861a83dea13af1dd5c6f1a15207f23f5103767"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":186,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":4056},""utc_end"":""2026-09-15T11:46:24.235000+00:00"",""utc_start"":""2026-09-15T11:46:19.379820+00:00""}"
2,2026-09-15T11:46:40.007759+00:00,False,False,[],[],[],39515,"{""cache_read_tokens"":3328,""input_tokens"":9460,""output_tokens"":235}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9460,""latency_seconds"":4.542944900022121,""ledger_id"":818,""output_tokens"":235,""request_body_sha256"":""615ebec79e33383f539d30263fcbae4eb47813cc2ac7b6f05ab98b82418c73f9"",""request_bytes"":39515,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1633,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1b75c43f9335075be0686bc9ecf55e1ba7ef8e493bdeddb6866f8a973788f755"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":235,""prompt_cost"":0.0,""prompt_tokens"":9460,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9695},""utc_end"":""2026-09-15T11:46:44.672137+00:00"",""utc_start"":""2026-09-15T11:46:40.112851+00:00""}"
3,2026-09-15T11:46:49.334785+00:00,False,False,[],[],[],67590,"{""cache_read_tokens"":8192,""input_tokens"":16131,""output_tokens"":196}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16131,""latency_seconds"":4.655539500003215,""ledger_id"":819,""output_tokens"":196,""request_body_sha256"":""9e863f7b7f2780b485d987861a9ad791f30516c19a63897aae98fafaf554bf91"",""request_bytes"":67590,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1465,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d34a8ceabd10bddc97945d6b1a5d0a8f79f890a968131e807492cd99c9906510"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":196,""prompt_cost"":0.0,""prompt_tokens"":16131,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":16327},""utc_end"":""2026-09-15T11:46:54.170032+00:00"",""utc_start"":""2026-09-15T11:46:49.496584+00:00""}"
4,2026-09-15T11:46:58.879273+00:00,False,False,"[""e1""]",[],[],87868,"{""cache_read_tokens"":14848,""input_tokens"":20960,""output_tokens"":258}","{""cache_read_tokens"":14848,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20960,""latency_seconds"":5.6706321999954525,""ledger_id"":820,""output_tokens"":258,""request_body_sha256"":""733133d4a6be80b5fa7bb3bce94d424daf6a9fa0347804adaa4c12b8a6bc1eeb"",""request_bytes"":87868,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1651,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""72b75fcc9141400aee84e9e8ffcf180f95afbb0f59922924b6337c5e8638d77b"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":14848,""completion_cost"":0.0,""completion_tokens"":258,""prompt_cost"":0.0,""prompt_tokens"":20960,""prompt_tokens_details"":{""cached_tokens"":14848},""reasoning_tokens"":0,""total_tokens"":21218},""utc_end"":""2026-09-15T11:47:04.651655+00:00"",""utc_start"":""2026-09-15T11:46:58.963275+00:00""}"
5,2026-09-15T11:47:08.040627+00:00,False,True,"[""e1""]",[],[],68066,"{""cache_read_tokens"":3328,""input_tokens"":16509,""output_tokens"":126}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16509,""latency_seconds"":5.128028200007975,""ledger_id"":821,""output_tokens"":126,""request_body_sha256"":""30130f405ec4648246bca34a2441ab794177b14a907cb222e1e3c948eed255e8"",""request_bytes"":68066,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1131,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""58bb3102e9b58069013afbcb535d633ac395982bda1121f484beeb6a4cc2d3a2"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":126,""prompt_cost"":0.0,""prompt_tokens"":16509,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":16635},""utc_end"":""2026-09-15T11:47:13.271003+00:00"",""utc_start"":""2026-09-15T11:47:08.125301+00:00""}"
6,2026-09-15T11:47:14.783804+00:00,False,False,"[""e1"",""e2""]",[],[],83222,"{""cache_read_tokens"":15232,""input_tokens"":20117,""output_tokens"":112}","{""cache_read_tokens"":15232,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20117,""latency_seconds"":3.189985999983037,""ledger_id"":822,""output_tokens"":112,""request_body_sha256"":""b29ab18d9a5d83a1ae6d2a3f9d422b88bd3093da7f957f545c0b014364016ba7"",""request_bytes"":83222,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1004,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c6973fa83f919dfa56e9faf929d56dc9d7522590e38a9c31e9cbbd12cf0a1244"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":15232,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":20117,""prompt_tokens_details"":{""cached_tokens"":15232},""reasoning_tokens"":0,""total_tokens"":20229},""utc_end"":""2026-09-15T11:47:18.086040+00:00"",""utc_start"":""2026-09-15T11:47:14.877172+00:00""}"
7,2026-09-15T11:47:19.943568+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],77449,"{""cache_read_tokens"":3328,""input_tokens"":18673,""output_tokens"":112}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18673,""latency_seconds"":4.444766600005096,""ledger_id"":823,""output_tokens"":112,""request_body_sha256"":""ba92562002c630b9c2e089c2ec009057314ebf553de40a4e2dd3152056464538"",""request_bytes"":77449,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1002,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1f0db3071cd617a1b0ca2adad9d132b3545b9371056fb0855d56baea121079e3"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":18673,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18785},""utc_end"":""2026-09-15T11:47:24.499109+00:00"",""utc_start"":""2026-09-15T11:47:20.035604+00:00""}"
8,2026-09-15T11:47:24.756820+00:00,False,False,"[""e1"",""e2""]","[""e1""]",[],83541,"{""cache_read_tokens"":16640,""input_tokens"":20126,""output_tokens"":112}","{""cache_read_tokens"":16640,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20126,""latency_seconds"":2.246289600007003,""ledger_id"":824,""output_tokens"":112,""request_body_sha256"":""d42aaab22f58e7e5fff9cf9c89502027845dd7a8eb32c448012b85160c8fe7a7"",""request_bytes"":83541,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1004,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""612fa751f754593eb90cbdf18a528301b24b5d6891675d1dff6e3703f2a5d18e"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":16640,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":20126,""prompt_tokens_details"":{""cached_tokens"":16640},""reasoning_tokens"":0,""total_tokens"":20238},""utc_end"":""2026-09-15T11:47:27.108325+00:00"",""utc_start"":""2026-09-15T11:47:24.845919+00:00""}"
9,2026-09-15T11:47:27.330893+00:00,False,False,"[""e1"",""e2""]","[""e1""]",[],87961,"{""cache_read_tokens"":3328,""input_tokens"":21156,""output_tokens"":79}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21156,""latency_seconds"":7.652701999992132,""ledger_id"":825,""output_tokens"":79,""request_body_sha256"":""4692638553c3e656ba8010d54bc46994308ce79c9f3004c98a9f1f49fbbe8532"",""request_bytes"":87961,""requested_model"":""EB-GLM-5.2"",""response_bytes"":835,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""25d4aa3d74c4087e0f803c11a090a96c5f0530fda6a6cc9700971021e124fd34"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":79,""prompt_cost"":0.0,""prompt_tokens"":21156,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21235},""utc_end"":""2026-09-15T11:47:35.116509+00:00"",""utc_start"":""2026-09-15T11:47:27.447132+00:00""}"
10,2026-09-15T11:47:36.035187+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],60814,"{""cache_read_tokens"":3328,""input_tokens"":14743,""output_tokens"":79}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14743,""latency_seconds"":3.5342318000039086,""ledger_id"":826,""output_tokens"":79,""request_body_sha256"":""bc9bb547b9a2566c79d5daf3e7ce475d2ef9536f785ec3f3efc38c83e3c92b98"",""request_bytes"":60814,""requested_model"":""EB-GLM-5.2"",""response_bytes"":835,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2c30f66897236c02426a9f5c641209c193770961df17c2628f5074aa170b5896"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":79,""prompt_cost"":0.0,""prompt_tokens"":14743,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":14822},""utc_end"":""2026-09-15T11:47:39.671883+00:00"",""utc_start"":""2026-09-15T11:47:36.121365+00:00""}"
