round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T12:26:11.178943+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3200,""input_tokens"":3869,""output_tokens"":203}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":5.88778259998071,""ledger_id"":900,""output_tokens"":203,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1389,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8022d617dd6675cf1b8b42b8e1a3f7394c75a8cb40b9a8f372fe4ff0aeccd68f"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":203,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":4072},""utc_end"":""2026-09-15T12:26:17.165473+00:00"",""utc_start"":""2026-09-15T12:26:11.259835+00:00""}"
2,2026-09-15T12:26:22.427401+00:00,False,False,[],[],[],39298,"{""cache_read_tokens"":3328,""input_tokens"":9552,""output_tokens"":97}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9552,""latency_seconds"":3.1692701000138186,""ledger_id"":901,""output_tokens"":97,""request_body_sha256"":""fd78443930c3f046c2ed5f5e1a7219f4d486b04a063dd324403bec52a09497de"",""request_bytes"":39298,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1128,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""50c1b4a36896486a23f0a28c30d9196195a8b73996b8a7d386adeea997bc6fb7"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":97,""prompt_cost"":0.0,""prompt_tokens"":9552,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9649},""utc_end"":""2026-09-15T12:26:25.693702+00:00"",""utc_start"":""2026-09-15T12:26:22.506498+00:00""}"
3,2026-09-15T12:26:32.922955+00:00,False,False,"[""e1""]",[],[],62263,"{""cache_read_tokens"":8192,""input_tokens"":14757,""output_tokens"":112}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14757,""latency_seconds"":3.539361300005112,""ledger_id"":902,""output_tokens"":112,""request_body_sha256"":""839535566ca82dda47509dafe228898ed6ad3bbf2b157690ccb943a1c27a554f"",""request_bytes"":62263,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1125,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b38d1f7ac38186c1c73c46eaf33a711218cf190796e2590ba08d8c696e05b40a"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":14757,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":14869},""utc_end"":""2026-09-15T12:26:36.568118+00:00"",""utc_start"":""2026-09-15T12:26:33.007954+00:00""}"
4,2026-09-15T12:26:44.653593+00:00,False,False,"[""e1"",""e2""]",[],[],85667,"{""cache_read_tokens"":13568,""input_tokens"":20450,""output_tokens"":159}","{""cache_read_tokens"":13568,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20450,""latency_seconds"":3.7237879000022076,""ledger_id"":903,""output_tokens"":159,""request_body_sha256"":""53001c2334c6a215e0ffe55c23a000c340ab2c0bdce0ad3b1a4ea507ff7b296c"",""request_bytes"":85667,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1341,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a478b25e09f33bf78dd6726567803f0b36c788187130bd8a041593661073d3db"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":13568,""completion_cost"":0.0,""completion_tokens"":159,""prompt_cost"":0.0,""prompt_tokens"":20450,""prompt_tokens_details"":{""cached_tokens"":13568},""reasoning_tokens"":0,""total_tokens"":20609},""utc_end"":""2026-09-15T12:26:48.478956+00:00"",""utc_start"":""2026-09-15T12:26:44.737383+00:00""}"
5,2026-09-15T12:27:24.262475+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],78839,"{""cache_read_tokens"":3328,""input_tokens"":19051,""output_tokens"":133}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19051,""latency_seconds"":4.999176499986788,""ledger_id"":904,""output_tokens"":133,""request_body_sha256"":""1d7e64da54a04cb3e030ff6b4a6bca3e27cb233a811413c88e5b0c3b970c2b56"",""request_bytes"":78839,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1198,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""3636d0cb7480e7b8696e40c7e55a3f6db4588e0a760706ff7314147356e719c4"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":133,""prompt_cost"":0.0,""prompt_tokens"":19051,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19184},""utc_end"":""2026-09-15T12:27:29.370789+00:00"",""utc_start"":""2026-09-15T12:27:24.353946+00:00""}"
6,2026-09-15T12:27:38.231060+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],91606,"{""cache_read_tokens"":3328,""input_tokens"":22560,""output_tokens"":137}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":22560,""latency_seconds"":5.472537299996475,""ledger_id"":905,""output_tokens"":137,""request_body_sha256"":""6e35b921d5b1cfeb6465b9d5e37d2861269299a678e029de96f320213c22c85c"",""request_bytes"":91606,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1210,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""65578b0b8e66b4d8f608bb64d4854c4c3aa03c2382b1bb3835fbc54742c96863"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":137,""prompt_cost"":0.0,""prompt_tokens"":22560,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":22697},""utc_end"":""2026-09-15T12:27:43.819451+00:00"",""utc_start"":""2026-09-15T12:27:38.322940+00:00""}"
7,2026-09-15T12:28:13.919279+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],87120,"{""cache_read_tokens"":1664,""input_tokens"":21264,""output_tokens"":199}","{""cache_read_tokens"":1664,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21264,""latency_seconds"":5.638738599984208,""ledger_id"":906,""output_tokens"":199,""request_body_sha256"":""8cacc376738e75322b101c17948aec05fc035226e0d2296f1bf3d81b1c75b3d7"",""request_bytes"":87120,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1431,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""e927aba00e6d9a5a6bb73b96784014ab1997059498db7931aba693926cb2a6e5"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":1664,""completion_cost"":0.0,""completion_tokens"":199,""prompt_cost"":0.0,""prompt_tokens"":21264,""prompt_tokens_details"":{""cached_tokens"":1664},""reasoning_tokens"":0,""total_tokens"":21463},""utc_end"":""2026-09-15T12:28:19.701822+00:00"",""utc_start"":""2026-09-15T12:28:14.045253+00:00""}"
8,2026-09-15T12:28:25.379478+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],72911,"{""cache_read_tokens"":3328,""input_tokens"":17742,""output_tokens"":137}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17742,""latency_seconds"":4.5235459999821614,""ledger_id"":907,""output_tokens"":137,""request_body_sha256"":""86759f710582397e815e79464f5e4b79702b425233b727dbb0a397cfa01ffdab"",""request_bytes"":72911,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1210,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a76e7f3775d67b46f83222158ef9d57d0a640e28844789f5ce37dc98e7ea14c0"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":137,""prompt_cost"":0.0,""prompt_tokens"":17742,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":17879},""utc_end"":""2026-09-15T12:28:30.018083+00:00"",""utc_start"":""2026-09-15T12:28:25.477976+00:00""}"
9,2026-09-15T12:28:30.426766+00:00,False,False,"[""e1"",""e2""]","[""e1"",""e2""]",[],90321,"{""cache_read_tokens"":14848,""input_tokens"":21943,""output_tokens"":137}","{""cache_read_tokens"":14848,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21943,""latency_seconds"":4.548972299991874,""ledger_id"":908,""output_tokens"":137,""request_body_sha256"":""9778c1226d93810fc5cbf5bca36a8e71c98e9a5b6bc6f7b8452f17057fb4146b"",""request_bytes"":90321,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1212,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""aeec789c61d56986e8f7bd10a90be49829a42176c95a347feb0207204a5928f1"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":14848,""completion_cost"":0.0,""completion_tokens"":137,""prompt_cost"":0.0,""prompt_tokens"":21943,""prompt_tokens_details"":{""cached_tokens"":14848},""reasoning_tokens"":0,""total_tokens"":22080},""utc_end"":""2026-09-15T12:28:35.095734+00:00"",""utc_start"":""2026-09-15T12:28:30.527955+00:00""}"
10,2026-09-15T12:28:35.498804+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],81376,"{""cache_read_tokens"":3328,""input_tokens"":19667,""output_tokens"":137}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19667,""latency_seconds"":5.44005139998626,""ledger_id"":909,""output_tokens"":137,""request_body_sha256"":""bc22e892e23255b16d3b70e7d5e374fbaa44928bb7cc7399d0fd2701ef652838"",""request_bytes"":81376,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1210,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""df78a99751e727366662454f3293b0f443ce736dc40eb9231a65d986f04ead6c"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":137,""prompt_cost"":0.0,""prompt_tokens"":19667,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19804},""utc_end"":""2026-09-15T12:28:41.051187+00:00"",""utc_start"":""2026-09-15T12:28:35.592708+00:00""}"
11,2026-09-15T12:28:41.317896+00:00,False,False,"[""e1"",""e2""]","[""e1"",""e2""]",[],83180,"{""cache_read_tokens"":16768,""input_tokens"":19981,""output_tokens"":140}","{""cache_read_tokens"":16768,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19981,""latency_seconds"":3.5690383999899495,""ledger_id"":910,""output_tokens"":140,""request_body_sha256"":""0426ee83286554d52a82f3c3aa78fcf89aea144d82e316c8e5ab7bb563afc4bf"",""request_bytes"":83180,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1235,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0bc465c05ed4e8ed09ed52974dc070d253fd29a3d010727d2de971384a79ead3"",""sequence"":11,""usage"":{""cache_cost"":0.0,""cached_tokens"":16768,""completion_cost"":0.0,""completion_tokens"":140,""prompt_cost"":0.0,""prompt_tokens"":19981,""prompt_tokens_details"":{""cached_tokens"":16768},""reasoning_tokens"":0,""total_tokens"":20121},""utc_end"":""2026-09-15T12:28:45.014361+00:00"",""utc_start"":""2026-09-15T12:28:41.426050+00:00""}"
12,2026-09-15T12:28:45.276376+00:00,True,False,"[""e1"",""e2""]","[""e1"",""e2""]",[],75355,"{""cache_read_tokens"":896,""input_tokens"":17915,""output_tokens"":204}","{""cache_read_tokens"":896,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17915,""latency_seconds"":6.508335800026543,""ledger_id"":911,""output_tokens"":204,""request_body_sha256"":""11752e4a1a724ada6262e265782647871f6491e078678b02121295aa42bc4500"",""request_bytes"":75355,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1475,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1e8355bdc49036c8167f41102e7a118c93a8e309bd49160c2ddeb230a1a9b91c"",""sequence"":12,""usage"":{""cache_cost"":0.0,""cached_tokens"":896,""completion_cost"":0.0,""completion_tokens"":204,""prompt_cost"":0.0,""prompt_tokens"":17915,""prompt_tokens_details"":{""cached_tokens"":896},""reasoning_tokens"":0,""total_tokens"":18119},""utc_end"":""2026-09-15T12:28:51.903551+00:00"",""utc_start"":""2026-09-15T12:28:45.376726+00:00""}"
