round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
1,e2,False,False,False
1,e3,False,False,False
1,e4,False,False,False
1,e5,False,False,False
2,e1,False,False,False
2,e2,False,False,False
2,e3,False,False,False
2,e4,False,False,False
2,e5,False,False,False
3,e1,False,False,False
3,e2,False,False,False
3,e3,False,False,False
3,e4,False,False,False
3,e5,False,False,False
4,e1,True,False,False
4,e2,False,False,False
4,e3,False,False,False
4,e4,False,False,False
4,e5,False,False,False
5,e1,True,False,False
5,e2,False,False,False
5,e3,False,False,False
5,e4,False,False,False
5,e5,False,False,False
6,e1,True,False,False
6,e2,True,False,False
6,e3,True,False,False
6,e4,False,False,False
6,e5,False,False,False
7,e1,True,True,False
7,e2,True,False,False
7,e3,True,False,False
7,e4,False,False,False
7,e5,False,False,False
8,e1,True,True,False
8,e2,True,False,False
8,e3,True,False,False
8,e4,False,False,False
8,e5,False,False,False
9,e1,True,True,False
9,e2,True,False,False
9,e3,True,False,False
9,e4,False,False,False
9,e5,False,False,False
10,e1,True,True,False
10,e2,True,False,False
10,e3,True,False,False
10,e4,False,False,False
10,e5,False,False,False
11,e1,True,True,False
11,e2,True,False,False
11,e3,True,False,False
11,e4,True,False,False
11,e5,False,False,False
12,e1,False,False,False
12,e2,True,False,False
12,e3,True,False,False
12,e4,True,False,False
12,e5,False,False,False
13,e1,False,False,False
13,e2,True,False,False
13,e3,True,False,False
13,e4,True,False,False
13,e5,False,False,False
14,e1,False,False,False
14,e2,True,False,False
14,e3,True,False,False
14,e4,True,False,False
14,e5,True,False,False
15,e1,False,False,False
15,e2,True,False,False
15,e3,True,False,False
15,e4,True,False,False
15,e5,True,False,False
16,e1,False,False,False
16,e2,False,False,False
16,e3,True,True,False
16,e4,True,True,False
16,e5,True,False,False
