round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T12:57:53.673311+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3840,""input_tokens"":3869,""output_tokens"":222}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":4.185069700004533,""ledger_id"":988,""output_tokens"":222,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1605,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""eaacaed9d689ffa7614e952db4417bdb27ba84087df3f692c485017c80a80e72"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":222,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4091},""utc_end"":""2026-09-15T12:57:57.980642+00:00"",""utc_start"":""2026-09-15T12:57:53.777389+00:00""}"
2,2026-09-15T12:58:04.178131+00:00,False,False,[],[],[],46047,"{""cache_read_tokens"":3328,""input_tokens"":11044,""output_tokens"":121}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11044,""latency_seconds"":4.432309700001497,""ledger_id"":989,""output_tokens"":121,""request_body_sha256"":""f61fb97b6dd95c79a09447451817aeba9b5966badcfc7aebc2b475dd41bbbe10"",""request_bytes"":46047,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1192,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d6d6a3e58a3899889e5ebe5bd19e22a165ec11b89222796717187e0172adfa05"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":121,""prompt_cost"":0.0,""prompt_tokens"":11044,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":11165},""utc_end"":""2026-09-15T12:58:08.711128+00:00"",""utc_start"":""2026-09-15T12:58:04.260948+00:00""}"
3,2026-09-15T12:58:30.632148+00:00,False,False,"[""e1""]",[],[],66044,"{""cache_read_tokens"":9856,""input_tokens"":15852,""output_tokens"":136}","{""cache_read_tokens"":9856,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15852,""latency_seconds"":3.3942393000179436,""ledger_id"":990,""output_tokens"":136,""request_body_sha256"":""42b49ac4213ba47bbc5c19cf066e3bc52517c58345c0162efb35314e1a1f4290"",""request_bytes"":66044,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1241,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""9c926986b60df4b191b36146af857a5a976e0cbe17955fbb13a7972d94145951"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":9856,""completion_cost"":0.0,""completion_tokens"":136,""prompt_cost"":0.0,""prompt_tokens"":15852,""prompt_tokens_details"":{""cached_tokens"":9856},""reasoning_tokens"":0,""total_tokens"":15988},""utc_end"":""2026-09-15T12:58:34.132802+00:00"",""utc_start"":""2026-09-15T12:58:30.719097+00:00""}"
4,2026-09-15T12:58:44.728029+00:00,False,False,"[""e1""]",[],[],82838,"{""cache_read_tokens"":14592,""input_tokens"":19911,""output_tokens"":87}","{""cache_read_tokens"":14592,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19911,""latency_seconds"":5.005990100005874,""ledger_id"":991,""output_tokens"":87,""request_body_sha256"":""0f3f18a8664420a51484f8ac987f3836b1789d1b7ee6b9acdd092e6ed8050d24"",""request_bytes"":82838,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1023,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""30a3ae9aac9f9faa25ad97c2172d7fb83bc7b80fd6f7a4a1f8f65d14b652676a"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":14592,""completion_cost"":0.0,""completion_tokens"":87,""prompt_cost"":0.0,""prompt_tokens"":19911,""prompt_tokens_details"":{""cached_tokens"":14592},""reasoning_tokens"":0,""total_tokens"":19998},""utc_end"":""2026-09-15T12:58:49.846182+00:00"",""utc_start"":""2026-09-15T12:58:44.818393+00:00""}"
5,2026-09-15T12:58:52.593457+00:00,False,True,"[""e1"",""e2""]",[],[],66738,"{""cache_read_tokens"":3328,""input_tokens"":16096,""output_tokens"":112}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16096,""latency_seconds"":3.5752291999815498,""ledger_id"":992,""output_tokens"":112,""request_body_sha256"":""7afb16a086307b00210249f04487b9ffd525f6b611baa64e22769698f2fbd883"",""request_bytes"":66738,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1014,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c62a59794f8a2151e31577728f4050cf6d37078e3aecce053a7158db540f0556"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":112,""prompt_cost"":0.0,""prompt_tokens"":16096,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":16208},""utc_end"":""2026-09-15T12:58:56.275499+00:00"",""utc_start"":""2026-09-15T12:58:52.683425+00:00""}"
6,2026-09-15T12:59:26.133784+00:00,False,False,"[""e1"",""e2""]",[],[],83167,"{""cache_read_tokens"":14848,""input_tokens"":20243,""output_tokens"":73}","{""cache_read_tokens"":14848,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20243,""latency_seconds"":2.5755931999883614,""ledger_id"":993,""output_tokens"":73,""request_body_sha256"":""db8e4bdce45cba856e8a5b1ce6206a30e48b734d5ac62d47f621e3e0fc43aeb0"",""request_bytes"":83167,""requested_model"":""EB-GLM-5.2"",""response_bytes"":915,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""50e76a34b2e16f8eb1f6254f0b5a9d7250f2c090b6c2ed0604194808a6fa2140"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":14848,""completion_cost"":0.0,""completion_tokens"":73,""prompt_cost"":0.0,""prompt_tokens"":20243,""prompt_tokens_details"":{""cached_tokens"":14848},""reasoning_tokens"":0,""total_tokens"":20316},""utc_end"":""2026-09-15T12:59:28.828812+00:00"",""utc_start"":""2026-09-15T12:59:26.232381+00:00""}"
7,2026-09-15T12:59:36.039902+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],83008,"{""cache_read_tokens"":3328,""input_tokens"":20307,""output_tokens"":96}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20307,""latency_seconds"":3.7582849000173155,""ledger_id"":994,""output_tokens"":96,""request_body_sha256"":""0191cf9e2b76ae8cefa7595c024ccee141b4288383c752c612c35c6e9e7d6464"",""request_bytes"":83008,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1000,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""e360cfbbe3fe1dfc4f0c28871fa3a9a36f88faf3e152d1c01eea68b55ee8552e"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":96,""prompt_cost"":0.0,""prompt_tokens"":20307,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20403},""utc_end"":""2026-09-15T12:59:39.916148+00:00"",""utc_start"":""2026-09-15T12:59:36.138231+00:00""}"
8,2026-09-15T13:00:09.553817+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],85957,"{""cache_read_tokens"":1664,""input_tokens"":21264,""output_tokens"":172}","{""cache_read_tokens"":1664,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21264,""latency_seconds"":5.163447700004326,""ledger_id"":995,""output_tokens"":172,""request_body_sha256"":""415632d232dee7b1612a9e7719b8ba478106abb6b1910c92e87b539e34e6cb9c"",""request_bytes"":85957,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1402,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""f8fc0cce6b38757ef12ad7bb0dae06159e9d430c3dc45028b5f27ea2c78ecb49"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":1664,""completion_cost"":0.0,""completion_tokens"":172,""prompt_cost"":0.0,""prompt_tokens"":21264,""prompt_tokens_details"":{""cached_tokens"":1664},""reasoning_tokens"":0,""total_tokens"":21436},""utc_end"":""2026-09-15T13:00:14.859123+00:00"",""utc_start"":""2026-09-15T13:00:09.677962+00:00""}"
9,2026-09-15T13:00:20.414911+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],91488,"{""cache_read_tokens"":3328,""input_tokens"":22436,""output_tokens"":171}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":22436,""latency_seconds"":4.991494399990188,""ledger_id"":996,""output_tokens"":171,""request_body_sha256"":""b2237994c3ddda95cbf083aeefdc1df8bf282fd562f741ff337e9a5c3179df82"",""request_bytes"":91488,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1251,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6ea37012f3d8d2b3b40fa6b0da6ce2be64ff048661568820a47dba116824e667"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":171,""prompt_cost"":0.0,""prompt_tokens"":22436,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":22607},""utc_end"":""2026-09-15T13:00:25.554868+00:00"",""utc_start"":""2026-09-15T13:00:20.543413+00:00""}"
10,2026-09-15T13:00:25.872513+00:00,False,True,"[""e1"",""e2""]","[""e1"",""e2""]",[],84128,"{""cache_read_tokens"":3328,""input_tokens"":20505,""output_tokens"":171}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20505,""latency_seconds"":3.837641500023892,""ledger_id"":997,""output_tokens"":171,""request_body_sha256"":""95b4c5d842294c7e59600b6edf0988ad2d60c61d52b7167074996b6ec0f20341"",""request_bytes"":84128,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1251,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""13b364c61a32db66ac6b187e7cf6097ab1d9dde747bd62a6453966d91ebe064d"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":171,""prompt_cost"":0.0,""prompt_tokens"":20505,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20676},""utc_end"":""2026-09-15T13:00:29.848504+00:00"",""utc_start"":""2026-09-15T13:00:25.993099+00:00""}"
