round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
1,e2,False,False,False
2,e1,False,False,False
2,e2,False,False,False
3,e1,True,False,False
3,e2,False,False,False
4,e1,True,False,False
4,e2,False,False,False
5,e1,True,False,False
5,e2,True,False,False
6,e1,True,False,False
6,e2,True,False,False
7,e1,True,True,False
7,e2,True,False,False
8,e1,True,True,False
8,e2,True,False,False
9,e1,True,True,False
9,e2,True,True,False
10,e1,True,True,False
10,e2,True,True,False
11,e1,True,True,False
11,e2,True,True,False
12,e1,True,True,False
12,e2,True,True,False
13,e1,True,True,False
13,e2,True,True,False
