round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T12:53:12.235238+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":3840,""input_tokens"":3870,""output_tokens"":208}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":3.8492955999972764,""ledger_id"":962,""output_tokens"":208,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1388,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""dd6265bbdfba9e59365c1ef38c6e2bf0f4d93f77a47d8ab28168a71cdb81b62b"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":208,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4078},""utc_end"":""2026-09-15T12:53:16.211010+00:00"",""utc_start"":""2026-09-15T12:53:12.341922+00:00""}"
2,2026-09-15T12:53:49.106240+00:00,False,False,[],[],[],39801,"{""cache_read_tokens"":3328,""input_tokens"":9500,""output_tokens"":207}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9500,""latency_seconds"":4.484979400003795,""ledger_id"":963,""output_tokens"":207,""request_body_sha256"":""f1b316435ab41165d9426782b74e3a8bb8e32b27d00b437f0b8c0330724b0b43"",""request_bytes"":39801,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1400,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2a6ba8ecf98f0b2bd3a070927061cc160ff56a995ef0747c95ac8cb0f80f076d"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":207,""prompt_cost"":0.0,""prompt_tokens"":9500,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9707},""utc_end"":""2026-09-15T12:53:53.701850+00:00"",""utc_start"":""2026-09-15T12:53:49.200970+00:00""}"
3,2026-09-15T12:53:56.757182+00:00,False,False,[],[],[],60016,"{""cache_read_tokens"":8192,""input_tokens"":14338,""output_tokens"":200}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14338,""latency_seconds"":4.237690100009786,""ledger_id"":964,""output_tokens"":200,""request_body_sha256"":""4f54b70f3c5e4f6d85c35adc9e368d79436c1970b0cb29cd4ff8a93a064e499c"",""request_bytes"":60016,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1442,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c7d5948fad13b4b4bd63b80cbe76680251c0afcce30cda3b49e121c29254b32f"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":200,""prompt_cost"":0.0,""prompt_tokens"":14338,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":14538},""utc_end"":""2026-09-15T12:54:01.105883+00:00"",""utc_start"":""2026-09-15T12:53:56.848960+00:00""}"
4,2026-09-15T12:54:06.462272+00:00,False,False,"[""e1""]",[],[],85098,"{""cache_read_tokens"":13184,""input_tokens"":20488,""output_tokens"":279}","{""cache_read_tokens"":13184,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20488,""latency_seconds"":5.394197299989173,""ledger_id"":965,""output_tokens"":279,""request_body_sha256"":""cfccea8a09c142152b17991d22326423d8970eaf3003c8ce14b75e91117e1160"",""request_bytes"":85098,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1835,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2487f5193d8613911095dae85e7d7b3fffc137b070e082f69de4aad7131c2b2d"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":13184,""completion_cost"":0.0,""completion_tokens"":279,""prompt_cost"":0.0,""prompt_tokens"":20488,""prompt_tokens_details"":{""cached_tokens"":13184},""reasoning_tokens"":0,""total_tokens"":20767},""utc_end"":""2026-09-15T12:54:11.961047+00:00"",""utc_start"":""2026-09-15T12:54:06.548866+00:00""}"
5,2026-09-15T12:54:14.398560+00:00,False,True,"[""e1"",""e2""]",[],[],88655,"{""cache_read_tokens"":3328,""input_tokens"":21338,""output_tokens"":396}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21338,""latency_seconds"":8.178178700007265,""ledger_id"":966,""output_tokens"":396,""request_body_sha256"":""d7f6eccc07b33abb76a4c11f30baca83bdbcea5c1ce1c62990bc7b2ea121487b"",""request_bytes"":88655,""requested_model"":""EB-GLM-5.2"",""response_bytes"":2287,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""01b236740ad50eb107525cf402bf1ef348864b8dd4ccb498b5dbd2a97dd6c592"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":396,""prompt_cost"":0.0,""prompt_tokens"":21338,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":21734},""utc_end"":""2026-09-15T12:54:22.688556+00:00"",""utc_start"":""2026-09-15T12:54:14.492374+00:00""}"
6,2026-09-15T12:54:25.528133+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1""]",[],71970,"{""cache_read_tokens"":3328,""input_tokens"":17169,""output_tokens"":459}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17169,""latency_seconds"":9.091790700011188,""ledger_id"":967,""output_tokens"":459,""request_body_sha256"":""224c41f4c2a0964e43d376d5a1d274f3237f61008199d98f15f14249ecccc09f"",""request_bytes"":71970,""requested_model"":""EB-GLM-5.2"",""response_bytes"":2451,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a9eb2a3ee0dd785041ea42ca8c22f461e9840bef53df172e97dea9f62d41ac93"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":459,""prompt_cost"":0.0,""prompt_tokens"":17169,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":17628},""utc_end"":""2026-09-15T12:54:34.727761+00:00"",""utc_start"":""2026-09-15T12:54:25.619025+00:00""}"
7,2026-09-15T12:54:40.287370+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],73202,"{""cache_read_tokens"":3328,""input_tokens"":17715,""output_tokens"":445}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17715,""latency_seconds"":8.106670300010592,""ledger_id"":968,""output_tokens"":445,""request_body_sha256"":""f0a0a57b01feb239ed09c7077beb8d5e58699ec3d31953415aa730901249bda4"",""request_bytes"":73202,""requested_model"":""EB-GLM-5.2"",""response_bytes"":2378,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6a01368fdd0c3a910bfe17581a8d51cff884f96c593ed06584ce8ea0629a3dd4"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":445,""prompt_cost"":0.0,""prompt_tokens"":17715,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18160},""utc_end"":""2026-09-15T12:54:48.503421+00:00"",""utc_start"":""2026-09-15T12:54:40.380548+00:00""}"
8,2026-09-15T12:54:50.270730+00:00,False,True,"[""e1"",""e2"",""e3"",""e4""]","[""e1"",""e2"",""e3""]",[],73874,"{""cache_read_tokens"":3328,""input_tokens"":18097,""output_tokens"":165}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18097,""latency_seconds"":5.92555290000746,""ledger_id"":969,""output_tokens"":165,""request_body_sha256"":""6499cb83e8b59e638c8b867d822c5f5decb9665ba1faa2da092a739ee8568ba9"",""request_bytes"":73874,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1307,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d13fb0c420c405a6b0699c388dd40cbb6b831ff0405f2dc45b11eb1eaf32f5d9"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":165,""prompt_cost"":0.0,""prompt_tokens"":18097,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18262},""utc_end"":""2026-09-15T12:54:56.309887+00:00"",""utc_start"":""2026-09-15T12:54:50.365843+00:00""}"
9,2026-09-15T12:54:57.813620+00:00,False,False,"[""e2"",""e3"",""e4"",""e5""]","[""e2"",""e3""]",[],91721,"{""cache_read_tokens"":14336,""input_tokens"":22592,""output_tokens"":147}","{""cache_read_tokens"":14336,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":22592,""latency_seconds"":3.800841600022977,""ledger_id"":970,""output_tokens"":147,""request_body_sha256"":""7ec50b96c24e8aa2950d4b303b6b3abe49c32c9fa227640da1d7a4ad056ec308"",""request_bytes"":91721,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1158,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2be08b19a1d2ebd583c56c09ed7d76dd6ed42d5633e5c6a7d32c734fd9556de8"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":14336,""completion_cost"":0.0,""completion_tokens"":147,""prompt_cost"":0.0,""prompt_tokens"":22592,""prompt_tokens_details"":{""cached_tokens"":14336},""reasoning_tokens"":0,""total_tokens"":22739},""utc_end"":""2026-09-15T12:55:01.743459+00:00"",""utc_start"":""2026-09-15T12:54:57.923388+00:00""}"
10,2026-09-15T12:55:03.310836+00:00,False,True,"[""e3"",""e4"",""e5""]","[""e3""]",[],80302,"{""cache_read_tokens"":3328,""input_tokens"":19906,""output_tokens"":471}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19906,""latency_seconds"":8.600330200017197,""ledger_id"":971,""output_tokens"":471,""request_body_sha256"":""52a896f1b004e74ed66f8c140dfc30c61b394114eced0cd32e2017a95e36c755"",""request_bytes"":80302,""requested_model"":""EB-GLM-5.2"",""response_bytes"":2333,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8719f68b56c12fce51a73565a94006af326c359b0aeee19075f923dd4f9a251f"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":471,""prompt_cost"":0.0,""prompt_tokens"":19906,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20377},""utc_end"":""2026-09-15T12:55:12.027462+00:00"",""utc_start"":""2026-09-15T12:55:03.408975+00:00""}"
