round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-15T13:16:53.702546+00:00,literary award created 2000s translated over twenty five languages,"[""literary"",""award"",""created"",""2000s"",""translated"",""over"",""twenty"",""five"",""languages""]","""literary"" OR ""award"" OR ""created"" OR ""2000s"" OR ""translated"" OR ""over"" OR ""twenty"" OR ""five"" OR ""languages""",5,c8e34b464761abbadfed91a1bf4a59d81daf577c0a1b8fa47890bdd109c00a7f,0d233bda84d0f091c0f701815fd29a79a7a0239c266f332e4706fd71c9660b26,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""26607"",""57021"",""56350"",""56736"",""84033""]","[{""docid"":""26607"",""score"":19.040129484489164,""snippet"":"" ... Additionally, they have also created the Worth Sharing and Lifelong Favorites publications, which I mentioned previously, with the hopes of reaching as many international publishers as possible to further their mission.\n\nRegarding foreign language translation and publishing in Japan's current literary ecosystem, we feel that the challenge ... "",""title"":""https://www.asymptotejournal.com/interview/an-interview-with-shun-inoue-from-the-japan-foundation/""},{""docid"":""57021"",""score"":18.766971015825096,""snippet"":"" ... She has translated three novels by the Italian writer Domenico Starnone, and is the editor of The Penguin Book of Italian Short Stories. A contributor for over twenty-five years toThe New Yorker magazine, she has published critical essays on authors including Ovid, Dante, Primo Levi, Alessandro Manzoni ... "",""title"":""https://barnard.edu/profiles/jhumpa-lahiri""},{""docid"":""56350"",""score"":18.4755346984686,""snippet"":"" ... She is the author of over 60 volumes of poetry, poetics, and anthologies including The Iovis Trilogy: Colors in The Mechanism of Concealment which won the PEN Center Literary Award. Waldman has read in the streets as … Read More\n\n2023 Judges\n\nNikola Madzirov\n\nNikola Madzirov (poet, essayist, translator ... "",""title"":""https://griffinpoetryprize.com/judges/""},{""docid"":""56736"",""score"":18.07729848261383,""snippet"":"" ... She is the author of Call Me Zebra, named a Best Book of the Year by over twenty publications and the winner of the 2019 PEN/Faulkner Award, the John Gardner Award, and long listed for the PEN/Open Book Award. Her other novels include Savage Tongues and ... "",""title"":""https://english.nd.edu/people/faculty/""},{""docid"":""84033"",""score"":18.064099875886374,""snippet"":"" ... Now living in Montreal, she works as a language professional in cinema, education, and literary translation. Arielle translated 21 Days in October a YA novel by Magali Favre.\n\nPeter McCambridge is a full-time, award-winning literary translator. Originally from Ireland, Peter holds a BA in modern languages ... "",""title"":""https://www.barakabooks.com/authors/""}]"
1,14,2026-09-15T13:16:54.481364+00:00,book award founded 2000s contender translated 25 languages,"[""book"",""award"",""founded"",""2000s"",""contender"",""translated"",""25"",""languages""]","""book"" OR ""award"" OR ""founded"" OR ""2000s"" OR ""contender"" OR ""translated"" OR ""25"" OR ""languages""",5,bab5ebd1ecee8a6c4c7f7518141f7199978857a15981d45bf3727000268e7f5c,c84921b7e6e90857c810aed7aeb1dfbbdb014876b984cf51b86f40e57cf866fb,False,"[""d6"",""d7"",""d8"",""d9"",""d10""]","[""43558"",""11229"",""38155"",""58691"",""913""]","[{""docid"":""43558"",""score"":15.25649208348468,""snippet"":"" ... and custodians of the unlooked for.\""\n\nAs a translator, Heaney's most famous work is the translation of the epic Anglo-Saxon poem Beowulf (2000). Considered groundbreaking because of the freedom he took in using modern language, the book is largely credited with revitalizing what had become something ... "",""title"":""https://www.poetryfoundation.org/poets/seamus-heaney""},{""docid"":""11229"",""score"":14.589178995430457,""snippet"":"" ... The 2019 National Book Awards Longlist: Translated Literature\nauthor: The New Yorker\ndate: 2019-09-17\n---\nThis week, The New Yorker will be announcing the longlists for the 2019 National Book Awards. This morning, we present the ten contenders in the category of Translated Literature. Check back tomorrow ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2019-national-book-awards-longlist-translated-literature""},{""docid"":""38155"",""score"":14.15712305239608,""snippet"":"" ... She was shortlisted for the 2016 Scotiabank Giller Prize for The Party Wall, which is an English translation of her French-language short story collection Le mur mitoyen. Leroux won the 2019 Governor General's Literary Award for English to French translation for her translation of Do Not ... "",""title"":""https://www.cbc.ca/books/the-top-20-canadian-books-of-2024-so-far-1.7252475""},{""docid"":""58691"",""score"":14.049846956557506,""snippet"":"" ... The Griffin Poetry Prize was founded in 2000 by Canadian entrepreneur and philanthropist Scott Griffin.\n\nSince then, a combination of well-established and up-and-coming poets has won the award. The Canadian prize helped launch the careers of such rising stars as Billy-Ray Belcourt, Liz Howard ... "",""title"":""https://www.cbc.ca/books/american-poet-roger-reeves-wins-130k-griffin-poetry-prize-for-best-poetry-book-in-the-world-1.6868466""},{""docid"":""913"",""score"":13.914687631731532,""snippet"":"" ... The 2022 National Book Awards Longlist: Translated Literature\nauthor: The New Yorker\ndate: 2022-09-14\n---\nThis week, The New Yorker will be announcing the longlists for the 2022 National Book Awards. This morning, we presented the ten contenders in the category of Young People's Literature. Check ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2022-national-book-awards-longlist-translated-literature""}]"
1,22,2026-09-15T13:16:55.277675+00:00,international literary prize established 2000s,"[""international"",""literary"",""prize"",""established"",""2000s""]","""international"" OR ""literary"" OR ""prize"" OR ""established"" OR ""2000s""",5,c76e71584fb1cbcd466bdddf4f73330d674da619be314f2d34471880971a7a0d,20a845f2b0ae8a1d404a3f2d2019c510f6f99807733119524e6b24d1dc08d4f5,False,"[""d11"",""d12"",""d13"",""d14"",""d15""]","[""34459"",""3002"",""15411"",""32938"",""36223""]","[{""docid"":""34459"",""score"":13.655222891011816,""snippet"":"" ... Established by Barbara Kingsolver in 2000 and funded entirely by her, it is awarded biennially to the author of a previously unpublished novel of high literary caliber that exemplifies the prize's founding principles.\n\nThe PEN/Faulkner Award for Fiction is a national prize which honors the best ... "",""title"":""https://americanwritersmuseum.org/literary-links/literary-awards/?srsltid=AfmBOooYIGTV-EUbGd9xDLmBUtcV_Ts9VM7oqhh4K0lfwTLcUoKmITFg""},{""docid"":""3002"",""score"":13.556074705016302,""snippet"":"" ... the International Booker Prize since the Man Group ended its association with the prizes in 2019.\n\nA Russian version of the Booker Prize was created in 1992 called the Booker-Open Russia Literary Prize, also known as the Russian Booker Prize. In 2007, Man Group plc established the ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""15411"",""score"":13.546500593845717,""snippet"":"" ... The entry fee is $20 and the top prize is $350.\n\nThe Fiddlehead's Annual Contests\n\nAnnual contests offered by The Fiddlehead literary magazine include fiction and nonfiction contests with a top prize of $2000.\n\nThe Malahat Review Writing Contests\n\nTop Prizes for these contests range from $1000 ... "",""title"":""https://www.dreamerswriting.com/writing-contests-in-canada/""},{""docid"":""32938"",""score"":13.362059648719061,""snippet"":"" ... 1935\n\nThe is a Japanese literary award presented biannually. Because of its prestige and the considerable attention the winner receives from the media, it is, along with the Naoki Prize, one of Japan's most sought after literary prizes.\n\nHistory\n\nThe Akutagawa Prize was established in 1935 by ... "",""title"":""https://en.wikipedia.org/wiki/Akutagawa_Prize""},{""docid"":""36223"",""score"":13.345560667983333,""snippet"":"" ... 2024-01-01\n---\nReceiving a literary award is a dream of many authors, a sign that they've \""made it\"" right up there with becoming a best seller.\n\nIn the literary world, there are thousands of different prizes awarded to aspiring and established authors each year (check out ... "",""title"":""https://www.tckpublishing.com/prestigious-literature-awards/""}]"
2,38,2026-09-15T13:16:59.812214+00:00,Man Asian Literary Prize winner 2010s shortlist,"[""man"",""asian"",""literary"",""prize"",""winner"",""2010s"",""shortlist""]","""man"" OR ""asian"" OR ""literary"" OR ""prize"" OR ""winner"" OR ""2010s"" OR ""shortlist""",5,318447a19fd8c55b3fb98b9eddad9dd64be19c155caf13cb8656826881d19bb6,b03dff6a1418be7b7b3cea541b1f136d4e0ce98e00cfc8a9c23c21ad5ca62beb,False,"[""d12"",""d16"",""d17"",""d18"",""d3""]","[""3002"",""18890"",""56224"",""6058"",""56350""]","[{""docid"":""3002"",""score"":29.641228093604138,""snippet"":"" ... A Russian version of the Booker Prize was created in 1992 called the Booker-Open Russia Literary Prize, also known as the Russian Booker Prize. In 2007, Man Group plc established the Man Asian Literary Prize, an annual literary award given to the best novel by an Asian ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""18890"",""score"":27.750674351960647,""snippet"":"" ... 2010)as well as numerous short stories, articles and reviews. Gibb was the winner of the Trillium Book Award in 2006, a Scotiabank Giller Prize short list nominee in 2005, winner of the city of Toronto Book Award in 2000 and the recipient of the CBC Canadian Literary ... "",""title"":""https://www.yorku.ca/laps/huma/canadian-writers/""},{""docid"":""56224"",""score"":27.26497999548056,""snippet"":"" ... Daqing and the Formation of the Chinese Socialist State (HYI 110)\n\nFrancis Hsu Book Prize for East Asian Anthropology (American Anthropological Association)\n\n2010: Catherine Clayton, Sovereignty at the Edge: Macau and the Question of Chineseness (HEAM 324)\n\nFranklin R. Buchanan Prize for Asia Curriculum Materials (Association of Asian ... "",""title"":""https://asiacenter.harvard.edu/publications/awards""},{""docid"":""6058"",""score"":26.934078866037105,""snippet"":"" ... In 2015, Mabanckou was a finalist for the Man Booker International Prize.\n\nThe Refugees by Viet Thanh Nguyen\n\nViet Thanh Nguyen's novel The Sympathizer is a New York Times best seller and won the Pulitzer Prize for Fiction. Other honors include the Dayton Literary Peace Prize, the ... "",""title"":""https://www.aspeninstitute.org/blog-posts/20-new-works-fiction-social-impact/""},{""docid"":""56350"",""score"":26.75141532691218,""snippet"":"" ... A selection of his poetry is collected in Desire Never … Read More\n\nColm Toíbín\n\nColm Toíbín is the author of six novels, including The Master, winner of the International IMPAC Dublin Literary Award and shortlisted for the Man Booker Prize, as well as winner of the LA Times ... "",""title"":""https://griffinpoetryprize.com/judges/""}]"
2,44,2026-09-15T13:17:00.328329+00:00,International Booker Prize shortlist translated 25 languages,"[""international"",""booker"",""prize"",""shortlist"",""translated"",""25"",""languages""]","""international"" OR ""booker"" OR ""prize"" OR ""shortlist"" OR ""translated"" OR ""25"" OR ""languages""",5,c52e4fb97a979dee5f0206f3c572a67590fef4512b616ecb3931cc26b358e099,422bd3f2093e327808340785762ed1e7993fa0f21d4b14e79dc7b199c34db842,False,"[""d19"",""d20"",""d12"",""d21"",""d22""]","[""58655"",""24586"",""3002"",""8674"",""10935""]","[{""docid"":""58655"",""score"":30.593849994731343,""snippet"":"" ... exuberant, coruscating translation.\n\n\""This is a luminous novel of India and Partition, but one whose spellbinding brio and fierce compassion weaves youth and age, male and female, family and nation into a kaleidoscopic whole.\""\n\nThe International Booker Prize 2022 Shortlist\n\n| Title | Author | Translator | Original Language | Author Residence | Publisher ... "",""title"":""https://publishingperspectives.com/2022/05/geetanjali-shree-and-daisy-rockwell-win-the-international-booker-prize/""},{""docid"":""24586"",""score"":30.15764072707243,""snippet"":"" ... The International Booker Prize 2023 Shortlist\n\nAt London Book Fair: Insights Into Translation Buyers\n\nAs the news of the International Booker Prize shortlist was announced to the public amid the raucous noise and crush of simultaneously programmed events at London Book Fair's opening today (April 17), the ... "",""title"":""https://publishingperspectives.com/2023/04/london-book-fair-the-bookers-new-data-on-translation-buyers/""},{""docid"":""3002"",""score"":30.06281982712232,""snippet"":"" ... Literary critics have noted that it is a mark of distinction for authors to be selected for inclusion in the shortlist or to be nominated for the \""longlist\"".\n\nA sister prize, the International Booker Prize, is awarded for a work of fiction translated into English and published in ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""8674"",""score"":29.6044679483881,""snippet"":"" ... His two novels, The Fishermen (2015) and An Orchestra of Minorities (2019) were shortlisted for The Booker Prize and have been translated into 30 languages. He has an LA Times book prize, the prestigious Internationalerpris, FT/Oppenheimer prize for fiction, an NAACP Image award and has been nominated ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""10935"",""score"":28.43473920289045,""snippet"":"" ... 2024 Booker International Prize Winner:\n\nKairos by Jenny Erpenbeck translated by Michael Hofmann\n\n2024 Booker International Prize Shortlist finalists:\n\n-\n\nNot a River by Selva Almada\n\n-\n\nMater 2-10 by Hwang Sok-yong\n\n-\n\nWhat I'd Rather Not Think About by Jente Posthuma\n\n-\n\nCrooked Plow by Itamar Vieira Junior ... "",""title"":""https://bookclubs.com/blog/2023-2024-book-awards-and-book-prize-winners""}]"
2,51,2026-09-15T13:17:00.855515+00:00,book translated into 25 languages award contender 2010s,"[""book"",""translated"",""into"",""25"",""languages"",""award"",""contender"",""2010s""]","""book"" OR ""translated"" OR ""into"" OR ""25"" OR ""languages"" OR ""award"" OR ""contender"" OR ""2010s""",5,c5bafbd14a1d7cacd75683c3096a999589883bfc0db8598c1e7c64a7e7c551b7,d99e8fadbb0f01df5b6c1e66a99588cfeceb38b814aef49f5ba05de16a29e327,False,"[""d23"",""d7"",""d24"",""d8"",""d25""]","[""94942"",""11229"",""32505"",""38155"",""30757""]","[{""docid"":""94942"",""score"":14.737721586362774,""snippet"":"" ... The essays in this book explore the many facets of language rights and language protection from a variety of theoretical, legal, and academic perspectives.\n\nThe Song of Everlasting Sorrow: A Novel of Shanghai by Wang Anyi, translated by Michael Berry and Susan Chan Egan\n\nSet in post-World ... "",""title"":""https://translationstudies.complit.ucsb.edu/publications""},{""docid"":""11229"",""score"":14.548807373337526,""snippet"":"" ... The 2019 National Book Awards Longlist: Translated Literature\nauthor: The New Yorker\ndate: 2019-09-17\n---\nThis week, The New Yorker will be announcing the longlists for the 2019 National Book Awards. This morning, we present the ten contenders in the category of Translated Literature. Check back tomorrow ... "",""title"":""https://www.newyorker.com/books/page-turner/the-2019-national-book-awards-longlist-translated-literature""},{""docid"":""32505"",""score"":14.421954156207567,""snippet"":"" ... Books of 1998\"" (year-end best-of) | |\n| Dec2009 | Planisphere | \""Editors' Choice\"" (recent books of interest) | |\n| Jun2011 | Illuminations | \""Editors' Choice\"" (recent books of interest) | |\n\nOxford-Weidenfeld Translation Prize\n\nThe annual Oxford-Weidenfeld Translation Prize is an award recognizing \""book-length literary translations into English from any living European language ... "",""title"":""https://en.wikipedia.org/wiki/List_of_awards_and_honors_received_by_John_Ashbery""},{""docid"":""38155"",""score"":14.12640793937127,""snippet"":"" ... She was shortlisted for the 2016 Scotiabank Giller Prize for The Party Wall, which is an English translation of her French-language short story collection Le mur mitoyen. Leroux won the 2019 Governor General's Literary Award for English to French translation for her translation of Do Not ... "",""title"":""https://www.cbc.ca/books/the-top-20-canadian-books-of-2024-so-far-1.7252475""},{""docid"":""30757"",""score"":14.070959882481114,""snippet"":"" ... English-language novels\nCategory:American LGBTQ novels\nCategory:American children's novels\nCategory:2015 children's books\nCategory:Children's books with transgender themes\nCategory:LGBTQ-related children's novels\nCategory:2010s LGBTQ novels\nCategory:Scholastic Corporation books\nCategory:Stonewall Book Award–winning works\nCategory:Censored books\nCategory ... "",""title"":""https://en.wikipedia.org/wiki/Melissa_(novel)""}]"
3,70,2026-09-15T13:17:06.239038+00:00,Chigozie Obioma An Orchestra of Minorities Man Booker International Prize 2019 shortlist,"[""chigozie"",""obioma"",""an"",""orchestra"",""of"",""minorities"",""man"",""booker"",""international"",""prize"",""2019"",""shortlist""]","""chigozie"" OR ""obioma"" OR ""an"" OR ""orchestra"" OR ""of"" OR ""minorities"" OR ""man"" OR ""booker"" OR ""international"" OR ""prize"" OR ""2019"" OR ""shortlist""",5,fa12386e8ea6e201e7513cf70dc837bf75093c60802c16b0c0119af154717f9d,1d7a2c489f4c51036b1ff04a15a4f9f0cbb3229e5e7979b40324514bba6c3fc7,False,"[""d21"",""d26"",""d27"",""d28"",""d29""]","[""8674"",""38708"",""12500"",""23177"",""3438""]","[{""docid"":""8674"",""score"":68.17277496574604,""snippet"":"" ... Program Director\n\nChigozie Obioma was born in Akure, Nigeria. His two novels, The Fishermen (2015) and An Orchestra of Minorities (2019) were shortlisted for The Booker Prize and have been translated into 30 languages. He has an LA Times book prize, the prestigious Internationaler Literaturpreis, FT/Oppenheimer prize ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""38708"",""score"":61.063488868368836,""snippet"":"" ... Guo *Joanna MacGregor |\n| 2019 | Shortlist | Lucy Ellmann | Ducks, Newburyport | Galley Beggar | *Peter Florence (chair) *Afua Hirsch *Liz Calder *Xiaolu Guo *Joanna MacGregor |\n| 2019 | Shortlist | Chigozie Obioma | An Orchestra of Minorities | Little, Brown | *Peter Florence (chair) *Afua Hirsch *Liz Calder *Xiaolu Guo *Joanna MacGregor |\n| 2019 | Shortlist | Salman Rushdie | Quichotte ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""12500"",""score"":38.167181956668394,""snippet"":"" ... A Man of the People (1966), Anthills of the Savannah (1987), \n* Chimamanda Ngozi Adichie (Nigeria): Purple Hibiscus (2003), Half of a Yellow Sun (2006), Americanah (2013)\n* Chigozie Obioma (Nigeria): The Fishermen (2015), An Orchestra of Minorities (2019)\n* José Eduardo Agualusa (Angola): Rainy Season, Creole, The Book of Chameleons ... "",""title"":""https://en.wikipedia.org/wiki/African_literature""},{""docid"":""23177"",""score"":34.265117876551166,""snippet"":"" ... if there weren't the likes of US-based Nigerian Booker Prize shortlistee Chigozie Obioma to take on the mantle of bootstrap race \""analysis\"" in a more sophisticated manner. A few months before the 2016 Aké Festival Black Lives Matter panel, Obioma saw it fit to make his ... "",""title"":""https://africasacountry.com/2019/04/why-im-no-longer-talking-to-nigerians-about-race""},{""docid"":""3438"",""score"":32.176848001585064,""snippet"":"" ... Chigozie Obioma\ndate: 2000-01-01\n---\n-\n\n- MajorsMinorsCertificates\n\n>>\n\n- Policies & ProceduresFYW Guidebook\n\n>>\n\n- Digital Learning LabsPortfoliosEvaluationsMoran ePortfolio AwardsBarnett Essay AwardsDouble Dawgs\n\n>>\n\n- Transfer FAQProspective Student Information\n\n>>\n\n- Study AbroadInternships and Research Opportunities\n\n>>\n\n-\n\n>>\n\n- Double DawgsTransfer Student InformationDual Degree Program: LLED/BAExperiential Learning in EnglishStudy AbroadAwards and Prizes\n\n-\n\n>>\n\n- Double Dawgs\n\n>>\n\n- African American/Multicultural StudiesAmerican Literary ... "",""title"":""https://www.english.uga.edu/directory/people/chigozie-obioma""}]"
3,77,2026-09-15T13:17:08.221518+00:00,Chigozie Obioma born city grew up,"[""chigozie"",""obioma"",""born"",""city"",""grew"",""up""]","""chigozie"" OR ""obioma"" OR ""born"" OR ""city"" OR ""grew"" OR ""up""",5,2a7719ee57fcf7912147db01650e1b3e4628ca0500f1779b69b2ff4d6a3613fd,d783eff4f872f5dd5ddc6ab111ccbc6d5428a038c7a035a8d9298ae030810d8c,False,"[""d21"",""d26"",""d29"",""d30"",""d28""]","[""8674"",""38708"",""3438"",""37690"",""23177""]","[{""docid"":""8674"",""score"":37.773033105472415,""snippet"":"" ... 2022-01-01\n---\nADVISORS\n\nAdvisors\n\nProgram Director\n\nChigozie Obioma was born in Akure, Nigeria. His two novels, The Fishermen (2015) and An Orchestra of Minorities (2019) were shortlisted for The Booker Prize and have been translated into 30 languages. He has an LA Times book prize, the prestigious ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""38708"",""score"":31.87321621452883,""snippet"":"" ... Farrell\n*Karen Joy Fowler\n*Linda Grant\n*Abdulrazak Gurnah\n*Sarah Hall\n*Mohsin Hamid\n*Shirley Hazzard\n*Philip Hensher\n*Mary Lawson\n*David Lodge\n*Patrick McCabe\n*Colum McCann\n*Tom McCarthy\n*Shena Mackay\n*Chigozie Obioma\n*Michael Ondaatje\n*Joseph O'Neill\n*Tim Parks\n*Caryl Phillips\n*Julian Rathbone\n*Mordecai Richler\n*Arundhati Roy\n*Bernice Rubens\n*Donal ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""3438"",""score"":28.859576575212124,""snippet"":"" ... Chigozie Obioma\ndate: 2000-01-01\n---\n-\n\n- MajorsMinorsCertificates\n\n>>\n\n- Policies & ProceduresFYW Guidebook\n\n>>\n\n- Digital Learning LabsPortfoliosEvaluationsMoran ePortfolio AwardsBarnett Essay AwardsDouble Dawgs\n\n>>\n\n- Transfer FAQProspective Student Information\n\n>>\n\n- Study AbroadInternships and Research Opportunities\n\n>>\n\n-\n\n>>\n\n- Double DawgsTransfer Student InformationDual Degree Program: LLED/BAExperiential Learning in EnglishStudy AbroadAwards and Prizes\n\n-\n\n>>\n\n- Double Dawgs\n\n>>\n\n- African American/Multicultural StudiesAmerican Literary ... "",""title"":""https://www.english.uga.edu/directory/people/chigozie-obioma""},{""docid"":""37690"",""score"":26.8956960175981,""snippet"":"" ... This book brilliantly explores the effects of slavery and colonialism on African families as the story unfolds between West Africa and the United States.\n\n- The Fishermen (2015) by Chigozie Obioma (Nigeria): In this heartbreaking tale, four brothers in a small Nigerian town have their lives turned upside down ... "",""title"":""https://enkoeducation.com/the-must-read-in-african-literature/""},{""docid"":""23177"",""score"":26.07169309595544,""snippet"":"" ... Appiah argues that, unlike their counterparts who grew up facing the crudest forms of racial and colonial discrimination in the West and the Francophone subcontinent, the likes of S̩óyinká were \""children who were extracted from the traditional culture of their parents and grandparents and thrust into the ... "",""title"":""https://africasacountry.com/2019/04/why-im-no-longer-talking-to-nigerians-about-race""}]"
3,81,2026-09-15T13:17:08.977377+00:00,Man Booker International Prize 2019 winner,"[""man"",""booker"",""international"",""prize"",""2019"",""winner""]","""man"" OR ""booker"" OR ""international"" OR ""prize"" OR ""2019"" OR ""winner""",5,44e7d4ef608a600077325f8f63b87e94fae849f6aa05be27141f670590edb50f,948980be26f2bb93eaebd95b41b32537f731ca538487f7a3709714278715dfe3,False,"[""d12"",""d26"",""d19"",""d15"",""d31""]","[""3002"",""38708"",""58655"",""36223"",""20177""]","[{""docid"":""3002"",""score"":22.163095100237737,""snippet"":"" ... the Man Booker Prize (2002–2019), is a prestigious literary award conferred each year for the best single work of sustained fiction written in the English language, which was published in the United Kingdom or Ireland. The winner of the Booker Prize receives , as well as international publicity ... "",""title"":""https://en.wikipedia.org/wiki/Booker_Prize""},{""docid"":""38708"",""score"":21.25456007322146,""snippet"":"" ... July 2025, shortlist 23 September, winner 10 November | Longlist to be announced 29 July 2025, shortlist 23 September, winner 10 November | *Roddy Doyle (chair) * Ayọ̀bámi Adébáyọ̀ * Sarah Jessica Parker * Chris Power * Kiley Reid |\n\n2* Awarded in 2010 as the Lost Man Booker Prize\n\nWriters with multiple awards\n\nFive ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""58655"",""score"":21.088279706771626,""snippet"":"" ... translation won one of English PEN's translation awards in 2019\n\n- Its publication by the independent Tilted Axis Press ties in Deborah Smith, the company's founder and the translator who won the 2016 Man Booker International Prize for her translation of The Vegetarian by Korean author Han ... "",""title"":""https://publishingperspectives.com/2022/05/geetanjali-shree-and-daisy-rockwell-win-the-international-booker-prize/""},{""docid"":""36223"",""score"":20.885125084929008,""snippet"":"" ... Notable winners: From Here to Eternity by James Jones (1952); The Haunted Land by Tina Rosenberg; Trust Exercise by Susan Choi (2019)\n\n4. Booker Prize\n\nThe Booker Prize (formerly the \""Man Booker Prize\"") was established in 1969. Each year, a panel of judges decide the best novel of ... "",""title"":""https://www.tckpublishing.com/prestigious-literature-awards/""},{""docid"":""20177"",""score"":20.85048476288744,""snippet"":"" ... Short-listed for the Booker International Prize, 2005\n\n- Banff Centre's National Arts Award, 2005\n\n- Edinburgh's International Book Festival Enlightenment Award, 2005\n\n- Chicago Tribune Literary Prize, 2005\n\n- Markets Initiative Order of the Forest, 2006\n\n- Short-listed for Booker International Prize, 2007\n\n- Winner Blue Metropolis Literary Grand Prix ... "",""title"":""https://margaretatwood.ca/awards-recognitions/""}]"
4,94,2026-09-15T13:17:15.268740+00:00,Chigozie Obioma Man Asian Literary Prize,"[""chigozie"",""obioma"",""man"",""asian"",""literary"",""prize""]","""chigozie"" OR ""obioma"" OR ""man"" OR ""asian"" OR ""literary"" OR ""prize""",5,d1ef5624d954c8ccc0c004d53641171288449bae9e8a9afa42330b5679a12932,0cab98939ac6ef264a839a5757b9afc4fddc55633bf3d41ee625e33e4ba26c9d,False,"[""d21"",""d26"",""d29"",""d28"",""d30""]","[""8674"",""38708"",""3438"",""23177"",""37690""]","[{""docid"":""8674"",""score"":43.48445388797986,""snippet"":"" ... has published Chigozie Obioma, Monica Ali, Ruth Ozeki, Lauren Groff, Richard Powers, Taylor Jenkins Reid, Amor Towles and Tom Hanks.\n\nGuest Speaker\n\nBill Clegg is a literary agent in New York and the author of the bestselling memoirs Portrait of an Addict as a Young Man and Ninety ... "",""title"":""https://www.oxbelly.com/fiction-writers-program/advisors""},{""docid"":""38708"",""score"":37.04760944145623,""snippet"":"" ... Coetzee | Slow Man | Secker & Warburg | *John Sutherland (chair) *Lindsay Duguid *Rick Gekoski *Josephine Hart *David Sexton |\n| 2005 The Booker Prizes |url= |access-date=2022-10-19 |website=thebookerprizes.com |language=en |archive-date=10 December 2022 |archive-url= |url-status=live }} | Longlist | Rachel Cusk | In the Fold | Faber ... "",""title"":""https://en.wikipedia.org/wiki/List_of_winners_and_nominated_authors_of_the_Booker_Prize""},{""docid"":""3438"",""score"":36.83047067211849,""snippet"":"" ... Chigozie Obioma\ndate: 2000-01-01\n---\n-\n\n- MajorsMinorsCertificates\n\n>>\n\n- Policies & ProceduresFYW Guidebook\n\n>>\n\n- Digital Learning LabsPortfoliosEvaluationsMoran ePortfolio AwardsBarnett Essay AwardsDouble Dawgs\n\n>>\n\n- Transfer FAQProspective Student Information\n\n>>\n\n- Study AbroadInternships and Research Opportunities\n\n>>\n\n-\n\n>>\n\n- Double DawgsTransfer Student InformationDual Degree Program: LLED/BAExperiential Learning in EnglishStudy AbroadAwards and Prizes\n\n-\n\n>>\n\n- Double Dawgs\n\n>>\n\n- African American/Multicultural StudiesAmerican Literary ... "",""title"":""https://www.english.uga.edu/directory/people/chigozie-obioma""},{""docid"":""23177"",""score"":30.434311427379985,""snippet"":"" ... t the likes of US-based Nigerian Booker Prize shortlistee Chigozie Obioma to take on the mantle of bootstrap race \""analysis\"" in a more sophisticated manner. A few months before the 2016 Aké Festival Black Lives Matter panel, Obioma saw it fit to make his intervention into the ... "",""title"":""https://africasacountry.com/2019/04/why-im-no-longer-talking-to-nigerians-about-race""},{""docid"":""37690"",""score"":30.322779413528313,""snippet"":"" ... This book brilliantly explores the effects of slavery and colonialism on African families as the story unfolds between West Africa and the United States.\n\n- The Fishermen (2015) by Chigozie Obioma (Nigeria): In this heartbreaking tale, four brothers in a small Nigerian town have their lives turned upside down ... "",""title"":""https://enkoeducation.com/the-must-read-in-african-literature/""}]"
