round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T13:16:48.150835+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":3840,""input_tokens"":3870,""output_tokens"":195}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":5.4002469000115525,""ledger_id"":1035,""output_tokens"":195,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1358,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""89cbb6dc5aa8a5fdfdc098d11636147514f81c4567a5f2aeb16beb25ccf1860f"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":195,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4065},""utc_end"":""2026-09-15T13:16:53.657409+00:00"",""utc_start"":""2026-09-15T13:16:48.240030+00:00""}"
2,2026-09-15T13:16:55.918128+00:00,False,False,[],[],[],30724,"{""cache_read_tokens"":3328,""input_tokens"":7353,""output_tokens"":161}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":7353,""latency_seconds"":3.7216633999778423,""ledger_id"":1036,""output_tokens"":161,""request_body_sha256"":""fd82cd2c17d9d27727f3a69861401000d84247097c9040b6745fc117eda6a78b"",""request_bytes"":30724,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1281,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""be697848391b8fe29a1528ba097072e8fddf8c8e7a0c9508e7aa92c15e5b2333"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":161,""prompt_cost"":0.0,""prompt_tokens"":7353,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":7514},""utc_end"":""2026-09-15T13:16:59.752872+00:00"",""utc_start"":""2026-09-15T13:16:56.013792+00:00""}"
3,2026-09-15T13:17:01.752066+00:00,False,False,[],[],[],42283,"{""cache_read_tokens"":6144,""input_tokens"":10021,""output_tokens"":173}","{""cache_read_tokens"":6144,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10021,""latency_seconds"":4.254600700020092,""ledger_id"":1037,""output_tokens"":173,""request_body_sha256"":""5442f20a67d376574ae6885e77aa753d609966dbcf7876df48cb965fbb84110a"",""request_bytes"":42283,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1351,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6e72bc729b347bce577e1f3d5f94b1ff29a42e9fed8d77446a664bff762bf56f"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":6144,""completion_cost"":0.0,""completion_tokens"":173,""prompt_cost"":0.0,""prompt_tokens"":10021,""prompt_tokens_details"":{""cached_tokens"":6144},""reasoning_tokens"":0,""total_tokens"":10194},""utc_end"":""2026-09-15T13:17:06.109558+00:00"",""utc_start"":""2026-09-15T13:17:01.839373+00:00""}"
4,2026-09-15T13:17:09.562517+00:00,False,False,"[""e1""]",[],[],57802,"{""cache_read_tokens"":8832,""input_tokens"":13856,""output_tokens"":306}","{""cache_read_tokens"":8832,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13856,""latency_seconds"":5.534085999999661,""ledger_id"":1038,""output_tokens"":306,""request_body_sha256"":""7eaf3310e27fde1cb1d29ea21ae6069903c6dcad269eefb2dcc89e42c4a94002"",""request_bytes"":57802,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1907,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""5800f4a37d88e2eda0d250652fabcf5807292d5aee5094ba17df8dc220fa62f1"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":8832,""completion_cost"":0.0,""completion_tokens"":306,""prompt_cost"":0.0,""prompt_tokens"":13856,""prompt_tokens_details"":{""cached_tokens"":8832},""reasoning_tokens"":0,""total_tokens"":14162},""utc_end"":""2026-09-15T13:17:15.202229+00:00"",""utc_start"":""2026-09-15T13:17:09.651262+00:00""}"
5,2026-09-15T13:17:18.808075+00:00,False,False,"[""e1""]",[],[],77342,"{""cache_read_tokens"":12672,""input_tokens"":18661,""output_tokens"":178}","{""cache_read_tokens"":12672,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18661,""latency_seconds"":4.970715600007679,""ledger_id"":1039,""output_tokens"":178,""request_body_sha256"":""4fd18a2ebb723bee6e19a9420462f87d7edd38fa15d71fbd9a0e97902a1ff8fe"",""request_bytes"":77342,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1340,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""fcc3cb666180c205061be6ab31c8ea21788ecd3f8f320501c4fba8f5cd3038b7"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":12672,""completion_cost"":0.0,""completion_tokens"":178,""prompt_cost"":0.0,""prompt_tokens"":18661,""prompt_tokens_details"":{""cached_tokens"":12672},""reasoning_tokens"":0,""total_tokens"":18839},""utc_end"":""2026-09-15T13:17:23.888899+00:00"",""utc_start"":""2026-09-15T13:17:18.900410+00:00""}"
6,2026-09-15T13:17:25.692279+00:00,False,False,"[""e1""]",[],[],88812,"{""cache_read_tokens"":17408,""input_tokens"":21324,""output_tokens"":88}","{""cache_read_tokens"":17408,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21324,""latency_seconds"":2.139018899993971,""ledger_id"":1040,""output_tokens"":88,""request_body_sha256"":""efba9cd58baa1ac272c68072c97bb1487b8fc26a18e04054db9e60cc6d4ac5b0"",""request_bytes"":88812,""requested_model"":""EB-GLM-5.2"",""response_bytes"":969,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a69410c8fe51e5c1210fe3637dba5ba21db98c3391cd5df80cad575690c34f41"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":17408,""completion_cost"":0.0,""completion_tokens"":88,""prompt_cost"":0.0,""prompt_tokens"":21324,""prompt_tokens_details"":{""cached_tokens"":17408},""reasoning_tokens"":0,""total_tokens"":21412},""utc_end"":""2026-09-15T13:17:27.944070+00:00"",""utc_start"":""2026-09-15T13:17:25.787658+00:00""}"
7,2026-09-15T13:17:29.460806+00:00,False,False,"[""e1""]",[],[],90234,"{""cache_read_tokens"":0,""input_tokens"":21518,""output_tokens"":205}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21518,""latency_seconds"":5.546647400013171,""ledger_id"":1041,""output_tokens"":205,""request_body_sha256"":""6123337756cbfa7469e251ee877884712b2946057a655915c1592e908183ad61"",""request_bytes"":90234,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1406,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""aeab1e4a381416a5cad22b6632b9f03c0ec291746fd8437b3116deb243d7e96c"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":205,""prompt_cost"":0.0,""prompt_tokens"":21518,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":21723},""utc_end"":""2026-09-15T13:17:35.141524+00:00"",""utc_start"":""2026-09-15T13:17:29.578973+00:00""}"
8,2026-09-15T13:17:35.317217+00:00,False,True,"[""e1""]","[""e1""]",[],65973,"{""cache_read_tokens"":3328,""input_tokens"":15731,""output_tokens"":196}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15731,""latency_seconds"":4.936291499994695,""ledger_id"":1042,""output_tokens"":196,""request_body_sha256"":""d322fc5b853c5fb6ba6def239670f8bd98229f4e1e7292c73504c16ff9e52dcd"",""request_bytes"":65973,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1365,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""07efa5f32922c3bbff7d934ae9986af7a9b709e09060466d95b77d26887e7491"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":196,""prompt_cost"":0.0,""prompt_tokens"":15731,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":15927},""utc_end"":""2026-09-15T13:17:40.373057+00:00"",""utc_start"":""2026-09-15T13:17:35.419025+00:00""}"
9,2026-09-15T13:17:42.015870+00:00,False,False,"[""e1""]","[""e1""]",[],76783,"{""cache_read_tokens"":13696,""input_tokens"":18335,""output_tokens"":187}","{""cache_read_tokens"":13696,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18335,""latency_seconds"":4.121821700013243,""ledger_id"":1043,""output_tokens"":187,""request_body_sha256"":""5452e906dcb6ac58bbcb346864ed17970aaf4fe673ae12183d2fd2e474abfc5b"",""request_bytes"":76783,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1342,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2e173850408a06843e4ea52cf553dfe48359706c16d63277420ba2602e6200eb"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":13696,""completion_cost"":0.0,""completion_tokens"":187,""prompt_cost"":0.0,""prompt_tokens"":18335,""prompt_tokens_details"":{""cached_tokens"":13696},""reasoning_tokens"":0,""total_tokens"":18522},""utc_end"":""2026-09-15T13:17:46.265677+00:00"",""utc_start"":""2026-09-15T13:17:42.114503+00:00""}"
10,2026-09-15T13:17:47.686094+00:00,False,False,"[""e1""]","[""e1""]",[],86468,"{""cache_read_tokens"":16384,""input_tokens"":20634,""output_tokens"":187}","{""cache_read_tokens"":16384,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20634,""latency_seconds"":3.6666769000003114,""ledger_id"":1044,""output_tokens"":187,""request_body_sha256"":""9f0e4e8658aa6cf9dcb8870de589c1f3fef10b91dafb4feaa0ed0f166bd11e2e"",""request_bytes"":86468,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1342,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""96093a446ff6a6701a1cb33a181df0c16db97d406ebeee5a5aa9e508e09f648e"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":16384,""completion_cost"":0.0,""completion_tokens"":187,""prompt_cost"":0.0,""prompt_tokens"":20634,""prompt_tokens_details"":{""cached_tokens"":16384},""reasoning_tokens"":0,""total_tokens"":20821},""utc_end"":""2026-09-15T13:17:51.478791+00:00"",""utc_start"":""2026-09-15T13:17:47.794093+00:00""}"
