round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T13:34:13.681741+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":0,""input_tokens"":3870,""output_tokens"":243}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":4.286050499998964,""ledger_id"":1071,""output_tokens"":243,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1641,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""269f88d0f976e93b792a4613af6c1f9e4bd30bb2134a4f5f82962d54751bd7a1"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":243,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":4113},""utc_end"":""2026-09-15T13:34:18.069599+00:00"",""utc_start"":""2026-09-15T13:34:13.766720+00:00""}"
2,2026-09-15T13:34:36.436165+00:00,False,False,[],[],[],52732,"{""cache_read_tokens"":3328,""input_tokens"":12480,""output_tokens"":179}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":12480,""latency_seconds"":4.406059400003869,""ledger_id"":1072,""output_tokens"":179,""request_body_sha256"":""05906c86d75c6bd1355b4b4040cd8e195023f7bfcd104d63d3789af0d888f076"",""request_bytes"":52732,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1567,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0c56f5af4716577e195cebe084cfb2ce847a991a6225d8a26228596d025fe454"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":179,""prompt_cost"":0.0,""prompt_tokens"":12480,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":12659},""utc_end"":""2026-09-15T13:34:40.946653+00:00"",""utc_start"":""2026-09-15T13:34:36.524300+00:00""}"
3,2026-09-15T13:34:45.180593+00:00,False,False,[],[],[],86625,"{""cache_read_tokens"":11264,""input_tokens"":20192,""output_tokens"":268}","{""cache_read_tokens"":11264,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20192,""latency_seconds"":6.204161699977703,""ledger_id"":1073,""output_tokens"":268,""request_body_sha256"":""357b18af3a5c4e6fa038a0fa251cc9ad3808e2b5f462592d1844633ca67b37b6"",""request_bytes"":86625,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1824,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0fad0da69292542d3f0f7f9ef5fe9c5e7ba89a9b862ff7fee4517177e3be6d52"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":11264,""completion_cost"":0.0,""completion_tokens"":268,""prompt_cost"":0.0,""prompt_tokens"":20192,""prompt_tokens_details"":{""cached_tokens"":11264},""reasoning_tokens"":0,""total_tokens"":20460},""utc_end"":""2026-09-15T13:34:51.497046+00:00"",""utc_start"":""2026-09-15T13:34:45.275963+00:00""}"
4,2026-09-15T13:34:58.658085+00:00,False,True,[],[],[],78137,"{""cache_read_tokens"":0,""input_tokens"":18057,""output_tokens"":271}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18057,""latency_seconds"":6.21908139999141,""ledger_id"":1074,""output_tokens"":271,""request_body_sha256"":""60ce203a7a6b231b79936946bd5ae84b5deb5d6b2dfad2ec4996535a14b8c651"",""request_bytes"":78137,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1763,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8c5f03e7e2b71a98239c1ad965a55ac7d0ddc51ed7e728871fe3e589b88c4632"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":271,""prompt_cost"":0.0,""prompt_tokens"":18057,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":18328},""utc_end"":""2026-09-15T13:35:05.017857+00:00"",""utc_start"":""2026-09-15T13:34:58.777951+00:00""}"
5,2026-09-15T13:35:05.215201+00:00,False,False,[],[],[],89269,"{""cache_read_tokens"":3328,""input_tokens"":20754,""output_tokens"":90}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20754,""latency_seconds"":3.778567600005772,""ledger_id"":1075,""output_tokens"":90,""request_body_sha256"":""dad253aeb85f3294cac05f6730c584a6fc179b86096eee83c5247871300bfc22"",""request_bytes"":89269,""requested_model"":""EB-GLM-5.2"",""response_bytes"":985,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0ee5417cde64189963b89cc3030e0eb429e376c913710183ba3a9e92a79c181d"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":90,""prompt_cost"":0.0,""prompt_tokens"":20754,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20844},""utc_end"":""2026-09-15T13:35:09.171640+00:00"",""utc_start"":""2026-09-15T13:35:05.336557+00:00""}"
6,2026-09-15T13:35:10.286099+00:00,False,True,[],[],[],62535,"{""cache_read_tokens"":3328,""input_tokens"":14742,""output_tokens"":89}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14742,""latency_seconds"":3.150445999985095,""ledger_id"":1076,""output_tokens"":89,""request_body_sha256"":""5e418c3f526830bd8ec86dd14780961cdadd23430ceda089486fd7fd19ee7ecd"",""request_bytes"":62535,""requested_model"":""EB-GLM-5.2"",""response_bytes"":972,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""28035381d4f0e55ad649abd497d6799733dd9d89381c6bba09b417e07df87827"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":89,""prompt_cost"":0.0,""prompt_tokens"":14742,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":14831},""utc_end"":""2026-09-15T13:35:13.549323+00:00"",""utc_start"":""2026-09-15T13:35:10.380613+00:00""}"
7,2026-09-15T13:35:14.489257+00:00,False,False,[],[],[],69793,"{""cache_read_tokens"":13568,""input_tokens"":16414,""output_tokens"":89}","{""cache_read_tokens"":13568,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16414,""latency_seconds"":2.381263699993724,""ledger_id"":1077,""output_tokens"":89,""request_body_sha256"":""4eeff75b054a5002977bacd7af3040b0a5060b00240a35c5fb2ec9d068a45341"",""request_bytes"":69793,""requested_model"":""EB-GLM-5.2"",""response_bytes"":974,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d94b25c77d2838314bc6e125e7b8da021b38842e2c5d03aa9e89a335587147c1"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":13568,""completion_cost"":0.0,""completion_tokens"":89,""prompt_cost"":0.0,""prompt_tokens"":16414,""prompt_tokens_details"":{""cached_tokens"":13568},""reasoning_tokens"":0,""total_tokens"":16503},""utc_end"":""2026-09-15T13:35:16.995361+00:00"",""utc_start"":""2026-09-15T13:35:14.596010+00:00""}"
8,2026-09-15T13:35:17.213003+00:00,False,False,[],[],[],74012,"{""cache_read_tokens"":15232,""input_tokens"":17395,""output_tokens"":89}","{""cache_read_tokens"":15232,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17395,""latency_seconds"":3.667361100000562,""ledger_id"":1078,""output_tokens"":89,""request_body_sha256"":""2e30cd85c574de502a9637e810c1601cd92aed029ba3bcf313af8fc4e7d145f9"",""request_bytes"":74012,""requested_model"":""EB-GLM-5.2"",""response_bytes"":974,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""ad0ea07e74eb817071b8ba2ad1a4b6f29bb67f07014253685997c0c7e69fc539"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":15232,""completion_cost"":0.0,""completion_tokens"":89,""prompt_cost"":0.0,""prompt_tokens"":17395,""prompt_tokens_details"":{""cached_tokens"":15232},""reasoning_tokens"":0,""total_tokens"":17484},""utc_end"":""2026-09-15T13:35:20.990680+00:00"",""utc_start"":""2026-09-15T13:35:17.306301+00:00""}"
9,2026-09-15T13:35:21.191741+00:00,False,False,[],[],[],78333,"{""cache_read_tokens"":16256,""input_tokens"":18385,""output_tokens"":89}","{""cache_read_tokens"":16256,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18385,""latency_seconds"":3.750037499994505,""ledger_id"":1079,""output_tokens"":89,""request_body_sha256"":""9337937d0c341450da9ba960409a30acd995ba933a4c523e3784c7c945db9893"",""request_bytes"":78333,""requested_model"":""EB-GLM-5.2"",""response_bytes"":974,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""66b649dd923c6da1d0a8bb6877a30d22d7fa065ecdb5174f2e50c58ef467c9ab"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":16256,""completion_cost"":0.0,""completion_tokens"":89,""prompt_cost"":0.0,""prompt_tokens"":18385,""prompt_tokens_details"":{""cached_tokens"":16256},""reasoning_tokens"":0,""total_tokens"":18474},""utc_end"":""2026-09-15T13:35:25.066927+00:00"",""utc_start"":""2026-09-15T13:35:21.299247+00:00""}"
10,2026-09-15T13:35:25.411067+00:00,False,False,[],[],[],79539,"{""cache_read_tokens"":17152,""input_tokens"":18592,""output_tokens"":96}","{""cache_read_tokens"":17152,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18592,""latency_seconds"":2.803424600017024,""ledger_id"":1080,""output_tokens"":96,""request_body_sha256"":""6efeec4eaed9e5058e99843a5e6c2f55fecec1d6b53fafca8f939e5bf29f24a3"",""request_bytes"":79539,""requested_model"":""EB-GLM-5.2"",""response_bytes"":992,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c6d818fa166217ac6d2e9fdb05849e68a12397d2948cf7d7ca9d2a21c1409a1e"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":17152,""completion_cost"":0.0,""completion_tokens"":96,""prompt_cost"":0.0,""prompt_tokens"":18592,""prompt_tokens_details"":{""cached_tokens"":17152},""reasoning_tokens"":0,""total_tokens"":18688},""utc_end"":""2026-09-15T13:35:28.445056+00:00"",""utc_start"":""2026-09-15T13:35:25.624660+00:00""}"
