round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T16:01:29.426381+00:00,False,False,[],[],[],17542,"{""cache_read_tokens"":0,""input_tokens"":4102,""output_tokens"":184}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":4102,""latency_seconds"":3.7950487000052817,""ledger_id"":1430,""output_tokens"":184,""request_body_sha256"":""cdd7a559696e62a115c71edce15eae2f3e6d501c2d55a069aec1ab6932f804e2"",""request_bytes"":17542,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1296,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d01bef5ddc06e63e430290e482dfbc73d3f40f590fb3c859c3a81126b64d7c7b"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":184,""prompt_cost"":0.0,""prompt_tokens"":4102,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":4286},""utc_end"":""2026-09-15T16:01:33.327176+00:00"",""utc_start"":""2026-09-15T16:01:29.512388+00:00""}"
2,2026-09-15T16:01:35.604806+00:00,False,False,"[""e1""]",[],[],41697,"{""cache_read_tokens"":3584,""input_tokens"":9783,""output_tokens"":181}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9783,""latency_seconds"":5.277627100003883,""ledger_id"":1431,""output_tokens"":181,""request_body_sha256"":""0a0bb33f4a00dc9bfdf20f8a8cb84390018236edcc5573f360696974924f6891"",""request_bytes"":41697,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1356,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""082e2184389f911cab3fe2515d70206ed015ba5cc959a5242eefa17dcc148767"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":181,""prompt_cost"":0.0,""prompt_tokens"":9783,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":9964},""utc_end"":""2026-09-15T16:01:40.990262+00:00"",""utc_start"":""2026-09-15T16:01:35.693184+00:00""}"
3,2026-09-15T16:01:45.684983+00:00,False,False,"[""e1"",""e2""]",[],[],63446,"{""cache_read_tokens"":8576,""input_tokens"":14860,""output_tokens"":238}","{""cache_read_tokens"":8576,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14860,""latency_seconds"":6.3045986000215635,""ledger_id"":1432,""output_tokens"":238,""request_body_sha256"":""cd8469c8b3e02d202504cc649ac30529e4ff01ccb8d289752f066187f73dcc65"",""request_bytes"":63446,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1554,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8c5bd8ac2c47083b5289c7ec90364de23ee8f505ee6eb841218554d2625a3ebf"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8576,""completion_cost"":0.0,""completion_tokens"":238,""prompt_cost"":0.0,""prompt_tokens"":14860,""prompt_tokens_details"":{""cached_tokens"":8576},""reasoning_tokens"":0,""total_tokens"":15098},""utc_end"":""2026-09-15T16:01:52.096576+00:00"",""utc_start"":""2026-09-15T16:01:45.774765+00:00""}"
4,2026-09-15T16:01:54.841606+00:00,False,False,"[""e1"",""e2"",""e3""]",[],[],85454,"{""cache_read_tokens"":13696,""input_tokens"":20184,""output_tokens"":234}","{""cache_read_tokens"":13696,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20184,""latency_seconds"":6.252215699991211,""ledger_id"":1433,""output_tokens"":234,""request_body_sha256"":""af30ed1c4a6de5903c205e65ff9664fdb898e4f610f8e457d29e5917f80f0b39"",""request_bytes"":85454,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1528,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0268fdc7dc6592a874ceed5ba07478089a4c4d193c9f1c12533a5f660599ed30"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":13696,""completion_cost"":0.0,""completion_tokens"":234,""prompt_cost"":0.0,""prompt_tokens"":20184,""prompt_tokens_details"":{""cached_tokens"":13696},""reasoning_tokens"":0,""total_tokens"":20418},""utc_end"":""2026-09-15T16:02:01.205929+00:00"",""utc_start"":""2026-09-15T16:01:54.935712+00:00""}"
5,2026-09-15T16:02:03.256249+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1""]",[],84836,"{""cache_read_tokens"":3584,""input_tokens"":20096,""output_tokens"":247}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20096,""latency_seconds"":5.723828799993498,""ledger_id"":1434,""output_tokens"":247,""request_body_sha256"":""8224b437a94c36fb10bce886f4b55ad56903e94a8c53a8db6aeb51d68e55fcb9"",""request_bytes"":84836,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1728,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""00b9bf3ed4b1b56bba49136a0f451664e97587be4f30c0db7615a20e509c86c7"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":247,""prompt_cost"":0.0,""prompt_tokens"":20096,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":20343},""utc_end"":""2026-09-15T16:02:09.093833+00:00"",""utc_start"":""2026-09-15T16:02:03.351645+00:00""}"
6,2026-09-15T16:02:12.734592+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],91321,"{""cache_read_tokens"":3584,""input_tokens"":21717,""output_tokens"":229}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21717,""latency_seconds"":5.979930400004378,""ledger_id"":1435,""output_tokens"":229,""request_body_sha256"":""dc910c3f084c352b41e41504a2cfaf0a2d3159e556f5027f6366d8d811bd9aab"",""request_bytes"":91321,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1514,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""22aeb43284b77fbcd7981ac54356c7cca6d1320874ecf4c3eac782d479ee03b5"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":229,""prompt_cost"":0.0,""prompt_tokens"":21717,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":21946},""utc_end"":""2026-09-15T16:02:18.835154+00:00"",""utc_start"":""2026-09-15T16:02:12.838160+00:00""}"
7,2026-09-15T16:02:19.145316+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2"",""e3""]",[],82638,"{""cache_read_tokens"":3584,""input_tokens"":19671,""output_tokens"":243}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19671,""latency_seconds"":5.044577799999388,""ledger_id"":1436,""output_tokens"":243,""request_body_sha256"":""c0e2e4ecd7c1cb7b3bb7062da848e86bf23fc1f4f86edc48128b8da4322192cf"",""request_bytes"":82638,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1550,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""80f53002f60f625ff14c3e0d70315532262a5d7eb291b2bb3432bc9667136f0d"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":243,""prompt_cost"":0.0,""prompt_tokens"":19671,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":19914},""utc_end"":""2026-09-15T16:02:24.308601+00:00"",""utc_start"":""2026-09-15T16:02:19.244301+00:00""}"
8,2026-09-15T16:02:24.643257+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2"",""e3""]",[],75459,"{""cache_read_tokens"":3584,""input_tokens"":17926,""output_tokens"":243}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17926,""latency_seconds"":6.022730600001523,""ledger_id"":1437,""output_tokens"":243,""request_body_sha256"":""63224c4389abf2e688119e39f11a7dc8d06b9b30890964681f9ab08285f8933c"",""request_bytes"":75459,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1550,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c8c201f242f4d7267b83b741f17e7347466f1dc4b5ce6c5ddfad0263ac87511a"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":243,""prompt_cost"":0.0,""prompt_tokens"":17926,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":18169},""utc_end"":""2026-09-15T16:02:30.783858+00:00"",""utc_start"":""2026-09-15T16:02:24.740392+00:00""}"
9,2026-09-15T16:02:30.975584+00:00,False,False,"[""e1"",""e2"",""e3""]","[""e1"",""e2"",""e3""]",[],77242,"{""cache_read_tokens"":14208,""input_tokens"":18288,""output_tokens"":243}","{""cache_read_tokens"":14208,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18288,""latency_seconds"":5.702311299974099,""ledger_id"":1438,""output_tokens"":243,""request_body_sha256"":""fb275dfb8b2d6e54de8c943073522e815a35134c3ab5ffcea1f9e8f2a6ed3cb2"",""request_bytes"":77242,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1552,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2c8f7edff27f50a279e405765772d0e6238e3337a274ade7fa2f38a1813f6f02"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":14208,""completion_cost"":0.0,""completion_tokens"":243,""prompt_cost"":0.0,""prompt_tokens"":18288,""prompt_tokens_details"":{""cached_tokens"":14208},""reasoning_tokens"":0,""total_tokens"":18531},""utc_end"":""2026-09-15T16:02:36.796096+00:00"",""utc_start"":""2026-09-15T16:02:31.076524+00:00""}"
10,2026-09-15T16:02:36.967829+00:00,True,False,"[""e1"",""e2"",""e3""]","[""e1"",""e2"",""e3""]",[],68389,"{""cache_read_tokens"":512,""input_tokens"":16093,""output_tokens"":669}","{""cache_read_tokens"":512,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16093,""latency_seconds"":13.983320600003935,""ledger_id"":1439,""output_tokens"":669,""request_body_sha256"":""93ce3ffe52ef87cca542765451c03103eab8dbcc6a28a048c5f420d53dcb569a"",""request_bytes"":68389,""requested_model"":""EB-GLM-5.2"",""response_bytes"":3352,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b986f5fb0ca8e394545a2020ad9e6cdfe126ff9f6832bc67dfdcb7c34c597ab5"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":512,""completion_cost"":0.0,""completion_tokens"":669,""prompt_cost"":0.0,""prompt_tokens"":16093,""prompt_tokens_details"":{""cached_tokens"":512},""reasoning_tokens"":0,""total_tokens"":16762},""utc_end"":""2026-09-15T16:02:51.065859+00:00"",""utc_start"":""2026-09-15T16:02:37.065761+00:00""}"
