round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T16:35:00.628470+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":3840,""input_tokens"":3870,""output_tokens"":180}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":3.6904628000047524,""ledger_id"":1502,""output_tokens"":180,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1314,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d3059614a8a6e712f0bb73fe076ba19c8e464ab4301f207aab905697538c1f2a"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":180,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4050},""utc_end"":""2026-09-15T16:35:04.437574+00:00"",""utc_start"":""2026-09-15T16:35:00.729177+00:00""}"
2,2026-09-15T16:35:07.327053+00:00,False,False,[],[],[],39025,"{""cache_read_tokens"":3328,""input_tokens"":9272,""output_tokens"":101}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9272,""latency_seconds"":3.01249550000648,""ledger_id"":1503,""output_tokens"":101,""request_body_sha256"":""810f1ca6958faaf8ccdc6a785c16e575beea0671582515a0ce0643f8e3101827"",""request_bytes"":39025,""requested_model"":""EB-GLM-5.2"",""response_bytes"":981,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""28a17c8ef6782e7e69fcfdab6050b43907f4cc96ec598f75324ececfe2b96c97"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":101,""prompt_cost"":0.0,""prompt_tokens"":9272,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9373},""utc_end"":""2026-09-15T16:35:10.465923+00:00"",""utc_start"":""2026-09-15T16:35:07.434420+00:00""}"
3,2026-09-15T16:35:13.896003+00:00,False,False,[],[],[],59037,"{""cache_read_tokens"":8064,""input_tokens"":14093,""output_tokens"":191}","{""cache_read_tokens"":8064,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":14093,""latency_seconds"":4.666678299981868,""ledger_id"":1504,""output_tokens"":191,""request_body_sha256"":""1f8abd2bee276250ebd74d99f1f7e31e2c9a5e0b64d79a5550426787520e4355"",""request_bytes"":59037,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1445,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1c651ccafedf358e865f69ffee37cae1e2cb80e58bc191ddaa4dffce1aa53d04"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8064,""completion_cost"":0.0,""completion_tokens"":191,""prompt_cost"":0.0,""prompt_tokens"":14093,""prompt_tokens_details"":{""cached_tokens"":8064},""reasoning_tokens"":0,""total_tokens"":14284},""utc_end"":""2026-09-15T16:35:18.689625+00:00"",""utc_start"":""2026-09-15T16:35:14.003661+00:00""}"
4,2026-09-15T16:35:22.669372+00:00,False,True,[],[],[],78707,"{""cache_read_tokens"":3328,""input_tokens"":19323,""output_tokens"":119}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19323,""latency_seconds"":4.278053499991074,""ledger_id"":1505,""output_tokens"":119,""request_body_sha256"":""06eacf2a9eb7a48136919c20cb2f3f2fe570a30d867ecb734868c518b9bf7375"",""request_bytes"":78707,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1138,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8bc4951728fe3b4fe160397af9f6f9f33c22983e443e8fe0897955da30287570"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":119,""prompt_cost"":0.0,""prompt_tokens"":19323,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19442},""utc_end"":""2026-09-15T16:35:27.088832+00:00"",""utc_start"":""2026-09-15T16:35:22.793350+00:00""}"
5,2026-09-15T16:35:30.082687+00:00,False,True,"[""e1""]",[],[],81671,"{""cache_read_tokens"":3328,""input_tokens"":19994,""output_tokens"":174}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19994,""latency_seconds"":5.38912629999686,""ledger_id"":1506,""output_tokens"":174,""request_body_sha256"":""59d6b56327edecc2e588297350403177944917a81e5827aea5947064d66aa52a"",""request_bytes"":81671,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1394,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""554de79edc9860de43853c448d5b69326fb26a952fdc6c28c3fdb256d45c2cd4"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":174,""prompt_cost"":0.0,""prompt_tokens"":19994,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20168},""utc_end"":""2026-09-15T16:35:35.608455+00:00"",""utc_start"":""2026-09-15T16:35:30.200844+00:00""}"
6,2026-09-15T16:35:41.660194+00:00,False,True,"[""e1"",""e2""]",[],[],65303,"{""cache_read_tokens"":3328,""input_tokens"":15643,""output_tokens"":132}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15643,""latency_seconds"":5.0112510999897495,""ledger_id"":1507,""output_tokens"":132,""request_body_sha256"":""259d780d65f634f620cb19da254301b609d6e643210ebe4e116b9a498642de3d"",""request_bytes"":65303,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1327,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6d8cf291ce7a4b0309761c6d312df88ce436694ab73ca6d144d173a0b9fcb3a2"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":132,""prompt_cost"":0.0,""prompt_tokens"":15643,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":15775},""utc_end"":""2026-09-15T16:35:46.818125+00:00"",""utc_start"":""2026-09-15T16:35:41.788913+00:00""}"
7,2026-09-15T16:36:11.012554+00:00,False,True,"[""e1"",""e2""]","[""e1""]",[],85389,"{""cache_read_tokens"":3328,""input_tokens"":20098,""output_tokens"":158}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20098,""latency_seconds"":3.656710299983388,""ledger_id"":1508,""output_tokens"":158,""request_body_sha256"":""3659b69bf0fbe79eaeea2e2f913ea4cecb8fccef686bb57357256265047292c3"",""request_bytes"":85389,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1335,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""cb31eb66c0830fe06b2b2c11590cf9351a7827b4330e1e0e1eb21d4cbd50df81"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":158,""prompt_cost"":0.0,""prompt_tokens"":20098,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20256},""utc_end"":""2026-09-15T16:36:14.835114+00:00"",""utc_start"":""2026-09-15T16:36:11.162111+00:00""}"
8,2026-09-15T16:36:16.277194+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],86408,"{""cache_read_tokens"":3328,""input_tokens"":20595,""output_tokens"":110}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20595,""latency_seconds"":5.145214400021359,""ledger_id"":1509,""output_tokens"":110,""request_body_sha256"":""514fdce6aca8869f448e3679f1db68c7784835a6a0acafa79436cf856c4ff928"",""request_bytes"":86408,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1025,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b50a81b09d6298b6aa1cc43d373f68e0e379dcf7aba8554125ba95866a83d925"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":110,""prompt_cost"":0.0,""prompt_tokens"":20595,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20705},""utc_end"":""2026-09-15T16:36:21.578632+00:00"",""utc_start"":""2026-09-15T16:36:16.414790+00:00""}"
9,2026-09-15T16:36:28.379583+00:00,False,True,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],57314,"{""cache_read_tokens"":3328,""input_tokens"":13923,""output_tokens"":247}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13923,""latency_seconds"":5.35602150001796,""ledger_id"":1510,""output_tokens"":247,""request_body_sha256"":""307acfccd0d89617a6369de69694e4e7fd65a5f22bf172a7ef28fac13aac779e"",""request_bytes"":57314,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1558,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a0643c75c646c8917acce7ed4e678ed484b7641ee8797c0964ef244e7d8b4b9e"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":247,""prompt_cost"":0.0,""prompt_tokens"":13923,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":14170},""utc_end"":""2026-09-15T16:36:33.886383+00:00"",""utc_start"":""2026-09-15T16:36:28.513690+00:00""}"
10,2026-09-15T16:36:35.845454+00:00,False,False,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],68444,"{""cache_read_tokens"":11264,""input_tokens"":16520,""output_tokens"":68}","{""cache_read_tokens"":11264,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":16520,""latency_seconds"":3.4827591000066604,""ledger_id"":1511,""output_tokens"":68,""request_body_sha256"":""87bac9d48a141d8f9b1fd3831f9aff0e93d9c523751166b49de3b1b2872a8146"",""request_bytes"":68444,""requested_model"":""EB-GLM-5.2"",""response_bytes"":850,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""2e599494ff8207ec61734f5192d25f8f760c434098838bcf31623e434445a30a"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":11264,""completion_cost"":0.0,""completion_tokens"":68,""prompt_cost"":0.0,""prompt_tokens"":16520,""prompt_tokens_details"":{""cached_tokens"":11264},""reasoning_tokens"":0,""total_tokens"":16588},""utc_end"":""2026-09-15T16:36:39.486026+00:00"",""utc_start"":""2026-09-15T16:36:35.984336+00:00""}"
11,2026-09-15T16:36:40.421745+00:00,False,False,"[""e1"",""e2"",""e3""]","[""e1"",""e2""]",[],76850,"{""cache_read_tokens"":13952,""input_tokens"":18509,""output_tokens"":76}","{""cache_read_tokens"":13952,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18509,""latency_seconds"":3.176777699991362,""ledger_id"":1512,""output_tokens"":76,""request_body_sha256"":""38fdc18ff81819f280d4414fa4c11e7098740205b722a02ff35cf45c090cdf26"",""request_bytes"":76850,""requested_model"":""EB-GLM-5.2"",""response_bytes"":887,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""bf1486b88e8241061ac38417cd9b927631b1b21f22069e8a458489dad23af4ec"",""sequence"":11,""usage"":{""cache_cost"":0.0,""cached_tokens"":13952,""completion_cost"":0.0,""completion_tokens"":76,""prompt_cost"":0.0,""prompt_tokens"":18509,""prompt_tokens_details"":{""cached_tokens"":13952},""reasoning_tokens"":0,""total_tokens"":18585},""utc_end"":""2026-09-15T16:36:43.764425+00:00"",""utc_start"":""2026-09-15T16:36:40.568075+00:00""}"
