round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T08:22:58.428462+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3200,""input_tokens"":3869,""output_tokens"":109}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":3.4572598000231665,""ledger_id"":605,""output_tokens"":109,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1075,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a62590473c07135869ae8d0fdcc4cd425149e3f5bc269e072bbf68d990cc39c0"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":109,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":3978},""utc_end"":""2026-09-15T08:23:02.048196+00:00"",""utc_start"":""2026-09-15T08:22:58.554780+00:00""}"
2,2026-09-15T08:23:07.794158+00:00,False,False,[],[],[],35190,"{""cache_read_tokens"":3328,""input_tokens"":8324,""output_tokens"":88}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8324,""latency_seconds"":4.645257500000298,""ledger_id"":606,""output_tokens"":88,""request_body_sha256"":""c40cac517ff7db9b96b5ac3ecc2327fc923e83ade25a6f4936b5cefa551be6f8"",""request_bytes"":35190,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1014,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""497d470d28743dd741b50a2e87835bb20dfe7f826b7378ced71b5ebbaa4c9764"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":88,""prompt_cost"":0.0,""prompt_tokens"":8324,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":8412},""utc_end"":""2026-09-15T08:23:12.613312+00:00"",""utc_start"":""2026-09-15T08:23:07.923576+00:00""}"
3,2026-09-15T08:23:17.497915+00:00,False,False,[],[],[],50828,"{""cache_read_tokens"":7040,""input_tokens"":11880,""output_tokens"":141}","{""cache_read_tokens"":7040,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11880,""latency_seconds"":3.416596099996241,""ledger_id"":607,""output_tokens"":141,""request_body_sha256"":""53f302df5a31373e479941cc737199da175757929638e885fabd17cb0439eafd"",""request_bytes"":50828,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1249,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""38cc742abba85e89c371089925204e1f3c9231acfd8ed315247b11e681231af7"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":7040,""completion_cost"":0.0,""completion_tokens"":141,""prompt_cost"":0.0,""prompt_tokens"":11880,""prompt_tokens_details"":{""cached_tokens"":7040},""reasoning_tokens"":0,""total_tokens"":12021},""utc_end"":""2026-09-15T08:23:21.267412+00:00"",""utc_start"":""2026-09-15T08:23:17.814082+00:00""}"
4,2026-09-15T08:23:25.992131+00:00,False,False,[],[],[],66741,"{""cache_read_tokens"":10624,""input_tokens"":15601,""output_tokens"":143}","{""cache_read_tokens"":10624,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15601,""latency_seconds"":4.402622699999483,""ledger_id"":608,""output_tokens"":143,""request_body_sha256"":""e2972c754596d209f204944d3bd4484091d04132330412722d9058b0eb8c0198"",""request_bytes"":66741,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1220,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8114276cdb810ccd765474b8f3d0f9a05e6df3b39ff2f8243585b386281eb3a9"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":10624,""completion_cost"":0.0,""completion_tokens"":143,""prompt_cost"":0.0,""prompt_tokens"":15601,""prompt_tokens_details"":{""cached_tokens"":10624},""reasoning_tokens"":0,""total_tokens"":15744},""utc_end"":""2026-09-15T08:23:30.808751+00:00"",""utc_start"":""2026-09-15T08:23:26.350251+00:00""}"
5,2026-09-15T08:23:35.971792+00:00,False,False,[],[],[],82846,"{""cache_read_tokens"":14464,""input_tokens"":19252,""output_tokens"":119}","{""cache_read_tokens"":14464,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19252,""latency_seconds"":4.567065399984131,""ledger_id"":609,""output_tokens"":119,""request_body_sha256"":""c522ecbbbb23699e37a2f4cec391e4db557e402e873c2870531f1da6b504391a"",""request_bytes"":82846,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1120,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""e61543c6d750b2a33dbd8c226ad698fca071df39ba2697d78688b436ee31bc6b"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":14464,""completion_cost"":0.0,""completion_tokens"":119,""prompt_cost"":0.0,""prompt_tokens"":19252,""prompt_tokens_details"":{""cached_tokens"":14464},""reasoning_tokens"":0,""total_tokens"":19371},""utc_end"":""2026-09-15T08:23:40.771149+00:00"",""utc_start"":""2026-09-15T08:23:36.139232+00:00""}"
6,2026-09-15T08:24:07.360988+00:00,False,True,[],[],[],82890,"{""cache_read_tokens"":3328,""input_tokens"":19330,""output_tokens"":141}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19330,""latency_seconds"":4.686146299995016,""ledger_id"":610,""output_tokens"":141,""request_body_sha256"":""04d6515127054df745bff0ca2c6b22954aeae78e1f8501b1e5f3b3640151514b"",""request_bytes"":82890,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1214,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""62959c117f499047279cd5d19e83672e3627ad9bf9d5acb1c6f6c5cbb84513cd"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":141,""prompt_cost"":0.0,""prompt_tokens"":19330,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19471},""utc_end"":""2026-09-15T08:24:12.174480+00:00"",""utc_start"":""2026-09-15T08:24:07.470012+00:00""}"
7,2026-09-15T08:24:17.064534+00:00,False,True,[],[],[],83291,"{""cache_read_tokens"":3328,""input_tokens"":19645,""output_tokens"":127}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19645,""latency_seconds"":3.791086200013524,""ledger_id"":611,""output_tokens"":127,""request_body_sha256"":""6cac243813a829d10e1586f1d90711c0710081170963f2437fff7f130704e4c5"",""request_bytes"":83291,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1175,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""42e276a7979fb4976d1587542e793d083e74e00c2a1ea1597bc9839f9ccab612"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":127,""prompt_cost"":0.0,""prompt_tokens"":19645,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19772},""utc_end"":""2026-09-15T08:24:21.208888+00:00"",""utc_start"":""2026-09-15T08:24:17.395705+00:00""}"
8,2026-09-15T08:24:26.489573+00:00,False,True,[],[],[],83254,"{""cache_read_tokens"":3328,""input_tokens"":19604,""output_tokens"":127}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19604,""latency_seconds"":3.4046477999945637,""ledger_id"":612,""output_tokens"":127,""request_body_sha256"":""f12f55cc36950db6680d4fc9baabb3cf8b89569b1545aabb4a700b0523dfcc75"",""request_bytes"":83254,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1175,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""1c4bf24325e40125ded199b78f0d071495386b256871aa4ceb2162e2943a41df"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":127,""prompt_cost"":0.0,""prompt_tokens"":19604,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":19731},""utc_end"":""2026-09-15T08:24:30.002982+00:00"",""utc_start"":""2026-09-15T08:24:26.580423+00:00""}"
9,2026-09-15T08:24:30.274796+00:00,False,True,[],[],[],76218,"{""cache_read_tokens"":3328,""input_tokens"":18037,""output_tokens"":127}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18037,""latency_seconds"":3.8513982000004034,""ledger_id"":613,""output_tokens"":127,""request_body_sha256"":""6d884a1dc6a4da1dab0855113cc87bfc796b45555c0a61a46009dd1a3a7675b3"",""request_bytes"":76218,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1175,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""76bd160548f97cdbb6d3b13761f134e4c7b0bcbb97586a9a7e2e8049b14f80d6"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":127,""prompt_cost"":0.0,""prompt_tokens"":18037,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18164},""utc_end"":""2026-09-15T08:24:34.233745+00:00"",""utc_start"":""2026-09-15T08:24:30.360409+00:00""}"
10,2026-09-15T08:24:34.526904+00:00,False,False,[],[],[],85353,"{""cache_read_tokens"":16768,""input_tokens"":20161,""output_tokens"":127}","{""cache_read_tokens"":16768,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20161,""latency_seconds"":4.212789100012742,""ledger_id"":614,""output_tokens"":127,""request_body_sha256"":""959be13a63d7da57c571519310a2f3fd0403f63a4dc09046b9e2e2b0e97ebf55"",""request_bytes"":85353,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1177,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6eb1e2ea65b9f3968cc6e2257ec6082662df1fdc3bf1a65af9f95c04d24945ed"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":16768,""completion_cost"":0.0,""completion_tokens"":127,""prompt_cost"":0.0,""prompt_tokens"":20161,""prompt_tokens_details"":{""cached_tokens"":16768},""reasoning_tokens"":0,""total_tokens"":20288},""utc_end"":""2026-09-15T08:24:38.835073+00:00"",""utc_start"":""2026-09-15T08:24:34.605516+00:00""}"
