round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T08:24:51.039903+00:00,False,False,[],[],[],7492,"{""cache_read_tokens"":0,""input_tokens"":1893,""output_tokens"":72}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":1893,""latency_seconds"":3.4521552000078373,""ledger_id"":617,""output_tokens"":72,""request_body_sha256"":""067cbf43cf8c0506d37750ec33905767a3bf665ea3eee5929a8c4d4302ed9ad0"",""request_bytes"":7492,""requested_model"":""EB-GLM-5.2"",""response_bytes"":909,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""53f70af1ce3f7b7ab4c41a6a9d61db2905deae38299dc5092d648fe114d83bc8"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":72,""prompt_cost"":0.0,""prompt_tokens"":1893,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":1965},""utc_end"":""2026-09-15T08:24:54.628325+00:00"",""utc_start"":""2026-09-15T08:24:51.145613+00:00""}"
2,2026-09-15T08:25:00.518783+00:00,False,False,[],[],[],15939,"{""cache_read_tokens"":1408,""input_tokens"":3834,""output_tokens"":62}","{""cache_read_tokens"":1408,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3834,""latency_seconds"":1.9541788999922574,""ledger_id"":618,""output_tokens"":62,""request_body_sha256"":""35aa58f0bb05e731505c98c427deb3071e7f4e1808729786875c73be382aa0fc"",""request_bytes"":15939,""requested_model"":""EB-GLM-5.2"",""response_bytes"":921,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""57b5cbd512ee6eb1a7c7c43af7e3080483f6192bb0bc6fb40143575e178cbfbb"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":1408,""completion_cost"":0.0,""completion_tokens"":62,""prompt_cost"":0.0,""prompt_tokens"":3834,""prompt_tokens_details"":{""cached_tokens"":1408},""reasoning_tokens"":0,""total_tokens"":3896},""utc_end"":""2026-09-15T08:25:02.643769+00:00"",""utc_start"":""2026-09-15T08:25:00.661200+00:00""}"
3,2026-09-15T08:25:04.690907+00:00,False,False,[],[],[],25934,"{""cache_read_tokens"":3456,""input_tokens"":6146,""output_tokens"":74}","{""cache_read_tokens"":3456,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":6146,""latency_seconds"":3.5142168999882415,""ledger_id"":619,""output_tokens"":74,""request_body_sha256"":""7d871c31c72a5790eca77f9971e90e0f91f7776097b269cc9dd740136207b9c8"",""request_bytes"":25934,""requested_model"":""EB-GLM-5.2"",""response_bytes"":917,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""9e45bf57cbfab89473b85d56541dcb8583c4bfbeff5917ecc33fcca681bb85f4"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":3456,""completion_cost"":0.0,""completion_tokens"":74,""prompt_cost"":0.0,""prompt_tokens"":6146,""prompt_tokens_details"":{""cached_tokens"":3456},""reasoning_tokens"":0,""total_tokens"":6220},""utc_end"":""2026-09-15T08:25:08.296067+00:00"",""utc_start"":""2026-09-15T08:25:04.762888+00:00""}"
4,2026-09-15T08:25:15.636078+00:00,False,False,[],[],[],34598,"{""cache_read_tokens"":5248,""input_tokens"":8264,""output_tokens"":44}","{""cache_read_tokens"":5248,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8264,""latency_seconds"":2.4116029999859165,""ledger_id"":620,""output_tokens"":44,""request_body_sha256"":""2db34c7be720eb1fa2c8b998c2e5b098c968c56b0cfc1fa42a0e866484489ae0"",""request_bytes"":34598,""requested_model"":""EB-GLM-5.2"",""response_bytes"":734,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a8ec87db5248a886d4d2ecae4448c131cc1b52fb0090a3d07024e58e8ddc69e1"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":5248,""completion_cost"":0.0,""completion_tokens"":44,""prompt_cost"":0.0,""prompt_tokens"":8264,""prompt_tokens_details"":{""cached_tokens"":5248},""reasoning_tokens"":0,""total_tokens"":8308},""utc_end"":""2026-09-15T08:25:18.173428+00:00"",""utc_start"":""2026-09-15T08:25:15.743828+00:00""}"
5,2026-09-15T08:25:18.326465+00:00,False,False,"[""e1""]",[],[],38369,"{""cache_read_tokens"":7296,""input_tokens"":9102,""output_tokens"":34}","{""cache_read_tokens"":7296,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9102,""latency_seconds"":2.4111402000125963,""ledger_id"":621,""output_tokens"":34,""request_body_sha256"":""0cb91fa831efaad948414c357253e69217bab01475a8d3f13573d5b7af0fe06b"",""request_bytes"":38369,""requested_model"":""EB-GLM-5.2"",""response_bytes"":717,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""283c8eaa4cefc2f92e829ebf15840495735f1d0e5b6f754fc9702c108379fea3"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":7296,""completion_cost"":0.0,""completion_tokens"":34,""prompt_cost"":0.0,""prompt_tokens"":9102,""prompt_tokens_details"":{""cached_tokens"":7296},""reasoning_tokens"":0,""total_tokens"":9136},""utc_end"":""2026-09-15T08:25:20.832093+00:00"",""utc_start"":""2026-09-15T08:25:18.400638+00:00""}"
6,2026-09-15T08:25:20.930994+00:00,False,False,"[""e1""]",[],[],39201,"{""cache_read_tokens"":8192,""input_tokens"":9277,""output_tokens"":25}","{""cache_read_tokens"":8192,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9277,""latency_seconds"":1.886912099987967,""ledger_id"":622,""output_tokens"":25,""request_body_sha256"":""8aa93e2944a738d965f591ccabe010d8e90f5bd28503453e66bdf6123aa14241"",""request_bytes"":39201,""requested_model"":""EB-GLM-5.2"",""response_bytes"":628,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""c138ac9737125605d1803f4619693e74bb601077a6211363d0d25622d0485a50"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":8192,""completion_cost"":0.0,""completion_tokens"":25,""prompt_cost"":0.0,""prompt_tokens"":9277,""prompt_tokens_details"":{""cached_tokens"":8192},""reasoning_tokens"":0,""total_tokens"":9302},""utc_end"":""2026-09-15T08:25:22.914099+00:00"",""utc_start"":""2026-09-15T08:25:21.008605+00:00""}"
7,2026-09-15T08:25:23.024732+00:00,False,False,"[""e1"",""e2""]",[],[],41429,"{""cache_read_tokens"":8320,""input_tokens"":9814,""output_tokens"":89}","{""cache_read_tokens"":8320,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9814,""latency_seconds"":3.479044599982444,""ledger_id"":623,""output_tokens"":89,""request_body_sha256"":""13199ad66f65750f0bd4d2eb72c403687ebf9fcee76b3ad565c7fa8be39840b3"",""request_bytes"":41429,""requested_model"":""EB-GLM-5.2"",""response_bytes"":973,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""90da4224cd579dc1c7e8456ada8bfe4439bf5900ee39502dbbe307b0ffc6478f"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":8320,""completion_cost"":0.0,""completion_tokens"":89,""prompt_cost"":0.0,""prompt_tokens"":9814,""prompt_tokens_details"":{""cached_tokens"":8320},""reasoning_tokens"":0,""total_tokens"":9903},""utc_end"":""2026-09-15T08:25:26.601065+00:00"",""utc_start"":""2026-09-15T08:25:23.100897+00:00""}"
8,2026-09-15T08:25:33.688070+00:00,False,False,"[""e1"",""e2""]",[],[],49583,"{""cache_read_tokens"":8832,""input_tokens"":11664,""output_tokens"":67}","{""cache_read_tokens"":8832,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":11664,""latency_seconds"":4.141927500022575,""ledger_id"":624,""output_tokens"":67,""request_body_sha256"":""ca39080e5d7ce94e96706b7640fe815052799509ba2f1c23de7c0acad3ea8c3d"",""request_bytes"":49583,""requested_model"":""EB-GLM-5.2"",""response_bytes"":864,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8fe64ef980f25b2e40818772bfc99aa1419c1df9c1b099a83d6e48126fa57829"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":8832,""completion_cost"":0.0,""completion_tokens"":67,""prompt_cost"":0.0,""prompt_tokens"":11664,""prompt_tokens_details"":{""cached_tokens"":8832},""reasoning_tokens"":0,""total_tokens"":11731},""utc_end"":""2026-09-15T08:25:37.916742+00:00"",""utc_start"":""2026-09-15T08:25:33.757737+00:00""}"
9,2026-09-15T08:25:43.776508+00:00,False,False,"[""e1"",""e2""]",[],[],58063,"{""cache_read_tokens"":10752,""input_tokens"":13619,""output_tokens"":97}","{""cache_read_tokens"":10752,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13619,""latency_seconds"":2.57999640001799,""ledger_id"":625,""output_tokens"":97,""request_body_sha256"":""f62c264d3c38e6446b2a27ddb06cbd9efef950b3c49c12cc29db056013beafdc"",""request_bytes"":58063,""requested_model"":""EB-GLM-5.2"",""response_bytes"":923,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""b14a9a5c4baa3cdc08ea488cbe9f500615ac3070d20ec62fb9015c8fb7c8c0d0"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":10752,""completion_cost"":0.0,""completion_tokens"":97,""prompt_cost"":0.0,""prompt_tokens"":13619,""prompt_tokens_details"":{""cached_tokens"":10752},""reasoning_tokens"":0,""total_tokens"":13716},""utc_end"":""2026-09-15T08:25:46.450167+00:00"",""utc_start"":""2026-09-15T08:25:43.851899+00:00""}"
10,2026-09-15T08:25:53.314186+00:00,False,False,"[""e1"",""e2""]",[],[],66645,"{""cache_read_tokens"":12800,""input_tokens"":15714,""output_tokens"":52}","{""cache_read_tokens"":12800,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":15714,""latency_seconds"":6.658153600001242,""ledger_id"":626,""output_tokens"":52,""request_body_sha256"":""a819c46bce2753545b301ec8f64f7578755dd88905e6df06e1e1f31bbef79fd7"",""request_bytes"":66645,""requested_model"":""EB-GLM-5.2"",""response_bytes"":793,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""a0d4a6cd8d9c22c797b21d090786aa7a6d6ca51ec7b70b2a52807bcc0664bb27"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":12800,""completion_cost"":0.0,""completion_tokens"":52,""prompt_cost"":0.0,""prompt_tokens"":15714,""prompt_tokens_details"":{""cached_tokens"":12800},""reasoning_tokens"":0,""total_tokens"":15766},""utc_end"":""2026-09-15T08:26:00.066188+00:00"",""utc_start"":""2026-09-15T08:25:53.390526+00:00""}"
11,2026-09-15T08:26:04.570058+00:00,False,False,"[""e1"",""e2""]",[],[],74832,"{""cache_read_tokens"":14848,""input_tokens"":17572,""output_tokens"":59}","{""cache_read_tokens"":14848,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":17572,""latency_seconds"":3.2753419999789912,""ledger_id"":627,""output_tokens"":59,""request_body_sha256"":""af6808ac161f3162d268f3aa8f59d07845f1774fa2cbeddfe9be7f098b06a9b0"",""request_bytes"":74832,""requested_model"":""EB-GLM-5.2"",""response_bytes"":831,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""22973899ec3bb768a1d060490b4f567c81ad2dcd773dc0ec4cf5c44f394955a6"",""sequence"":11,""usage"":{""cache_cost"":0.0,""cached_tokens"":14848,""completion_cost"":0.0,""completion_tokens"":59,""prompt_cost"":0.0,""prompt_tokens"":17572,""prompt_tokens_details"":{""cached_tokens"":14848},""reasoning_tokens"":0,""total_tokens"":17631},""utc_end"":""2026-09-15T08:26:07.949001+00:00"",""utc_start"":""2026-09-15T08:26:04.656115+00:00""}"
12,2026-09-15T08:26:13.291590+00:00,False,False,"[""e1"",""e2""]",[],[],82856,"{""cache_read_tokens"":16640,""input_tokens"":19494,""output_tokens"":54}","{""cache_read_tokens"":16640,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19494,""latency_seconds"":3.0995457000099123,""ledger_id"":628,""output_tokens"":54,""request_body_sha256"":""4379253b79977e4886d61dae200404bb25ec86db3fde7a88ab2ff4d99e375be7"",""request_bytes"":82856,""requested_model"":""EB-GLM-5.2"",""response_bytes"":803,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d44d0fb3a7e8a0e4df3958327054ebce78e054adb57256a8c9a76af2c64c6e3c"",""sequence"":12,""usage"":{""cache_cost"":0.0,""cached_tokens"":16640,""completion_cost"":0.0,""completion_tokens"":54,""prompt_cost"":0.0,""prompt_tokens"":19494,""prompt_tokens_details"":{""cached_tokens"":16640},""reasoning_tokens"":0,""total_tokens"":19548},""utc_end"":""2026-09-15T08:26:16.488171+00:00"",""utc_start"":""2026-09-15T08:26:13.369664+00:00""}"
